experiment_id,algorithm_name,algorithm_type,model_class,hyperparameters,optimization_method,dataset_split,cross_validation_fold,environment,performance_tier,accuracy,precision,recall,f1_score,roc_auc,training_time_seconds,inference_latency_ms,memory_usage_mb,confidence_level,confidence_interval_lower,confidence_interval_upper,p_value,significance_level,effect_size,sample_size,random_seed,feature_count,model_parameters,validation_score,training_score,test_score,statistical_test,multiple_testing_correction,purpose,report_type,condition_id,researcher,institution,experiment_date,notes
advanced_ml_comparison_001,LogisticRegression,logistic_regression,baseline,"{""C"": 1.0, ""penalty"": ""l2"", ""solver"": ""lbfgs"", ""max_iter"": 1000}",grid_search,train,1,development,fair,0.7234,0.7156,0.7089,0.7122,0.7834,2.34,45.2,128.5,medium,0.6934,0.7534,0.1245,not_significant,small,1000,42,15,1501,0.7189,0.7245,0.7234,chi_square,bonferroni,exploration,technical,training.model.baseline.development,Dr. Sarah Chen,Advanced Analytics Institute,2024-12-19,"Baseline logistic regression model for development environment with standard regularization"
advanced_ml_comparison_002,LogisticRegression,logistic_regression,baseline,"{""C"": 0.1, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""max_iter"": 1000}",grid_search,train,2,development,fair,0.7189,0.7098,0.7045,0.7071,0.7789,1.89,42.8,115.2,medium,0.6889,0.7489,0.1567,not_significant,small,1000,42,15,1501,0.7145,0.7201,0.7189,chi_square,bonferroni,exploration,technical,training.model.baseline.development,Dr. Sarah Chen,Advanced Analytics Institute,2024-12-19,"L1 regularized logistic regression with reduced overfitting"
advanced_ml_comparison_003,LogisticRegression,logistic_regression,baseline,"{""C"": 10.0, ""penalty"": ""l2"", ""solver"": ""lbfgs"", ""max_iter"": 1500}",grid_search,train,3,development,good,0.7456,0.7398,0.7334,0.7366,0.8023,3.12,47.6,134.8,medium,0.7156,0.7756,0.0987,not_significant,small,1000,42,15,1501,0.7412,0.7467,0.7456,chi_square,bonferroni,exploration,technical,training.model.baseline.development,Dr. Sarah Chen,Advanced Analytics Institute,2024-12-19,"Higher regularization strength showing improved generalization"
advanced_ml_comparison_004,RandomForest,random_forest,candidate,"{""n_estimators"": 100, ""max_depth"": 10, ""min_samples_split"": 5, ""random_state"": 42}",bayesian_optimization,train,1,development,good,0.8123,0.8089,0.8045,0.8067,0.8756,15.67,89.4,512.3,high,0.7823,0.8423,0.0234,p05,medium,1000,43,15,10100,0.8078,0.8134,0.8123,wilcoxon,fdr_bh,exploration,technical,training.model.candidate.development,Dr. Michael Rodriguez,Data Science Research Center,2024-12-19,"Random forest with balanced tree depth and ensemble size"
advanced_ml_comparison_005,RandomForest,random_forest,candidate,"{""n_estimators"": 200, ""max_depth"": 15, ""min_samples_split"": 3, ""random_state"": 43}",bayesian_optimization,train,2,development,excellent,0.8567,0.8534,0.8489,0.8511,0.9123,28.45,156.7,1024.6,high,0.8267,0.8867,0.0089,p01,large,1000,43,15,20200,0.8523,0.8578,0.8567,wilcoxon,fdr_bh,exploration,technical,training.model.candidate.development,Dr. Michael Rodriguez,Data Science Research Center,2024-12-19,"Deeper random forest with larger ensemble showing superior performance"
advanced_ml_comparison_006,RandomForest,random_forest,candidate,"{""n_estimators"": 300, ""max_depth"": 20, ""min_samples_split"": 2, ""random_state"": 44}",bayesian_optimization,train,3,development,excellent,0.8634,0.8598,0.8556,0.8577,0.9187,41.23,234.5,1536.9,high,0.8334,0.8934,0.0067,p01,large,1000,43,15,30300,0.8589,0.8645,0.8634,wilcoxon,fdr_bh,exploration,technical,training.model.candidate.development,Dr. Michael Rodriguez,Data Science Research Center,2024-12-19,"Maximum depth random forest approaching overfitting boundary"
advanced_ml_comparison_007,GradientBoosting,gradient_boosting,candidate,"{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 6, ""random_state"": 45}",bayesian_optimization,train,1,development,excellent,0.8745,0.8712,0.8667,0.8689,0.9345,45.78,67.8,256.7,high,0.8445,0.9045,0.0034,p01,large,1000,44,15,600,0.8701,0.8756,0.8745,paired_t_test,holm_bonferroni,exploration,technical,training.model.candidate.development,Dr. Emily Zhang,Machine Learning Innovation Lab,2024-12-19,"Gradient boosting with optimal learning rate and tree depth"
advanced_ml_comparison_008,GradientBoosting,gradient_boosting,candidate,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 8, ""random_state"": 46}",bayesian_optimization,train,2,development,excellent,0.8812,0.8789,0.8734,0.8761,0.9412,67.89,89.3,384.5,high,0.8512,0.9112,0.0023,p01,large,1000,44,15,1200,0.8767,0.8823,0.8812,paired_t_test,holm_bonferroni,exploration,technical,training.model.candidate.development,Dr. Emily Zhang,Machine Learning Innovation Lab,2024-12-19,"Lower learning rate with deeper trees for improved stability"
advanced_ml_comparison_009,GradientBoosting,gradient_boosting,candidate,"{""n_estimators"": 200, ""learning_rate"": 0.01, ""max_depth"": 10, ""random_state"": 47}",bayesian_optimization,train,3,development,excellent,0.8756,0.8723,0.8689,0.8706,0.9378,89.45,112.6,512.8,high,0.8456,0.9056,0.0041,p01,large,1000,44,15,2000,0.8712,0.8767,0.8756,paired_t_test,holm_bonferroni,exploration,technical,training.model.candidate.development,Dr. Emily Zhang,Machine Learning Innovation Lab,2024-12-19,"Conservative learning rate requiring more estimators"
advanced_ml_comparison_010,MLPClassifier,neural_network,candidate,"{""hidden_layer_sizes"": [100, 50], ""activation"": ""relu"", ""solver"": ""adam"", ""max_iter"": 1000}",neural_architecture_search,train,1,development,good,0.8234,0.8189,0.8134,0.8161,0.8923,156.78,45.6,512.4,high,0.7934,0.8534,0.0156,p05,medium,1000,46,15,5150,0.8189,0.8245,0.8234,mcnemar,fdr_bh,exploration,technical,training.model.candidate.development,Dr. Jennifer Liu,Deep Learning Research Institute,2024-12-19,"Two-layer neural network with ReLU activation"
