experiment_id,model_name,model_type,algorithm_type,optimization_method,timestamp,epoch,training_loss,validation_loss,learning_rate,training_accuracy,validation_accuracy,training_phase,convergence_status,early_stopping_counter,checkpoint_created,batch_size,gradient_norm,learning_rate_schedule,optimizer_state,regularization_loss,momentum,weight_decay,model_architecture,layer_count,parameter_count,memory_usage_mb,training_time_seconds,gpu_utilization,data_augmentation,dropout_rate,batch_normalization,activation_function,loss_function,scheduler_type,warmup_steps,performance_tier,confidence_level,statistical_significance,model_complexity,training_environment,data_quality_condition,inference_environment,validation_level,purpose
TS-001-001,temporal_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T09:00:00.000Z,1,2.4567,2.5123,0.001,0.2345,0.2234,initialization,training,0,false,32,0.8456,constant,initializing,0.0234,0.9,0.0001,lstm_single_layer,1,125000,486.2,12.34,0.78,true,0.2,true,tanh,mse,constant,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-001-002,temporal_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T09:00:30.000Z,2,2.3456,2.4567,0.001,0.2567,0.2456,initialization,training,0,false,32,0.8234,constant,optimizing,0.0198,0.9,0.0001,lstm_single_layer,1,125000,485.7,11.89,0.76,true,0.2,true,tanh,mse,constant,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-001-003,temporal_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T09:01:00.000Z,3,2.2345,2.3456,0.001,0.2789,0.2678,initialization,training,0,false,32,0.7998,constant,optimizing,0.0167,0.9,0.0001,lstm_single_layer,1,125000,484.9,11.45,0.74,true,0.2,true,tanh,mse,constant,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-001-004,temporal_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T09:01:30.000Z,4,2.1234,2.2345,0.001,0.3012,0.2901,initialization,training,0,false,32,0.7765,constant,optimizing,0.0145,0.9,0.0001,lstm_single_layer,1,125000,484.1,11.12,0.72,true,0.2,true,tanh,mse,constant,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-001-005,temporal_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T09:02:00.000Z,5,2.0123,2.1234,0.001,0.3234,0.3123,initialization,training,0,true,32,0.7543,constant,optimizing,0.0129,0.9,0.0001,lstm_single_layer,1,125000,483.5,10.78,0.70,true,0.2,true,tanh,mse,constant,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-001-006,temporal_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T09:02:30.000Z,6,1.9012,2.0123,0.001,0.3456,0.3345,convergence,training,0,false,32,0.7321,constant,optimizing,0.0118,0.9,0.0001,lstm_single_layer,1,125000,482.8,10.45,0.68,true,0.2,true,tanh,mse,constant,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-001-007,temporal_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T09:03:00.000Z,7,1.8901,1.9012,0.001,0.3678,0.3567,convergence,training,0,false,32,0.7098,constant,optimizing,0.0109,0.9,0.0001,lstm_single_layer,1,125000,482.1,10.23,0.66,true,0.2,true,tanh,mse,constant,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-001-008,temporal_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T09:03:30.000Z,8,1.7890,1.8901,0.001,0.3901,0.3789,convergence,training,0,false,32,0.6876,constant,optimizing,0.0101,0.9,0.0001,lstm_single_layer,1,125000,481.4,9.98,0.64,true,0.2,true,tanh,mse,constant,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-001-009,temporal_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T09:04:00.000Z,9,1.6879,1.7890,0.001,0.4123,0.4012,convergence,training,0,false,32,0.6654,constant,optimizing,0.0094,0.9,0.0001,lstm_single_layer,1,125000,480.7,9.76,0.62,true,0.2,true,tanh,mse,constant,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-001-010,temporal_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T09:04:30.000Z,10,1.5868,1.6879,0.001,0.4345,0.4234,convergence,converged,0,true,32,0.6432,constant,optimizing,0.0088,0.9,0.0001,lstm_single_layer,1,125000,480.0,9.54,0.60,true,0.2,true,tanh,mse,constant,0,good,medium,significant,medium,development,training.data.cleaned,development,Level-2,exploration
