enterprise_context_id,business_unit,department,project_code,experiment_id,condition_hierarchy,complex_condition_param,enterprise_tier,compliance_tier,approval_status,stakeholder_context,governance_framework,regulatory_status,audit_trail_id,roi_impact_score,decision_relevance_score,stakeholder_priority_level,business_value_score,implementation_complexity,strategic_alignment_score,resource_allocation_tier,budget_category,approval_workflow_stage,compliance_validation_status,enterprise_risk_assessment,data_governance_classification,visualization_purpose,chart_complexity_level,presentation_audience,executive_visibility,technical_depth_required,statistical_rigor_level,publication_readiness,peer_review_status,citation_worthiness,academic_impact_factor,industry_benchmark_relevance,competitive_intelligence_sensitivity,intellectual_property_classification,export_control_status,security_clearance_required,data_sensitivity_level,privacy_compliance_status,gdpr_compliance_status,hipaa_compliance_status,sox_compliance_status,iso_compliance_status,quality_assurance_level,validation_methodology,testing_coverage_percent,performance_benchmark_category,sla_compliance_status,uptime_requirement_percent,availability_tier,disaster_recovery_tier,backup_retention_policy,change_management_status,version_control_integration,ci_cd_pipeline_integration,deployment_automation_level,monitoring_dashboard_integration,alerting_configuration_status,log_aggregation_enabled,metrics_collection_enabled,observability_maturity_level,incident_response_integration,escalation_procedure_defined,on_call_rotation_assigned,service_level_agreement,operational_excellence_score,customer_impact_assessment,business_continuity_priority,market_differentiation_value,innovation_index_score,technology_maturity_level,scalability_assessment,maintainability_index,technical_debt_ratio,code_quality_score,documentation_completeness,test_automation_coverage,security_scan_status,vulnerability_assessment_score,penetration_test_status,compliance_audit_frequency,regulatory_reporting_requirements,enterprise_architecture_alignment,integration_complexity_score,data_lineage_documented,master_data_management_compliance,data_quality_score,metadata_management_status,data_catalog_integration,analytics_maturity_level,machine_learning_readiness,ai_governance_compliance,model_validation_status,algorithmic_bias_assessment,fairness_evaluation_status,explainability_requirement_level,interpretability_score,transparency_mandate_compliance,ethical_ai_framework_compliance,responsible_ai_principles_adoption
ENTCTX-2024-001,DataScience,MachineLearning,PROJ-ML-2024-001,EXP-2024-001,datascience.machinelearning.proj_ml_2024_001.baseline_model_development,datascience.machinelearning.baseline_model_development,enterprise,tier_1,approved,executive_steering_committee,enterprise_data_governance,compliant,AUDIT-ENT-001,0.89,0.92,critical,0.88,medium,0.94,tier_1,strategic_investment,final_approval,validated,low_risk,restricted,ml_model_performance,high,c_suite_executives,high,medium,high,publication_ready,peer_reviewed,high,0.85,high,confidential,proprietary,exempt,secret,pii_sensitive,compliant,compliant,compliant,compliant,iso27001_certified,enterprise_grade,automated_testing,95.5,tier_1_performance,sla_compliant,99.9,tier_1,tier_1,7_years,approved,integrated,integrated,fully_automated,integrated,configured,enabled,enabled,advanced,integrated,defined,assigned,tier_1_sla,0.96,high,critical,high,0.91,mature,excellent,0.92,0.08,0.95,complete,95.0,passed,0.98,passed,quarterly,gdpr_sox_reporting,fully_aligned,0.89,documented,compliant,0.94,enterprise_managed,integrated,advanced,ready,compliant,assessed,evaluated,compliant,high,0.92,compliant,compliant,adopted
ENTCTX-2024-002,DataScience,MachineLearning,PROJ-ML-2024-001,EXP-2024-002,datascience.machinelearning.proj_ml_2024_001.random_forest_optimization,datascience.machinelearning.random_forest_optimization,enterprise,tier_1,approved,technical_advisory_board,enterprise_data_governance,compliant,AUDIT-ENT-002,0.91,0.89,high,0.90,medium,0.91,tier_1,strategic_investment,approved,validated,low_risk,restricted,algorithm_optimization,high,technical_leaders,high,high,high,publication_ready,under_review,high,0.88,high,confidential,proprietary,exempt,confidential,pii_sensitive,compliant,compliant,compliant,compliant,iso27001_certified,enterprise_grade,automated_testing,96.2,tier_1_performance,sla_compliant,99.9,tier_1,tier_1,7_years,approved,integrated,integrated,fully_automated,integrated,configured,enabled,enabled,advanced,integrated,defined,assigned,tier_1_sla,0.94,high,critical,high,0.92,mature,excellent,0.91,0.09,0.94,complete,96.0,passed,0.97,passed,quarterly,gdpr_sox_reporting,fully_aligned,0.91,documented,compliant,0.93,enterprise_managed,integrated,advanced,ready,compliant,assessed,evaluated,compliant,high,0.91,compliant,compliant,adopted
ENTCTX-2024-003,DataScience,MachineLearning,PROJ-ML-2024-001,EXP-2024-003,datascience.machinelearning.proj_ml_2024_001.gradient_boosting_enhancement,datascience.machinelearning.gradient_boosting_enhancement,enterprise,tier_1,approved,product_steering_committee,enterprise_data_governance,compliant,AUDIT-ENT-003,0.93,0.91,critical,0.92,high,0.93,tier_1,strategic_investment,approved,validated,medium_risk,restricted,ensemble_methods,very_high,product_management,high,high,very_high,publication_ready,peer_reviewed,very_high,0.90,very_high,confidential,proprietary,controlled,secret,pii_sensitive,compliant,compliant,compliant,compliant,iso27001_certified,enterprise_grade,automated_testing,97.1,tier_1_performance,sla_compliant,99.95,tier_1,tier_1,7_years,approved,integrated,integrated,fully_automated,integrated,configured,enabled,enabled,advanced,integrated,defined,assigned,tier_1_sla,0.97,very_high,critical,very_high,0.94,mature,excellent,0.93,0.07,0.96,complete,97.0,passed,0.98,passed,quarterly,gdpr_sox_reporting,fully_aligned,0.93,documented,compliant,0.95,enterprise_managed,integrated,advanced,ready,compliant,assessed,evaluated,compliant,very_high,0.93,compliant,compliant,adopted
ENTCTX-2024-004,DataScience,MachineLearning,PROJ-ML-2024-001,EXP-2024-004,datascience.machinelearning.proj_ml_2024_001.neural_network_architecture,datascience.machinelearning.neural_network_architecture,enterprise,tier_1,approved,ai_ethics_committee,enterprise_ai_governance,compliant,AUDIT-ENT-004,0.95,0.94,critical,0.94,very_high,0.95,tier_1,strategic_investment,approved,validated,high_risk,restricted,deep_learning_architecture,very_high,ai_governance_board,very_high,very_high,very_high,publication_ready,peer_reviewed,very_high,0.92,very_high,confidential,proprietary,controlled,top_secret,pii_sensitive,compliant,compliant,compliant,compliant,iso27001_certified,enterprise_grade,automated_testing,98.5,tier_1_performance,sla_compliant,99.99,tier_1,tier_1,10_years,approved,integrated,integrated,fully_automated,integrated,configured,enabled,enabled,advanced,integrated,defined,assigned,tier_1_sla,0.98,very_high,critical,very_high,0.96,cutting_edge,excellent,0.95,0.05,0.97,complete,98.0,passed,0.99,passed,monthly,ai_governance_reporting,fully_aligned,0.95,documented,compliant,0.97,enterprise_managed,integrated,expert,ready,compliant,assessed,evaluated,compliant,very_high,0.95,compliant,compliant,adopted
ENTCTX-2024-005,DataScience,MachineLearning,PROJ-ML-2024-001,EXP-2024-005,datascience.machinelearning.proj_ml_2024_001.ensemble_champion_model,datascience.machinelearning.ensemble_champion_model,enterprise,tier_1,approved,board_of_directors,enterprise_data_governance,compliant,AUDIT-ENT-005,0.97,0.96,critical,0.96,very_high,0.97,tier_1,strategic_investment,board_approved,validated,low_risk,highly_restricted,champion_model_selection,very_high,board_of_directors,very_high,very_high,very_high,publication_ready,published,very_high,0.95,very_high,highly_confidential,trade_secret,restricted,top_secret,pii_sensitive,compliant,compliant,compliant,compliant,iso27001_certified,enterprise_grade,automated_testing,99.2,tier_1_performance,sla_compliant,99.99,tier_1,tier_1,indefinite,approved,integrated,integrated,fully_automated,integrated,configured,enabled,enabled,expert,integrated,defined,assigned,tier_1_sla,0.99,very_high,mission_critical,very_high,0.98,cutting_edge,excellent,0.97,0.03,0.98,complete,99.0,passed,0.99,passed,continuous,comprehensive_reporting,fully_aligned,0.97,documented,compliant,0.98,enterprise_managed,integrated,expert,production_ready,compliant,assessed,evaluated,compliant,very_high,0.97,compliant,compliant,adopted
ENTCTX-2024-006,BusinessIntelligence,Analytics,PROJ-BI-2024-002,EXP-2024-006,businessintelligence.analytics.proj_bi_2024_002.customer_segmentation_analysis,businessintelligence.analytics.customer_segmentation_analysis,enterprise,tier_2,approved,marketing_steering_committee,enterprise_data_governance,compliant,AUDIT-ENT-006,0.85,0.87,high,0.86,medium,0.88,tier_2,operational_excellence,approved,validated,low_risk,confidential,customer_analytics,medium,marketing_leadership,medium,medium,medium,dashboard_ready,validated,medium,0.78,medium,confidential,internal_use,exempt,confidential,customer_data,compliant,compliant,not_applicable,compliant,iso27001_certified,standard,automated_testing,90.0,tier_2_performance,sla_compliant,99.5,tier_2,tier_2,5_years,approved,integrated,integrated,semi_automated,integrated,configured,enabled,enabled,standard,integrated,defined,assigned,tier_2_sla,0.88,medium,high,medium,0.82,mature,good,0.85,0.15,0.88,good,90.0,passed,0.90,passed,quarterly,gdpr_reporting,aligned,0.83,documented,compliant,0.87,managed,integrated,intermediate,ready,compliant,assessed,evaluated,compliant,medium,0.85,compliant,compliant,adopted
ENTCTX-2024-007,BusinessIntelligence,Analytics,PROJ-BI-2024-002,EXP-2024-007,businessintelligence.analytics.proj_bi_2024_002.revenue_optimization_insights,businessintelligence.analytics.revenue_optimization_insights,enterprise,tier_2,approved,finance_committee,enterprise_data_governance,compliant,AUDIT-ENT-007,0.88,0.90,critical,0.89,medium,0.90,tier_2,strategic_investment,approved,validated,medium_risk,confidential,revenue_analytics,high,finance_leadership,high,medium,high,dashboard_ready,reviewed,high,0.82,high,confidential,internal_use,exempt,confidential,financial_data,compliant,not_applicable,compliant,compliant,iso27001_certified,enterprise_grade,automated_testing,92.5,tier_2_performance,sla_compliant,99.7,tier_2,tier_2,7_years,approved,integrated,integrated,semi_automated,integrated,configured,enabled,enabled,standard,integrated,defined,assigned,tier_2_sla,0.91,high,critical,high,0.86,mature,good,0.88,0.12,0.90,good,92.0,passed,0.92,passed,quarterly,sox_reporting,aligned,0.86,documented,compliant,0.89,managed,integrated,intermediate,ready,compliant,assessed,evaluated,compliant,high,0.88,compliant,compliant,adopted
ENTCTX-2024-008,BusinessIntelligence,Analytics,PROJ-BI-2024-002,EXP-2024-008,businessintelligence.analytics.proj_bi_2024_002.predictive_demand_forecasting,businessintelligence.analytics.predictive_demand_forecasting,enterprise,tier_2,approved,supply_chain_committee,enterprise_data_governance,compliant,AUDIT-ENT-008,0.87,0.88,high,0.87,high,0.89,tier_2,operational_excellence,approved,validated,medium_risk,confidential,demand_forecasting,high,operations_leadership,medium,high,high,dashboard_ready,validated,high,0.80,high,confidential,internal_use,exempt,confidential,operational_data,compliant,not_applicable,not_applicable,compliant,iso27001_certified,standard,automated_testing,91.8,tier_2_performance,sla_compliant,99.6,tier_2,tier_2,5_years,approved,integrated,integrated,semi_automated,integrated,configured,enabled,enabled,standard,integrated,defined,assigned,tier_2_sla,0.89,high,high,high,0.84,mature,good,0.87,0.13,0.89,good,91.5,passed,0.91,passed,quarterly,operational_reporting,aligned,0.85,documented,compliant,0.88,managed,integrated,intermediate,ready,compliant,assessed,evaluated,compliant,high,0.87,compliant,compliant,adopted
ENTCTX-2024-009,RiskManagement,Compliance,PROJ-RISK-2024-003,EXP-2024-009,riskmanagement.compliance.proj_risk_2024_003.regulatory_stress_testing,riskmanagement.compliance.regulatory_stress_testing,enterprise,tier_1,approved,risk_committee,enterprise_risk_governance,compliant,AUDIT-ENT-009,0.92,0.95,critical,0.93,very_high,0.95,tier_1,regulatory_compliance,board_approved,validated,high_risk,highly_restricted,stress_testing,very_high,board_of_directors,very_high,very_high,very_high,regulatory_submission,regulatory_approved,very_high,0.90,very_high,highly_confidential,regulatory_filing,restricted,top_secret,regulatory_data,compliant,not_applicable,compliant,compliant,iso27001_certified,regulatory_grade,manual_validation,98.0,tier_1_performance,regulatory_compliant,99.95,tier_1,tier_1,permanent,approved,integrated,integrated,fully_automated,integrated,configured,enabled,enabled,expert,integrated,defined,assigned,regulatory_sla,0.96,very_high,mission_critical,very_high,0.93,mature,excellent,0.94,0.06,0.96,complete,98.5,passed,0.98,passed,monthly,regulatory_reporting,fully_aligned,0.92,documented,compliant,0.95,enterprise_managed,integrated,expert,production_ready,compliant,assessed,evaluated,compliant,very_high,0.93,compliant,compliant,adopted
ENTCTX-2024-010,RiskManagement,Compliance,PROJ-RISK-2024-003,EXP-2024-010,riskmanagement.compliance.proj_risk_2024_003.capital_adequacy_modeling,riskmanagement.compliance.capital_adequacy_modeling,enterprise,tier_1,approved,audit_committee,enterprise_risk_governance,compliant,AUDIT-ENT-010,0.94,0.93,critical,0.94,very_high,0.94,tier_1,regulatory_compliance,audit_approved,validated,high_risk,highly_restricted,capital_modeling,very_high,audit_committee,very_high,very_high,very_high,regulatory_submission,auditor_reviewed,very_high,0.91,very_high,highly_confidential,regulatory_filing,restricted,top_secret,financial_regulatory,compliant,not_applicable,compliant,compliant,iso27001_certified,audit_grade,external_audit,99.0,tier_1_performance,regulatory_compliant,99.99,tier_1,tier_1,permanent,approved,integrated,integrated,fully_automated,integrated,configured,enabled,enabled,expert,integrated,defined,assigned,regulatory_sla,0.97,very_high,mission_critical,very_high,0.95,mature,excellent,0.95,0.05,0.97,complete,99.0,passed,0.99,passed,continuous,regulatory_audit_reporting,fully_aligned,0.94,documented,compliant,0.96,enterprise_managed,integrated,expert,production_ready,compliant,assessed,evaluated,compliant,very_high,0.94,compliant,compliant,adopted
