analysis_id,study_name,experimental_group,condition_id,significance_level,statistical_test,sample_size,mean_value,std_error,confidence_interval_lower,confidence_interval_upper,effect_size_cohen_d,effect_size_eta_squared,p_value,statistical_power,bayes_factor,cohen_d_interpretation,practical_significance,publication_status,journal_requirements,figure_standard,peer_review_status,methodology_validation,experiment_phase,data_quality_score,treatment_efficacy,baseline_comparison,model_performance_metric,performance_level,target_audience,report_type,report_section,analysis_timestamp,analysis_version,reproducibility_seed,validation_status
STAT_001,Advanced_ML_Performance_Study,control,experiment.control,p05,two_sample_ttest,150,0.742,0.0342,0.6754,0.8086,0.000,0.000,1.0000,0.050,0.103,negligible,no,draft,ieee_transactions,journal_quality,peer_review_pending,methodology_approved,baseline,0.94,baseline,reference,accuracy,high,technical_researchers,technical_analysis,performance,2024-12-19T10:30:45Z,1.0.0,42,validated
STAT_002,Advanced_ML_Performance_Study,treatment_a,experiment.treatment.group_a,p001,two_sample_ttest,145,0.856,0.0389,0.7799,0.9321,2.547,0.156,0.0001,0.989,31.2,large,yes,ready_for_submission,nature_machine_intelligence,journal_quality,peer_review_complete,methodology_validated,intervention,0.97,significant_improvement,24.8%_improvement,accuracy,high,academic_researchers,publication,results,2024-12-19T10:30:45Z,1.0.0,42,validated
STAT_003,Advanced_ML_Performance_Study,treatment_b,experiment.treatment.group_b,p01,two_sample_ttest,142,0.823,0.0356,0.7530,0.8930,1.942,0.098,0.003,0.923,18.7,large,yes,ready_for_submission,nature_machine_intelligence,journal_quality,peer_review_complete,methodology_validated,intervention,0.96,moderate_improvement,18.3%_improvement,accuracy,high,academic_researchers,publication,results,2024-12-19T10:30:45Z,1.0.0,42,validated
STAT_004,Advanced_ML_Performance_Study,treatment_c,experiment.treatment.group_c,p05,two_sample_ttest,138,0.789,0.0398,0.7111,0.8669,1.124,0.041,0.032,0.756,8.4,medium,yes,ready_for_submission,nature_machine_intelligence,journal_quality,peer_review_complete,methodology_validated,intervention,0.93,modest_improvement,12.1%_improvement,accuracy,medium,academic_researchers,publication,results,2024-12-19T10:30:45Z,1.0.0,42,validated
STAT_005,Advanced_ML_Performance_Study,treatment_d,experiment.treatment.group_d,not_significant,two_sample_ttest,140,0.758,0.0411,0.6774,0.8386,0.387,0.008,0.184,0.289,2.1,small,no,draft,ieee_transactions,journal_quality,peer_review_pending,methodology_approved,intervention,0.91,minimal_improvement,4.2%_improvement,accuracy,medium,technical_researchers,technical_analysis,results,2024-12-19T10:30:45Z,1.0.0,42,validated
STAT_006,Cross_Validation_Robustness_Analysis,baseline_model,training.model.baseline,p001,paired_ttest,100,0.734,0.0287,0.6775,0.7905,0.000,0.000,1.0000,0.050,0.098,negligible,no,ready_for_submission,jmlr,journal_quality,peer_review_complete,methodology_validated,baseline,0.95,baseline,reference,f1_score,high,academic_researchers,publication,methodology,2024-12-19T10:32:15Z,1.0.0,42,validated
STAT_007,Cross_Validation_Robustness_Analysis,candidate_model,training.model.candidate,p001,paired_ttest,100,0.891,0.0312,0.8297,0.9523,3.847,0.267,0.0001,0.999,89.3,large,yes,ready_for_submission,jmlr,journal_quality,peer_review_complete,methodology_validated,intervention,0.98,significant_improvement,32.7%_improvement,f1_score,high,academic_researchers,publication,results,2024-12-19T10:32:15Z,1.0.0,42,validated
STAT_008,Cross_Validation_Robustness_Analysis,champion_model,training.model.champion,p001,paired_ttest,100,0.924,0.0298,0.8653,0.9827,4.523,0.334,0.0001,1.000,156.8,large,yes,ready_for_submission,jmlr,journal_quality,peer_review_complete,methodology_validated,intervention,0.99,significant_improvement,42.1%_improvement,f1_score,high,academic_researchers,publication,results,2024-12-19T10:32:15Z,1.0.0,42,validated
STAT_009,Multi_Environment_Deployment_Study,development_env,inference.development,not_significant,one_way_anova,75,0.812,0.0445,0.7245,0.8995,0.654,0.019,0.089,0.432,3.2,medium,no,draft,acm_computing_surveys,conference_quality,peer_review_pending,methodology_approved,deployment,0.89,acceptable_performance,baseline,latency_ms,medium,engineering_teams,technical_analysis,deployment,2024-12-19T10:34:28Z,1.0.0,42,validated
STAT_010,Multi_Environment_Deployment_Study,staging_env,inference.staging,p05,one_way_anova,78,0.867,0.0398,0.7889,0.9451,1.287,0.053,0.021,0.812,12.1,medium,yes,ready_for_submission,acm_computing_surveys,conference_quality,peer_review_complete,methodology_validated,deployment,0.92,improved_performance,15.2%_improvement,latency_ms,high,engineering_teams,publication,deployment,2024-12-19T10:34:28Z,1.0.0,42,validated
STAT_011,Multi_Environment_Deployment_Study,production_env,inference.production,p001,one_way_anova,82,0.923,0.0356,0.8529,0.9931,2.845,0.187,0.0001,0.987,42.7,large,yes,ready_for_submission,acm_computing_surveys,conference_quality,peer_review_complete,methodology_validated,deployment,0.96,excellent_performance,27.9%_improvement,latency_ms,high,engineering_teams,publication,deployment,2024-12-19T10:34:28Z,1.0.0,42,validated
STAT_012,Confidence_Level_Analysis,high_confidence,inference.confidence.high,p001,chi_square_test,200,0.954,0.0234,0.9081,0.9999,4.123,0.298,0.0001,1.000,98.5,large,yes,ready_for_submission,machine_learning_journal,journal_quality,peer_review_complete,methodology_validated,validation,0.97,excellent_reliability,reference,precision,high,data_scientists,publication,validation,2024-12-19T10:36:42Z,1.0.0,42,validated
