# Advanced ML Experiment Results Matrix for FigRegistry-Kedro Integration
# ============================================================================
#
# This comprehensive experimental dataset demonstrates the sophisticated 
# capabilities of the figregistry-kedro plugin integration for automated
# visualization styling, complex condition-based resolution, and multi-environment
# deployment patterns within enterprise data science workflows.
#
# Dataset Purpose:
# - Showcase hierarchical condition matching with F-002-RQ-002 wildcard support
# - Demonstrate environment-specific configuration overrides per F-007-RQ-001/002
# - Provide comprehensive statistical data for publication-quality visualizations
# - Enable FigureDataSet parameter injection and context resolution per F-005-RQ-004
# - Support Kedro versioning integration for experiment tracking per F-005-RQ-002
#
# Key Features Demonstrated:
# ✓ Complex experimental condition hierarchies (algorithm.hyperparameter.environment)
# ✓ Multi-algorithm comparison across baseline/candidate/champion model types
# ✓ Statistical significance testing with p-values and confidence intervals
# ✓ A/B testing framework with treatment groups and control conditions
# ✓ Environment-specific performance metrics (development, staging, production)
# ✓ Hyperparameter optimization results with convergence analysis
# ✓ Model interpretability metrics and feature importance rankings
# ✓ Performance monitoring with SLA compliance tracking
# ✓ Publication-ready statistical summaries with effect sizes
# ✓ Enterprise compliance metrics for governance and audit requirements
#
# Condition Resolution Examples:
# - experiment_id="baseline_logistic_regression_dev" → training.model.baseline.development
# - algorithm="random_forest" + model_type="champion" → training.model.champion + training.model.random_forest
# - environment="production" + performance_tier="high" → *.production + performance.target
# - statistical_significance="p001" → result.significant.p001
# - treatment_group="group_a" → experiment.treatment.group_a
#
# Statistical Data Completeness:
# - Performance metrics: accuracy, precision, recall, f1_score, auc_roc
# - Statistical measures: mean, std_dev, confidence_interval_lower/upper
# - Significance testing: p_value, effect_size, statistical_power
# - Experimental design: sample_size, cross_validation_folds, random_seed
# - Quality metrics: data_quality_score, model_stability_index
#
# Environment Integration:
# - Development: Debug-enabled metrics with verbose diagnostics
# - Staging: Validation-focused metrics with quality gates
# - Production: Performance-optimized metrics with SLA monitoring
#
# Data Schema and Format:
# Comma-separated values with comprehensive metadata columns designed to
# trigger sophisticated condition-based styling through FigRegistry's
# hierarchical pattern matching and environment-specific override system.
#
experiment_id,algorithm,model_type,environment,dataset_size,treatment_group,statistical_significance,performance_tier,hyperparameter_set,cross_validation_fold,random_seed,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_score_mean,f1_score_std,f1_score_ci_lower,f1_score_ci_upper,auc_roc_mean,auc_roc_std,auc_roc_ci_lower,auc_roc_ci_upper,training_time_seconds,inference_time_ms,memory_usage_mb,p_value,effect_size,statistical_power,sample_size,data_quality_score,model_stability_index,feature_importance_entropy,hyperparameter_optimization_iterations,convergence_epoch,early_stopping_patience,learning_rate,regularization_strength,batch_size,dropout_rate,n_estimators,max_depth,min_samples_split,min_samples_leaf,confidence_level,prediction_variance,model_complexity_score,interpretability_score,bias_variance_tradeoff,overfitting_risk_score,underfitting_risk_score,computational_efficiency_score,deployment_readiness_score,governance_compliance_score,audit_trail_completeness,validation_framework_coverage,test_coverage_percentage,documentation_completeness_score,reproducibility_score,performance_regression_risk,scalability_assessment_score,monitoring_coverage_score,error_rate_percentage,latency_p95_ms,throughput_requests_per_second,resource_utilization_percentage,cost_per_prediction_usd,model_drift_detection_score,data_drift_detection_score,alert_threshold_breaches,sla_compliance_percentage,business_impact_score,stakeholder_satisfaction_score,technical_debt_score,maintenance_burden_score,upgrade_compatibility_score,security_assessment_score,privacy_compliance_score,ethical_ai_assessment_score,environmental_impact_score,experiment_timestamp,pipeline_version,kedro_run_id,figregistry_version,styling_condition_resolved,condition_hierarchy_depth,wildcard_patterns_matched,environment_overrides_applied,performance_sla_met,publication_quality_achieved
baseline_logistic_regression_dev,logistic_regression,baseline,development,10000,control,not_significant,medium,lr_baseline_v1,1,42,0.7234,0.0156,0.7085,0.7383,0.7189,0.0234,0.6985,0.7393,0.7445,0.0198,0.7245,0.7645,0.7298,0.0187,0.7112,0.7484,0.7891,0.0134,0.7756,0.8026,145.67,2.3,256.4,0.0789,0.245,0.567,8000,0.8234,0.7456,0.6789,45,23,10,0.001,0.01,32,0.0,100,6,2,1,high,0.0456,6.7,8.2,0.234,0.123,0.345,7.8,8.5,9.1,0.945,0.876,94.5,8.7,9.2,0.045,8.9,9.3,2.34,15.6,1234.5,67.8,0.00234,0.123,0.234,2,98.7,8.4,8.9,6.7,5.4,8.9,9.1,8.7,8.9,7.8,2024-12-19T10:30:45.123Z,v1.2.3,kedro_20241219_103045_baseline_dev,0.3.0,training.model.baseline.development,3,2,1,true,false
candidate_random_forest_dev,random_forest,candidate,development,10000,control,significant,high,rf_candidate_v2,1,42,0.8456,0.0123,0.8334,0.8578,0.8234,0.0156,0.8078,0.8390,0.8567,0.0134,0.8433,0.8701,0.8389,0.0145,0.8244,0.8534,0.8934,0.0089,0.8845,0.9023,567.89,1.8,512.7,0.0234,0.678,0.892,8000,0.8967,0.8234,0.7456,78,45,15,0.0,0.001,64,0.0,200,8,5,2,high,0.0234,8.9,9.1,0.345,0.067,0.234,9.2,9.4,9.6,0.967,0.923,96.7,9.3,9.5,0.023,9.4,9.6,1.23,12.4,1567.8,78.9,0.00156,0.067,0.123,1,99.2,9.1,9.3,7.8,6.9,9.2,9.4,9.1,9.3,8.4,2024-12-19T10:35:12.456Z,v1.2.3,kedro_20241219_103512_candidate_dev,0.3.0,training.model.candidate.development,3,2,1,true,false
champion_gradient_boosting_dev,gradient_boosting,champion,development,10000,control,highly_significant,excellent,gb_champion_v3,1,42,0.9123,0.0089,0.9034,0.9212,0.8945,0.0098,0.8847,0.9043,0.9234,0.0087,0.9147,0.9321,0.9089,0.0092,0.8997,0.9181,0.9456,0.0076,0.9380,0.9532,1234.56,1.2,768.9,0.0008,0.923,0.978,8000,0.9234,0.8967,0.8456,112,67,20,0.01,0.0001,128,0.1,500,10,10,5,high,0.0123,9.8,9.6,0.456,0.034,0.123,9.6,9.8,9.7,0.987,0.956,98.7,9.6,9.8,0.012,9.7,9.8,0.89,8.9,2134.7,89.4,0.00089,0.034,0.067,0,99.8,9.6,9.7,8.9,8.2,9.6,9.8,9.6,9.7,9.1,2024-12-19T10:40:33.789Z,v1.2.3,kedro_20241219_104033_champion_dev,0.3.0,training.model.champion.development,3,2,1,true,false
baseline_neural_network_staging,neural_network,baseline,staging,25000,control,not_significant,medium,nn_baseline_v1,2,123,0.7567,0.0145,0.7422,0.7712,0.7234,0.0167,0.7067,0.7401,0.7789,0.0156,0.7633,0.7945,0.7489,0.0151,0.7338,0.7640,0.8123,0.0123,0.8000,0.8246,2345.67,3.4,1024.5,0.0567,0.289,0.623,20000,0.8456,0.7789,0.7123,234,156,25,0.0001,0.001,64,0.2,0,0,0,0,medium,0.0345,7.2,8.4,0.289,0.156,0.234,8.1,8.7,9.0,0.934,0.867,93.4,8.6,9.1,0.034,8.8,9.2,2.67,16.7,1345.6,72.3,0.00267,0.156,0.289,3,97.8,8.2,8.6,7.1,6.2,8.7,9.0,8.4,8.8,8.0,2024-12-19T11:15:22.234Z,v1.2.3,kedro_20241219_111522_baseline_staging,0.3.0,training.model.baseline.staging,3,2,1,true,false
candidate_ensemble_staging,ensemble,candidate,staging,25000,treatment_a,significant,high,ensemble_candidate_v2,2,123,0.8678,0.0098,0.8580,0.8776,0.8456,0.0112,0.8344,0.8568,0.8789,0.0089,0.8700,0.8878,0.8612,0.0103,0.8509,0.8715,0.9123,0.0067,0.9056,0.9190,3456.78,2.1,1536.8,0.0189,0.734,0.912,20000,0.9012,0.8567,0.8234,345,234,30,0.0,0.0,0,0.0,0,0,0,0,high,0.0189,9.1,9.3,0.412,0.089,0.167,9.0,9.5,9.4,0.956,0.912,95.6,9.2,9.4,0.019,9.3,9.5,1.45,11.2,1789.4,82.1,0.00145,0.089,0.167,1,99.1,9.0,9.2,8.3,7.8,9.1,9.3,9.0,9.2,8.7,2024-12-19T11:22:45.567Z,v1.2.3,kedro_20241219_112245_candidate_staging,0.3.0,training.model.candidate.staging,3,2,1,true,false
champion_ensemble_staging,ensemble,champion,staging,25000,treatment_b,highly_significant,excellent,ensemble_champion_v3,2,123,0.9234,0.0067,0.9167,0.9301,0.9123,0.0078,0.9045,0.9201,0.9345,0.0056,0.9289,0.9401,0.9234,0.0072,0.9162,0.9306,0.9567,0.0045,0.9522,0.9612,4567.89,1.8,2048.9,0.0003,0.856,0.987,20000,0.9456,0.9123,0.8789,456,345,35,0.0,0.0,0,0.0,0,0,0,0,high,0.0078,9.7,9.8,0.534,0.045,0.089,9.6,9.8,9.7,0.978,0.967,97.8,9.7,9.8,0.007,9.8,9.9,0.67,7.8,2345.8,91.2,0.00067,0.045,0.089,0,99.7,9.6,9.8,9.1,8.9,9.7,9.8,9.6,9.8,9.4,2024-12-19T11:28:56.890Z,v1.2.3,kedro_20241219_112856_champion_staging,0.3.0,training.model.champion.staging,3,2,1,true,true
baseline_logistic_regression_prod,logistic_regression,baseline,production,50000,control,significant,medium,lr_baseline_prod_v1,3,456,0.7845,0.0089,0.7756,0.7934,0.7567,0.0123,0.7444,0.7690,0.8012,0.0098,0.7914,0.8110,0.7789,0.0112,0.7677,0.7901,0.8234,0.0076,0.8158,0.8310,234.56,1.9,189.7,0.0234,0.423,0.789,40000,0.8789,0.8234,0.7567,67,34,12,0.0005,0.005,64,0.0,100,6,2,1,high,0.0234,7.8,8.9,0.423,0.089,0.234,8.7,9.1,9.3,0.967,0.923,96.7,9.1,9.3,0.023,9.2,9.4,1.89,13.4,1456.7,78.9,0.00189,0.089,0.234,2,98.9,8.7,9.1,7.8,7.2,9.0,9.3,8.9,9.1,8.5,2024-12-19T12:00:00.000Z,v1.2.3,kedro_20241219_120000_baseline_prod,0.3.0,training.model.baseline.production,3,2,1,true,true
candidate_random_forest_prod,random_forest,candidate,production,50000,treatment_a,highly_significant,high,rf_candidate_prod_v2,3,456,0.8789,0.0067,0.8722,0.8856,0.8567,0.0089,0.8478,0.8656,0.8912,0.0078,0.8834,0.8990,0.8723,0.0081,0.8642,0.8804,0.9123,0.0056,0.9067,0.9179,456.78,1.4,345.6,0.0012,0.734,0.934,40000,0.9123,0.8678,0.8234,89,56,18,0.0,0.0005,128,0.0,300,10,8,4,high,0.0123,9.2,9.4,0.512,0.056,0.123,9.3,9.6,9.5,0.978,0.945,97.8,9.4,9.6,0.012,9.5,9.7,1.12,9.8,1789.3,87.6,0.00112,0.056,0.123,1,99.4,9.3,9.5,8.6,8.1,9.4,9.6,9.3,9.5,9.0,2024-12-19T12:05:30.123Z,v1.2.3,kedro_20241219_120530_candidate_prod,0.3.0,training.model.candidate.production,3,2,1,true,true
champion_gradient_boosting_prod,gradient_boosting,champion,production,50000,treatment_c,highly_significant,excellent,gb_champion_prod_v3,3,456,0.9345,0.0045,0.9300,0.9390,0.9234,0.0056,0.9178,0.9290,0.9456,0.0034,0.9422,0.9490,0.9345,0.0049,0.9296,0.9394,0.9678,0.0023,0.9655,0.9701,789.12,0.9,567.8,0.0001,0.912,0.995,40000,0.9567,0.9234,0.8912,134,89,25,0.005,0.00001,256,0.05,800,12,15,8,high,0.0067,9.9,9.7,0.623,0.023,0.067,9.7,9.9,9.8,0.989,0.978,98.9,9.8,9.9,0.006,9.9,9.9,0.45,6.7,2567.9,94.5,0.00045,0.023,0.067,0,99.9,9.7,9.9,9.4,9.1,9.8,9.9,9.7,9.9,9.6,2024-12-19T12:10:45.456Z,v1.2.3,kedro_20241219_121045_champion_prod,0.3.0,training.model.champion.production,3,2,1,true,true
hyperopt_neural_network_dev,neural_network,candidate,development,15000,treatment_d,significant,high,nn_hyperopt_v1,4,789,0.8234,0.0134,0.8100,0.8368,0.8012,0.0156,0.7856,0.8168,0.8345,0.0123,0.8222,0.8468,0.8156,0.0145,0.8011,0.8301,0.8567,0.0098,0.8469,0.8665,1567.89,2.8,896.4,0.0145,0.567,0.823,12000,0.8678,0.8123,0.7789,189,123,22,0.00005,0.0001,96,0.3,0,0,0,0,medium,0.0267,8.2,8.7,0.345,0.123,0.267,8.6,9.0,9.2,0.945,0.889,94.5,8.8,9.1,0.027,8.9,9.3,2.01,14.5,1234.8,71.2,0.00201,0.123,0.267,2,98.1,8.6,8.9,7.6,6.8,8.8,9.2,8.7,9.0,8.3,2024-12-19T13:45:12.789Z,v1.2.4,kedro_20241219_134512_hyperopt_dev,0.3.0,training.model.candidate.development,3,2,1,true,false
