# Model Performance Comparison Summary - Advanced FigRegistry-Kedro Example
# =============================================================================
# 
# Publication-ready model performance comparison dataset demonstrating sophisticated
# condition-based styling capabilities across multiple experimental scenarios.
# This dataset contains comprehensive metrics for different model configurations
# (baseline, optimized, production) with experimental conditions that trigger
# FigRegistry's sophisticated styling system.
#
# Key Features Demonstrated:
# - Complex condition-based styling with multiple experimental scenarios (F-002)
# - Advanced FigureDataSet parameter resolution (F-005-RQ-004)
# - Multi-environment configuration capabilities (F-007)
# - Statistical significance styling patterns (F-002-RQ-002)
# - Publication-ready data format for enterprise reporting (Section 0.1.3)
# - Comprehensive experimental metadata for complex condition matching
# - Hierarchical condition resolution with wildcard pattern support
# - Performance-based conditional styling with threshold triggers
#
# Data Structure:
# Each row represents a complete experimental run with performance metrics,
# confidence intervals, and metadata that feeds directly into FigureDataSet
# for automated visualization generation with environment-specific styling
# based on publication context and experimental conditions.
#
# Condition Mapping Examples:
# - model_type: "baseline" -> resolves to "training.model.baseline" styling
# - environment: "production" -> triggers "*.production" wildcard patterns
# - experimental_group: "treatment_a" -> resolves to "experiment.treatment.group_a"
# - p_value: 0.0003 -> triggers "result.significant.p001" significance styling
# - confidence_level: "high" -> resolves to "inference.confidence.high"
#
# This dataset serves as both functional test data for the advanced example
# and a comprehensive reference for implementing publication-ready experimental
# visualization workflows using the figregistry-kedro integration.
#
# =============================================================================

experiment_id,model_type,algorithm,environment,experimental_group,performance_metric,accuracy,precision,recall,f1_score,auc_roc,confidence_level,confidence_interval_lower,confidence_interval_upper,p_value,effect_size,sample_size,training_time_seconds,inference_time_ms,memory_usage_mb,model_complexity,feature_count,hyperparameter_config,cross_validation_folds,validation_strategy,data_quality_condition,prediction_type,statistical_significance,performance_tier,deployment_status,quality_status,compliance_mode,optimization_method,temporal_split,pipeline_validation,integration_testing,run_timestamp,run_environment,model_version,experiment_condition,purpose,notes
EXP-001-DEV-BASELINE,baseline,logistic_regression,development,control,accuracy,0.7234,0.7156,0.7298,0.7226,0.7834,medium,0.7089,0.7379,0.0234,0.23,2450,45.2,2.3,128.4,low,156,{"C": 1.0},5,stratified_kfold,raw,batch,not_significant,satisfactory,development,pending,development,grid_search,2024-01,training,basic_test,2024-12-19T09:15:23,development,v1.0.0-dev,dev_test_basic,exploratory,"Development baseline model using logistic regression with basic hyperparameters"
EXP-002-DEV-CANDIDATE,candidate,random_forest,development,treatment_a,accuracy,0.8124,0.8067,0.8189,0.8127,0.8656,high,0.8012,0.8236,0.0012,0.45,2450,156.7,8.7,342.1,medium,156,{"n_estimators": 100},5,stratified_kfold,cleaned,batch,significant,good,development,testing,development,random_search,2024-01,training,advanced_test,2024-12-19T09:18:45,development,v1.1.0-dev,dev_test_advanced,exploratory,"Development candidate model with enhanced random forest configuration"
EXP-003-DEV-CHAMPION,champion,gradient_boosting,development,treatment_b,accuracy,0.8567,0.8523,0.8611,0.8567,0.9012,high,0.8467,0.8667,0.0003,0.67,2450,234.5,12.4,445.7,high,156,{"learning_rate": 0.1},5,stratified_kfold,transformed,batch,highly_significant,excellent,development,approved,development,bayesian_optimization,2024-01,training,debug_test,2024-12-19T09:22:17,development,v1.2.0-dev,dev_test_debug,exploratory,"Development champion model with optimized gradient boosting hyperparameters"
EXP-004-STG-BASELINE,baseline,logistic_regression,staging,control,accuracy,0.7345,0.7289,0.7401,0.7344,0.7923,medium,0.7198,0.7492,0.0187,0.28,5200,52.1,2.1,134.2,low,156,{"C": 1.0},10,stratified_kfold,raw,batch,not_significant,satisfactory,staging,validated,staging,grid_search,2024-01,training,validation_test,2024-12-19T10:30:15,staging,v1.0.0-stg,quick_control,presentation,"Staging baseline model validation with expanded dataset"
EXP-005-STG-CANDIDATE,candidate,random_forest,staging,treatment_a,accuracy,0.8234,0.8178,0.8290,0.8234,0.8734,high,0.8134,0.8334,0.0008,0.52,5200,167.3,8.2,356.8,medium,156,{"n_estimators": 150},10,stratified_kfold,cleaned,batch,significant,good,staging,validated,staging,random_search,2024-01,training,validation_test,2024-12-19T10:35:42,staging,v1.1.0-stg,quick_treatment_a,presentation,"Staging candidate model with improved hyperparameter tuning"
EXP-006-STG-CHAMPION,champion,gradient_boosting,staging,treatment_b,accuracy,0.8678,0.8634,0.8722,0.8678,0.9123,high,0.8578,0.8778,0.0001,0.74,5200,245.8,11.9,467.3,high,156,{"learning_rate": 0.08},10,stratified_kfold,transformed,batch,highly_significant,excellent,staging,validated,staging,bayesian_optimization,2024-01,training,validation_test,2024-12-19T10:41:28,staging,v1.2.0-stg,quick_treatment_b,presentation,"Staging champion model with validated hyperparameter optimization"
EXP-007-PROD-BASELINE,baseline,logistic_regression,production,control,accuracy,0.7456,0.7398,0.7514,0.7455,0.8012,medium,0.7312,0.7600,0.0156,0.31,12500,58.9,1.9,142.7,low,156,{"C": 1.2},15,stratified_kfold,raw,realtime,not_significant,satisfactory,production,deployed,production,grid_search,2024-01,inference,production_baseline,monitoring,"Production baseline model optimized for real-time inference"
EXP-008-PROD-CANDIDATE,candidate,random_forest,production,treatment_a,accuracy,0.8367,0.8312,0.8422,0.8367,0.8823,high,0.8267,0.8467,0.0005,0.58,12500,178.4,7.8,389.4,medium,156,{"n_estimators": 200},15,stratified_kfold,cleaned,realtime,significant,good,production,deployed,production,random_search,2024-01,inference,production_candidate,monitoring,"Production candidate model with real-time optimization"
EXP-009-PROD-CHAMPION,champion,gradient_boosting,production,treatment_b,accuracy,0.8789,0.8745,0.8833,0.8789,0.9234,high,0.8689,0.8889,0.00005,0.81,12500,267.2,10.7,498.9,high,156,{"learning_rate": 0.06},15,stratified_kfold,transformed,realtime,highly_significant,excellent,production,deployed,production,bayesian_optimization,2024-01,inference,production_champion,monitoring,"Production champion model with enterprise-grade optimization"
EXP-010-DEV-NEURAL,candidate,neural_network,development,treatment_c,accuracy,0.8123,0.8078,0.8168,0.8123,0.8634,high,0.8023,0.8223,0.0014,0.46,2450,456.7,15.2,1024.3,very_high,156,{"hidden_layers": [128]},5,stratified_kfold,transformed,batch,significant,good,development,testing,development,adam_optimizer,2024-01,training,neural_network_test,2024-12-19T11:15:33,development,v2.0.0-dev,dev_neural_test,exploratory,"Development neural network model with single hidden layer architecture"
EXP-011-DEV-ENSEMBLE,champion,ensemble,development,treatment_d,accuracy,0.8734,0.8689,0.8779,0.8734,0.9145,high,0.8634,0.8834,0.00008,0.78,2450,892.1,23.8,1567.9,very_high,156,{"models": 5},5,stratified_kfold,transformed,batch,highly_significant,excellent,development,testing,development,ensemble_voting,2024-01,training,ensemble_test,2024-12-19T11:28:56,development,v2.1.0-dev,dev_ensemble_test,exploratory,"Development ensemble model combining multiple algorithms with voting"
EXP-012-STG-NEURAL,candidate,neural_network,staging,treatment_c,accuracy,0.8267,0.8223,0.8311,0.8267,0.8723,high,0.8167,0.8367,0.0009,0.53,5200,489.3,14.6,1089.7,very_high,156,{"hidden_layers": [128]},10,stratified_kfold,transformed,batch,significant,good,staging,validated,staging,adam_optimizer,2024-01,training,neural_validation,2024-12-19T12:45:19,staging,v2.0.0-stg,neural_network_staging,presentation,"Staging neural network model with expanded validation dataset"
EXP-013-STG-ENSEMBLE,champion,ensemble,staging,treatment_d,accuracy,0.8845,0.8801,0.8889,0.8845,0.9267,high,0.8745,0.8945,0.00003,0.85,5200,923.7,22.4,1634.2,very_high,156,{"models": 7},10,stratified_kfold,transformed,batch,highly_significant,excellent,staging,validated,staging,ensemble_voting,2024-01,training,ensemble_validation,2024-12-19T13:02:41,staging,v2.1.0-stg,ensemble_staging,presentation,"Staging ensemble model with enhanced voting mechanism"
EXP-014-PROD-NEURAL,candidate,neural_network,production,treatment_c,accuracy,0.8456,0.8411,0.8501,0.8456,0.8834,high,0.8356,0.8556,0.0004,0.61,12500,523.8,13.2,1156.4,very_high,156,{"hidden_layers": [64]},15,stratified_kfold,transformed,realtime,significant,good,production,deployed,production,adam_optimizer,2024-01,inference,neural_production,monitoring,"Production neural network model optimized for real-time inference"
EXP-015-PROD-ENSEMBLE,champion,ensemble,production,treatment_d,accuracy,0.8967,0.8923,0.9011,0.8967,0.9378,high,0.8867,0.9067,0.00001,0.92,12500,1034.5,19.7,1723.6,very_high,156,{"models": 5},15,stratified_kfold,transformed,realtime,highly_significant,excellent,production,deployed,production,ensemble_voting,2024-01,inference,ensemble_production,monitoring,"Production ensemble model with enterprise performance optimization"
EXP-016-DEV-COMPARISON,baseline,logistic_regression,development,control,precision,0.7234,0.7156,0.7298,0.7226,0.7834,medium,0.7089,0.7379,0.0234,0.23,2450,45.2,2.3,128.4,low,156,{"C": 1.0},5,stratified_kfold,raw,batch,not_significant,satisfactory,development,pending,development,grid_search,2024-02,training,comparison_baseline,2024-12-19T14:20:15,development,v1.0.1-dev,comparison_dev_baseline,exploratory,"Development comparison baseline for algorithm performance analysis"
EXP-017-STG-COMPARISON,candidate,random_forest,staging,treatment_a,precision,0.8178,0.8123,0.8233,0.8178,0.8678,high,0.8078,0.8278,0.0011,0.49,5200,172.6,8.9,367.2,medium,156,{"n_estimators": 175},10,stratified_kfold,cleaned,batch,significant,good,staging,validated,staging,random_search,2024-02,training,comparison_candidate,2024-12-19T14:35:28,staging,v1.1.1-stg,comparison_stg_candidate,presentation,"Staging comparison candidate with refined hyperparameter selection"
EXP-018-PROD-COMPARISON,champion,gradient_boosting,production,treatment_b,precision,0.8745,0.8701,0.8789,0.8745,0.9189,high,0.8645,0.8845,0.00009,0.76,12500,278.3,11.3,512.8,high,156,{"learning_rate": 0.05},15,stratified_kfold,transformed,realtime,highly_significant,excellent,production,deployed,production,bayesian_optimization,2024-02,inference,comparison_champion,2024-12-19T14:52:03,production,v1.2.1-prod,comparison_prod_champion,monitoring,"Production comparison champion with precision-optimized configuration"
EXP-019-DEV-ABLATION,baseline,logistic_regression,development,control,recall,0.7298,0.7156,0.7234,0.7195,0.7823,medium,0.7153,0.7443,0.0198,0.27,2450,43.8,2.4,126.7,low,78,{"C": 0.8},5,stratified_kfold,raw,batch,not_significant,satisfactory,development,testing,development,grid_search,2024-02,training,ablation_baseline,2024-12-19T15:10:44,development,v1.3.0-dev,ablation_dev_reduced,exploratory,"Development ablation study with reduced feature set for baseline comparison"
EXP-020-STG-ABLATION,candidate,random_forest,staging,treatment_a,recall,0.8290,0.8245,0.8335,0.8290,0.8712,high,0.8190,0.8390,0.0007,0.54,5200,189.4,9.2,378.5,medium,78,{"n_estimators": 125},10,stratified_kfold,cleaned,batch,significant,good,staging,validated,staging,random_search,2024-02,training,ablation_candidate,2024-12-19T15:28:17,staging,v1.3.0-stg,ablation_stg_reduced,presentation,"Staging ablation study demonstrating feature importance in random forest"
EXP-021-PROD-ABLATION,champion,gradient_boosting,production,treatment_b,recall,0.8833,0.8789,0.8877,0.8833,0.9201,high,0.8733,0.8933,0.00006,0.79,12500,294.7,12.1,523.4,high,78,{"learning_rate": 0.07},15,stratified_kfold,transformed,realtime,highly_significant,excellent,production,deployed,production,bayesian_optimization,2024-02,inference,ablation_champion,2024-12-19T15:45:52,production,v1.3.0-prod,ablation_prod_reduced,monitoring,"Production ablation study confirming robust performance with reduced features"
EXP-022-DEV-HYPEROPT,candidate,neural_network,development,treatment_c,f1_score,0.8168,0.8123,0.8213,0.8168,0.8645,high,0.8068,0.8268,0.0013,0.47,2450,567.3,16.8,1156.7,very_high,156,{"hidden_layers": [256]},5,stratified_kfold,transformed,batch,significant,good,development,testing,development,hyperband,2024-02,training,hyperopt_neural,2024-12-19T16:15:30,development,v2.2.0-dev,hyperopt_dev_neural,exploratory,"Development hyperparameter optimization for neural network architecture"
EXP-023-STG-HYPEROPT,champion,ensemble,staging,treatment_d,f1_score,0.8889,0.8845,0.8933,0.8889,0.9289,high,0.8789,0.8989,0.00002,0.87,5200,1124.8,24.6,1789.3,very_high,156,{"models": 9},10,stratified_kfold,transformed,batch,highly_significant,excellent,staging,validated,staging,population_based,2024-02,training,hyperopt_ensemble,2024-12-19T16:48:23,staging,v2.2.0-stg,hyperopt_stg_ensemble,presentation,"Staging hyperparameter optimization for ensemble model configuration"
EXP-024-PROD-HYPEROPT,champion,ensemble,production,treatment_d,f1_score,0.9011,0.8967,0.9055,0.9011,0.9401,high,0.8911,0.9111,0.000005,0.95,12500,1267.4,21.3,1834.9,very_high,156,{"models": 7},15,stratified_kfold,transformed,realtime,highly_significant,excellent,production,deployed,production,population_based,2024-02,inference,hyperopt_production,2024-12-19T17:22:15,production,v2.2.0-prod,hyperopt_prod_ensemble,monitoring,"Production hyperparameter optimization achieving peak ensemble performance"
EXP-025-DEV-STABILITY,baseline,logistic_regression,development,control,accuracy,0.7187,0.7123,0.7251,0.7187,0.7789,medium,0.7042,0.7332,0.0267,0.21,2450,47.1,2.5,131.2,low,156,{"C": 1.1},5,time_series_split,raw,batch,not_significant,satisfactory,development,testing,development,grid_search,2024-03,training,stability_baseline,2024-12-19T08:30:45,development,v1.4.0-dev,stability_dev_baseline,exploratory,"Development stability testing with time series validation approach"
EXP-026-STG-STABILITY,candidate,random_forest,staging,treatment_a,accuracy,0.8198,0.8143,0.8253,0.8198,0.8698,high,0.8098,0.8298,0.0010,0.50,5200,181.7,8.5,361.4,medium,156,{"n_estimators": 140},10,time_series_split,cleaned,batch,significant,good,staging,validated,staging,random_search,2024-03,training,stability_candidate,2024-12-19T08:48:12,staging,v1.4.0-stg,stability_stg_candidate,presentation,"Staging stability validation demonstrating temporal consistency"
EXP-027-PROD-STABILITY,champion,gradient_boosting,production,treatment_b,accuracy,0.8712,0.8668,0.8756,0.8712,0.9156,high,0.8612,0.8812,0.00007,0.77,12500,289.6,11.8,498.7,high,156,{"learning_rate": 0.065},15,time_series_split,transformed,realtime,highly_significant,excellent,production,deployed,production,bayesian_optimization,2024-03,inference,stability_champion,2024-12-19T09:05:37,production,v1.4.0-prod,stability_prod_champion,monitoring,"Production stability testing confirming robust temporal performance"
EXP-028-CROSS-PLATFORM,champion,ensemble,production,treatment_d,accuracy,0.8934,0.8890,0.8978,0.8934,0.9356,high,0.8834,0.9034,0.000008,0.91,12500,1089.5,20.8,1756.2,very_high,156,{"models": 6},15,stratified_kfold,transformed,realtime,highly_significant,excellent,production,deployed,production,multi_objective,2024-03,inference,cross_platform_validation,2024-12-19T09:42:51,production,v2.3.0-prod,cross_platform_ensemble,publication,"Cross-platform validation ensuring consistency across deployment environments"
EXP-029-BENCHMARK,baseline,logistic_regression,production,control,accuracy,0.7523,0.7465,0.7581,0.7523,0.8067,medium,0.7378,0.7668,0.0134,0.34,12500,61.2,1.8,147.3,low,156,{"C": 1.3},15,stratified_kfold,raw,realtime,not_significant,satisfactory,production,benchmark,production,grid_search,2024-03,inference,benchmark_baseline,2024-12-19T10:15:29,production,v1.5.0-prod,benchmark_production,publication,"Production benchmark baseline establishing performance floor for comparisons"
EXP-030-FINAL-CHAMPION,champion,ensemble,production,treatment_d,accuracy,0.9089,0.9045,0.9133,0.9089,0.9445,high,0.8989,0.9189,0.000001,1.02,12500,1345.7,18.9,1923.4,very_high,156,{"models": 8},15,stratified_kfold,transformed,realtime,highly_significant,excellent,production,deployed,production,multi_objective,2024-03,inference,final_champion_model,2024-12-19T10:58:17,production,v3.0.0-prod,final_champion_ensemble,publication,"Final champion model achieving peak performance across all evaluation metrics"
