experiment_id,experiment_type,treatment,sample_group,researcher,date,experiment_phase,analysis_stage,model_type,condition_param,sample_size,notes,lab_location,protocol_version,data_quality_score,significance_level
EXP-001,dose_response,treatment_group_a,high_dose,Dr. Sarah Chen,2024-01-15,training,exploratory,linear_regression,treatment_group_a,250,Initial dose-response study for treatment compound A with high dose group,Lab-North-201,v2.1,0.95,0.05
EXP-002,dose_response,treatment_group_a,medium_dose,Dr. Sarah Chen,2024-01-16,training,exploratory,linear_regression,treatment_group_a,275,Medium dose evaluation for treatment A showing promising efficacy signals,Lab-North-201,v2.1,0.93,0.05
EXP-003,dose_response,treatment_group_a,low_dose,Dr. Sarah Chen,2024-01-17,validation,presentation,random_forest,treatment_group_a,300,Low dose assessment with comprehensive safety monitoring,Lab-North-201,v2.1,0.97,0.05
EXP-004,comparative_efficacy,treatment_group_b,standard_dose,Dr. Michael Rodriguez,2024-01-18,training,exploratory,linear_regression,treatment_group_b,280,Alternative treatment compound B evaluation in standard dosing protocol,Lab-South-105,v2.2,0.91,0.05
EXP-005,comparative_efficacy,treatment_group_b,high_dose,Dr. Michael Rodriguez,2024-01-19,validation,presentation,random_forest,treatment_group_b,265,High dose treatment B with enhanced monitoring and biomarker collection,Lab-South-105,v2.2,0.94,0.05
EXP-006,comparative_efficacy,treatment_group_b,extended_release,Dr. Michael Rodriguez,2024-01-20,testing,publication,ensemble,treatment_group_b,290,Extended release formulation testing for improved patient compliance,Lab-South-105,v2.2,0.96,0.01
EXP-007,control_study,control_group,placebo,Dr. Amanda Foster,2024-01-21,training,exploratory,linear_regression,control_group,320,Placebo control group with rigorous blinding and adherence monitoring,Lab-Central-350,v2.1,0.98,0.05
EXP-008,control_study,control_group,vehicle_control,Dr. Amanda Foster,2024-01-22,validation,presentation,random_forest,control_group,310,Vehicle control assessment with detailed safety and tolerability analysis,Lab-Central-350,v2.1,0.92,0.05
EXP-009,control_study,control_group,historical_control,Dr. Amanda Foster,2024-01-23,testing,publication,ensemble,control_group,295,Historical control comparison for regulatory submission requirements,Lab-Central-350,v2.1,0.89,0.01
EXP-010,meta_analysis,combined_groups,pooled_analysis,Dr. James Wilson,2024-01-24,final,publication,ensemble,combined_groups,1200,Comprehensive meta-analysis combining all treatment arms and control groups,Lab-Biostat-450,v3.0,0.97,0.001
