qc_id,qc_type,instrument,metric_name,value,threshold,threshold_type,pass_fail,measurement_date,operator,experiment_ref,notes
QC001,calibration,HPLC_System_A,retention_time_precision,0.025,0.05,upper_limit,pass,2024-01-15,Dr. Sarah Chen,EXP001,"Daily calibration check passed"
QC002,calibration,HPLC_System_A,peak_area_repeatability,1.2,2.0,upper_limit,pass,2024-01-15,Dr. Sarah Chen,EXP001,"System ready for sample analysis"
QC003,calibration,HPLC_System_A,baseline_noise,8.5,10.0,upper_limit,pass,2024-01-15,Dr. Sarah Chen,EXP001,"Low noise levels confirmed"
QC004,calibration,Mass_Spectrometer_B,mass_accuracy,1.8,3.0,upper_limit,pass,2024-01-16,Dr. Michael Rodriguez,EXP002,"MS calibration within specifications"
QC005,calibration,Mass_Spectrometer_B,resolution_power,45000,40000,lower_limit,pass,2024-01-16,Dr. Michael Rodriguez,EXP002,"Excellent resolution achieved"
QC006,calibration,Mass_Spectrometer_B,sensitivity_check,950,800,lower_limit,pass,2024-01-16,Dr. Michael Rodriguez,EXP002,"High sensitivity maintained"
QC007,validation,HPLC_System_A,linearity_r_squared,0.9995,0.995,lower_limit,pass,2024-01-17,Dr. Emily Watson,EXP003,"Excellent linearity achieved"
QC008,validation,HPLC_System_A,accuracy_percent,101.2,95.0,lower_limit,pass,2024-01-17,Dr. Emily Watson,EXP003,"Accuracy within acceptance criteria"
QC009,validation,HPLC_System_A,precision_rsd,0.8,2.0,upper_limit,pass,2024-01-17,Dr. Emily Watson,EXP003,"High precision confirmed"
QC010,validation,Mass_Spectrometer_B,method_precision,1.1,2.5,upper_limit,pass,2024-01-18,Dr. James Kim,EXP004,"Method validation successful"
QC011,validation,Mass_Spectrometer_B,recovery_percent,98.5,95.0,lower_limit,pass,2024-01-18,Dr. James Kim,EXP004,"Recovery within range"
QC012,validation,Mass_Spectrometer_B,matrix_effect_percent,15.2,20.0,upper_limit,pass,2024-01-18,Dr. James Kim,EXP004,"Minimal matrix effects"
QC013,control_check,HPLC_System_A,system_suitability,1.05,1.5,upper_limit,pass,2024-01-19,Dr. Lisa Park,EXP005,"System performing optimally"
QC014,control_check,HPLC_System_A,tailing_factor,1.12,1.5,upper_limit,pass,2024-01-19,Dr. Lisa Park,EXP005,"Peak shape acceptable"
QC015,control_check,HPLC_System_A,theoretical_plates,12500,10000,lower_limit,pass,2024-01-19,Dr. Lisa Park,EXP005,"Column efficiency good"
QC016,control_check,Mass_Spectrometer_B,internal_standard_area,485000,400000,lower_limit,pass,2024-01-20,Dr. Robert Taylor,EXP006,"Internal standard stable"
QC017,control_check,Mass_Spectrometer_B,drift_compensation,2.1,5.0,upper_limit,pass,2024-01-20,Dr. Robert Taylor,EXP006,"Minimal instrumental drift"
QC018,control_check,Mass_Spectrometer_B,ion_ratio_check,3.45,3.8,upper_limit,pass,2024-01-20,Dr. Robert Taylor,EXP006,"Ion ratios within limits"
QC019,calibration,UV_Spectrophotometer_C,wavelength_accuracy,0.3,0.5,upper_limit,pass,2024-01-22,Dr. Amanda Foster,EXP007,"Wavelength calibration valid"
QC020,calibration,UV_Spectrophotometer_C,absorbance_linearity,0.9998,0.995,lower_limit,pass,2024-01-22,Dr. Amanda Foster,EXP007,"Linear response confirmed"
QC021,calibration,UV_Spectrophotometer_C,stray_light_percent,0.05,0.1,upper_limit,pass,2024-01-22,Dr. Amanda Foster,EXP007,"Low stray light levels"
QC022,validation,UV_Spectrophotometer_C,detection_limit,0.02,0.05,upper_limit,pass,2024-01-23,Dr. David Chang,EXP008,"Sensitive detection achieved"
QC023,validation,UV_Spectrophotometer_C,quantitation_limit,0.08,0.15,upper_limit,pass,2024-01-23,Dr. David Chang,EXP008,"Quantitation limit acceptable"
QC024,validation,UV_Spectrophotometer_C,specificity_check,99.8,98.0,lower_limit,pass,2024-01-23,Dr. David Chang,EXP008,"High specificity confirmed"
QC025,control_check,UV_Spectrophotometer_C,blank_check,0.001,0.005,upper_limit,pass,2024-01-24,Dr. Maria Gonzalez,EXP009,"Clean blank readings"
QC026,control_check,UV_Spectrophotometer_C,reference_standard,98.9,95.0,lower_limit,pass,2024-01-24,Dr. Maria Gonzalez,EXP009,"Reference standard stable"
QC027,control_check,UV_Spectrophotometer_C,temperature_stability,0.1,0.2,upper_limit,pass,2024-01-24,Dr. Maria Gonzalez,EXP009,"Temperature control excellent"
