sample_id,experiment_id,treatment,measurement_type,value,std_dev,n_samples,measurement_unit,time_point,researcher,notes
SMPL001,EXP001,treatment_group_a,efficacy,0.82,0.12,25,percentage,baseline,Dr. Sarah Chen,Initial dose-response measurement compound X-47
SMPL002,EXP001,treatment_group_a,efficacy,0.85,0.08,25,percentage,week_2,Dr. Sarah Chen,Follow-up efficacy assessment
SMPL003,EXP001,treatment_group_a,efficacy,0.89,0.09,25,percentage,week_4,Dr. Sarah Chen,Peak efficacy measurement
SMPL004,EXP001,treatment_group_a,toxicity,0.15,0.04,25,severity_score,baseline,Dr. Sarah Chen,Safety profile assessment
SMPL005,EXP001,treatment_group_a,toxicity,0.18,0.05,25,severity_score,week_2,Dr. Sarah Chen,Toxicity monitoring
SMPL006,EXP001,treatment_group_a,toxicity,0.22,0.06,25,severity_score,week_4,Dr. Sarah Chen,Extended safety evaluation
SMPL007,EXP001,treatment_group_a,biomarker_level,2.4,0.3,25,ng_ml,baseline,Dr. Sarah Chen,Biomarker expression baseline
SMPL008,EXP001,treatment_group_a,biomarker_level,3.1,0.4,25,ng_ml,week_2,Dr. Sarah Chen,Biomarker response measurement
SMPL009,EXP001,treatment_group_a,biomarker_level,3.8,0.5,25,ng_ml,week_4,Dr. Sarah Chen,Peak biomarker expression
SMPL010,EXP002,treatment_group_b,efficacy,0.76,0.14,25,percentage,baseline,Dr. Sarah Chen,Secondary compound Y-23 baseline
SMPL011,EXP002,treatment_group_b,efficacy,0.78,0.11,25,percentage,week_2,Dr. Sarah Chen,Y-23 efficacy progression
SMPL012,EXP002,treatment_group_b,efficacy,0.81,0.13,25,percentage,week_4,Dr. Sarah Chen,Y-23 peak efficacy
SMPL013,EXP002,treatment_group_b,toxicity,0.12,0.03,25,severity_score,baseline,Dr. Sarah Chen,Y-23 safety baseline
SMPL014,EXP002,treatment_group_b,toxicity,0.14,0.04,25,severity_score,week_2,Dr. Sarah Chen,Y-23 toxicity monitoring
SMPL015,EXP002,treatment_group_b,toxicity,0.17,0.05,25,severity_score,week_4,Dr. Sarah Chen,Y-23 safety assessment
SMPL016,EXP002,treatment_group_b,biomarker_level,1.8,0.2,25,ng_ml,baseline,Dr. Sarah Chen,Y-23 biomarker baseline
SMPL017,EXP002,treatment_group_b,biomarker_level,2.3,0.3,25,ng_ml,week_2,Dr. Sarah Chen,Y-23 biomarker response
SMPL018,EXP002,treatment_group_b,biomarker_level,2.7,0.4,25,ng_ml,week_4,Dr. Sarah Chen,Y-23 biomarker peak
SMPL019,EXP003,control_group,efficacy,0.12,0.06,25,percentage,baseline,Dr. Sarah Chen,Placebo control baseline
SMPL020,EXP003,control_group,efficacy,0.13,0.07,25,percentage,week_2,Dr. Sarah Chen,Control efficacy monitoring
SMPL021,EXP003,control_group,efficacy,0.15,0.08,25,percentage,week_4,Dr. Sarah Chen,Control final assessment
SMPL022,EXP003,control_group,toxicity,0.08,0.02,25,severity_score,baseline,Dr. Sarah Chen,Control safety baseline
SMPL023,EXP003,control_group,toxicity,0.09,0.03,25,severity_score,week_2,Dr. Sarah Chen,Control toxicity monitoring
SMPL024,EXP003,control_group,toxicity,0.10,0.03,25,severity_score,week_4,Dr. Sarah Chen,Control safety final
SMPL025,EXP003,control_group,biomarker_level,0.8,0.1,25,ng_ml,baseline,Dr. Sarah Chen,Control biomarker baseline
SMPL026,EXP003,control_group,biomarker_level,0.9,0.1,25,ng_ml,week_2,Dr. Sarah Chen,Control biomarker monitoring
