time_window,experiment_id,experiment_condition,experiment_type,treatment,experiment_phase,analysis_stage,model_type,mean_value,std_dev,data_points,measurement_uncertainty_avg,quality_score
2024-01-01 08:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,linear_regression,12.62,0.24,4,0.15,0.88
2024-01-01 09:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,linear_regression,13.28,0.25,4,0.15,0.88
2024-01-01 10:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,linear_regression,14.11,0.31,4,0.16,0.75
2024-01-01 11:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,linear_regression,14.78,0.33,4,0.15,0.88
2024-01-01 12:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,linear_regression,15.29,0.17,4,0.15,0.88
2024-01-01 12:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,validation,presentation,linear_regression,15.56,0.24,4,0.15,0.88
2024-01-01 13:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,validation,presentation,linear_regression,16.13,0.31,4,0.15,0.88
2024-01-01 14:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,validation,presentation,linear_regression,16.68,0.15,4,0.15,0.88
2024-01-01 14:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,testing,publication,linear_regression,16.91,0.31,4,0.14,0.88
2024-01-01 15:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,testing,publication,linear_regression,17.25,0.17,2,0.13,1.00
2024-01-01 15:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,final,publication,linear_regression,17.42,0.00,1,0.09,1.00
2024-01-01 08:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,training,exploratory,random_forest,10.49,0.36,4,0.21,0.75
2024-01-01 09:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,training,exploratory,random_forest,11.22,0.34,4,0.19,0.88
2024-01-01 10:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,training,exploratory,random_forest,11.94,0.32,4,0.21,0.75
2024-01-01 11:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,training,exploratory,random_forest,12.68,0.29,4,0.18,0.88
2024-01-01 12:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,training,exploratory,random_forest,13.15,0.00,1,0.23,0.88
2024-01-01 12:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,validation,presentation,random_forest,13.52,0.28,4,0.17,0.88
2024-01-01 13:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,validation,presentation,random_forest,14.17,0.31,4,0.19,0.88
2024-01-01 14:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,validation,presentation,random_forest,14.64,0.00,1,0.21,0.88
2024-01-01 14:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,testing,publication,random_forest,15.11,0.32,4,0.16,0.88
2024-01-01 15:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,testing,publication,random_forest,15.39,0.00,1,0.18,0.88
