analysis_id,experiment_id,experiment_type,treatment,sample_group,measurement_type,experiment_phase,analysis_stage,model_type,researcher,date,sample_size,duration_hours,success_rate,baseline_value,treated_value,control_value,effect_size,significance_p_value,confidence_interval_lower,confidence_interval_upper,trend_direction,measurement_unit,quality_score,batch_id,sensor_id,statistical_power,cohen_d,fold_change,normalized_effect,variance_ratio,outlier_count,missing_data_percent,data_completeness,processing_timestamp,condition_category,condition_subcategory,hierarchy_level,wildcard_pattern,styling_context
COMB001,EXP001,Drug_Efficacy,treatment_group_a,Group_A,biomarker_alpha,training,exploratory,linear_regression,Dr. Sarah Chen,2024-01-15,250,72,0.85,23.12,30.87,23.12,0.67,0.001,0.52,0.82,increasing,mg/mL,0.89,BATCH001,SENS001,0.95,1.24,1.335,0.745,1.78,3,2.1,0.979,2024-01-15T16:30:00Z,drug_efficacy,treatment_a,primary,drug_*_treatment_a,exploratory_training
COMB002,EXP002,Drug_Efficacy,treatment_group_b,Group_B,biomarker_alpha,training,exploratory,linear_regression,Dr. Sarah Chen,2024-01-16,250,72,0.78,23.12,42.15,23.12,0.89,0.000001,0.73,1.05,increasing,mg/mL,0.92,BATCH002,SENS001,0.99,1.87,1.823,0.892,2.15,2,1.8,0.982,2024-01-16T16:30:00Z,drug_efficacy,treatment_b,primary,drug_*_treatment_b,exploratory_training
COMB003,EXP003,Drug_Efficacy,control_group,Control,biomarker_alpha,training,exploratory,linear_regression,Dr. Sarah Chen,2024-01-17,250,72,0.12,23.12,23.12,23.12,0.00,0.98,0.15,0.15,stable,mg/mL,0.87,BATCH003,SENS001,0.05,0.00,1.000,0.000,1.00,1,1.2,0.988,2024-01-17T16:30:00Z,drug_efficacy,control,baseline,drug_*_control,exploratory_training
COMB004,EXP004,Drug_Efficacy,treatment_group_a,Group_A,biomarker_alpha,validation,presentation,random_forest,Dr. Michael Rodriguez,2024-01-22,500,96,0.87,23.12,30.87,23.12,0.69,0.0008,0.54,0.84,increasing,mg/mL,0.93,BATCH004,SENS001,0.96,1.28,1.335,0.752,1.82,4,1.9,0.981,2024-01-22T18:00:00Z,drug_efficacy,treatment_a,validation,drug_*_treatment_a,presentation_validation
COMB005,EXP005,Drug_Efficacy,treatment_group_b,Group_B,biomarker_alpha,validation,presentation,random_forest,Dr. Michael Rodriguez,2024-01-23,500,96,0.81,23.12,42.15,23.12,0.91,0.000001,0.75,1.07,increasing,mg/mL,0.94,BATCH005,SENS001,0.99,1.92,1.823,0.901,2.18,3,1.6,0.984,2024-01-23T18:00:00Z,drug_efficacy,treatment_b,validation,drug_*_treatment_b,presentation_validation
COMB006,EXP006,Drug_Efficacy,control_group,Control,biomarker_alpha,validation,presentation,random_forest,Dr. Michael Rodriguez,2024-01-24,500,96,0.15,23.12,23.12,23.12,0.02,0.94,0.12,0.17,stable,mg/mL,0.88,BATCH006,SENS001,0.06,0.04,1.000,0.020,1.02,2,1.1,0.989,2024-01-24T18:00:00Z,drug_efficacy,control,validation,drug_*_control,presentation_validation
COMB007,EXP007,Drug_Efficacy,combined_groups,Combined,biomarker_alpha,testing,publication,ensemble,Dr. Emily Watson,2024-02-01,1000,120,0.84,23.12,32.73,23.12,0.78,0.00001,0.65,0.91,increasing,mg/mL,0.95,BATCH007,SENS001,0.98,1.56,1.416,0.823,1.92,5,1.4,0.986,2024-02-01T20:00:00Z,drug_efficacy,combined,publication,drug_*_combined,publication_testing
COMB008,EXP008,Biomarker_Discovery,treatment_group_a,Cohort_1,biomarker_beta,training,exploratory,linear_regression,Dr. James Kim,2024-02-05,150,48,0.73,18.67,25.43,18.67,0.56,0.003,0.41,0.71,increasing,µg/L,0.86,BATCH008,SENS002,0.91,1.08,1.362,0.623,1.68,4,2.3,0.977,2024-02-05T14:30:00Z,biomarker_discovery,treatment_a,primary,biomarker_*_treatment_a,exploratory_training
COMB009,EXP009,Biomarker_Discovery,treatment_group_b,Cohort_2,biomarker_beta,training,exploratory,linear_regression,Dr. James Kim,2024-02-06,150,48,0.69,18.67,33.78,18.67,0.73,0.0002,0.58,0.88,increasing,µg/L,0.89,BATCH009,SENS002,0.97,1.35,1.809,0.762,2.04,3,2.0,0.98,2024-02-06T14:30:00Z,biomarker_discovery,treatment_b,primary,biomarker_*_treatment_b,exploratory_training
COMB010,EXP010,Biomarker_Discovery,control_group,Control_Cohort,biomarker_beta,training,exploratory,linear_regression,Dr. James Kim,2024-02-07,150,48,0.08,18.67,18.67,18.67,0.01,0.92,0.09,0.12,stable,µg/L,0.84,BATCH010,SENS002,0.05,0.02,1.000,0.010,1.01,2,1.8,0.982,2024-02-07T14:30:00Z,biomarker_discovery,control,baseline,biomarker_*_control,exploratory_training
