comparison_id,treatment,control_group,comparison_type,experiment_condition,experiment_phase,analysis_stage,model_type,measurement_type,effect_magnitude,effect_size,statistical_significance,confidence_interval_lower,confidence_interval_upper,p_value,treatment_mean,control_mean,mean_difference,percent_improvement,sample_size_treatment,sample_size_control,experiment_type,researcher,comparison_category,style_condition_resolved,wildcard_pattern,hierarchical_priority,demonstration_purpose
COMP001,treatment_group_a,control_group,direct_treatment_vs_control,treatment_group_a,training,exploratory,linear_regression,response_time,large,-0.73,significant,-0.91,-0.55,0.001,124.5,142.7,-18.2,12.8,45,38,Drug_Efficacy,Dr. Sarah Chen,primary_efficacy,treatment_group_a,treatment_*,1,demonstrate_red_circle_styling_for_primary_treatment
COMP002,treatment_group_b,control_group,direct_treatment_vs_control,treatment_group_b,training,exploratory,linear_regression,response_time,large,-0.89,significant,-1.08,-0.70,0.000,118.3,142.7,-24.4,17.1,42,38,Drug_Efficacy,Dr. Sarah Chen,primary_efficacy,treatment_group_b,treatment_*,1,demonstrate_teal_square_styling_for_secondary_treatment
COMP003,treatment_group_a,control_group,direct_treatment_vs_control,treatment_group_a,validation,presentation,random_forest,accuracy_score,large,1.24,significant,1.04,1.44,0.000,0.847,0.782,0.065,8.3,45,38,Drug_Efficacy,Dr. Michael Rodriguez,primary_efficacy,treatment_group_a,treatment_*,1,demonstrate_presentation_styling_override
COMP004,treatment_group_b,control_group,direct_treatment_vs_control,treatment_group_b,validation,presentation,random_forest,accuracy_score,large,1.45,significant,1.23,1.67,0.000,0.863,0.782,0.081,10.4,42,38,Drug_Efficacy,Dr. Michael Rodriguez,primary_efficacy,treatment_group_b,treatment_*,1,demonstrate_multi_condition_resolution
COMP005,combined_groups,control_group,aggregate_vs_control,combined_groups,testing,publication,ensemble,response_time,medium,0.52,significant,0.32,0.72,0.003,128.2,142.7,-14.5,10.2,125,38,Drug_Efficacy,Dr. Emily Watson,aggregate_analysis,combined_groups,combined_*,2,demonstrate_publication_quality_styling
COMP006,treatment_group_a,treatment_group_b,treatment_comparison,treatment_group_a,training,exploratory,linear_regression,completion_rate,small,0.19,not_significant,-0.01,0.39,0.067,0.912,0.928,-0.016,-1.7,45,42,Drug_Efficacy,Dr. Sarah Chen,inter_treatment,treatment_group_a,*_group_*,3,demonstrate_non_significant_styling
COMP007,treatment_group_a,control_group,biomarker_discovery,treatment_group_a,training,exploratory,linear_regression,physiological_response,medium,0.68,significant,0.48,0.88,0.012,67.4,62.5,4.9,7.8,45,38,Biomarker_Discovery,Dr. James Kim,biomarker_analysis,treatment_group_a,treatment_*,1,demonstrate_biomarker_specific_styling
COMP008,treatment_group_b,control_group,biomarker_discovery,treatment_group_b,validation,presentation,random_forest,physiological_response,large,0.85,significant,0.63,1.07,0.004,71.2,62.5,8.7,13.9,42,38,Biomarker_Discovery,Dr. Lisa Park,biomarker_analysis,treatment_group_b,treatment_*,1,demonstrate_validation_phase_styling
COMP009,combined_groups,control_group,biomarker_aggregate,combined_groups,testing,publication,ensemble,physiological_response,medium,0.51,significant,0.31,0.71,0.008,67.2,62.5,4.7,7.5,125,38,Biomarker_Discovery,Dr. Lisa Park,biomarker_analysis,combined_groups,combined_*,2,demonstrate_ensemble_model_styling
COMP010,treatment_group_a,control_group,dose_response_low,treatment_group_a,training,exploratory,linear_regression,error_count,large,-0.82,significant,-1.02,-0.62,0.002,2.3,3.2,-0.9,-28.1,45,38,Dose_Response,Dr. Robert Taylor,dose_analysis,treatment_group_a,treatment_*,1,demonstrate_negative_effect_styling
