# =============================================================================
# FigRegistry-Kedro Integration: Final Model Training Results Dataset
# =============================================================================
# 
# File: model_training_results.csv
# Purpose: Final clean model training and validation results containing metrics,
#          performance indicators, and experimental conditions ready for 
#          publication-quality visualization through FigureDataSet automation
# 
# Dataset Features:
# - Multi-condition styling through model_type, training_phase, performance_category
# - Comprehensive model metadata for realistic ML visualization context  
# - Performance threshold categorization for automated styling demonstration
# - Support for complex condition resolution and hierarchical pattern matching
# - Publication-ready metrics with confidence intervals and statistical measures
# 
# Integration Capabilities Demonstrated:
# - F-002: Advanced condition-based styling with multi-parameter resolution
# - F-005-RQ-004: Complex condition resolution via FigureDataSet automation
# - Section 4.2.4: API synchronization with comprehensive experimental metadata
# - ConfigBridge: Hierarchical condition matching and fallback styling patterns
# 
# =============================================================================

model_id,experiment_id,model_type,training_phase,performance_category,performance_metric,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,validation_score,cross_validation_mean,cross_validation_std,training_loss,validation_loss,test_loss,epochs_completed,learning_rate,batch_size,optimizer_type,regularization_strength,dropout_rate,early_stopping_patience,training_time_minutes,inference_time_ms,model_size_mb,feature_count,sample_count,convergence_achieved,final_gradient_norm,training_samples,validation_samples,test_samples,hyperparameter_set,confidence_interval_lower,confidence_interval_upper,statistical_significance,effect_size,baseline_improvement,computational_complexity,memory_usage_mb,experiment_condition,analysis_stage
MODEL_001,EXP001,linear_regression,training,good,0.847,0.847,0.832,0.851,0.863,0.892,0.834,0.825,0.019,0.342,0.367,0.385,25,0.001,32,adam,0.01,0.0,10,12.5,2.3,1.2,15,750,true,0.0023,525,113,112,hp_set_01,0.823,0.871,0.023,0.73,0.095,O(n),128,treatment_group_a,exploratory
MODEL_002,EXP001,linear_regression,validation,good,0.856,0.856,0.841,0.862,0.874,0.901,0.848,0.839,0.016,0.298,0.321,0.334,35,0.0008,32,adam,0.01,0.0,10,18.2,2.1,1.2,15,750,true,0.0019,525,113,112,hp_set_01,0.836,0.876,0.018,0.78,0.107,O(n),128,treatment_group_a,exploratory
MODEL_003,EXP001,linear_regression,testing,excellent,0.878,0.878,0.865,0.884,0.895,0.923,0.869,0.863,0.012,0.245,0.267,0.278,45,0.0006,32,adam,0.01,0.0,10,25.8,1.9,1.2,15,750,true,0.0015,525,113,112,hp_set_01,0.861,0.895,0.012,0.89,0.134,O(n),128,treatment_group_a,exploratory
MODEL_004,EXP001,linear_regression,final,excellent,0.894,0.894,0.882,0.901,0.912,0.945,0.887,0.881,0.008,0.198,0.213,0.221,50,0.0005,32,adam,0.01,0.0,10,29.4,1.8,1.2,15,750,true,0.0012,525,113,112,hp_set_01,0.882,0.906,0.007,0.95,0.156,O(n),128,treatment_group_a,publication

MODEL_005,EXP001,random_forest,training,good,0.863,0.863,0.849,0.872,0.881,0.907,0.856,0.848,0.021,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,45.6,5.7,8.3,15,750,true,0.0,525,113,112,hp_set_02,0.841,0.885,0.019,0.82,0.125,O(n log n),256,treatment_group_a,exploratory
MODEL_006,EXP001,random_forest,validation,excellent,0.891,0.891,0.878,0.897,0.903,0.934,0.883,0.874,0.018,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,45.6,5.4,8.3,15,750,true,0.0,525,113,112,hp_set_02,0.873,0.909,0.014,0.91,0.163,O(n log n),256,treatment_group_a,exploratory
MODEL_007,EXP001,random_forest,testing,excellent,0.912,0.912,0.901,0.918,0.925,0.956,0.905,0.897,0.015,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,45.6,5.1,8.3,15,750,true,0.0,525,113,112,hp_set_02,0.897,0.927,0.009,0.98,0.189,O(n log n),256,treatment_group_a,exploratory
MODEL_008,EXP001,random_forest,final,excellent,0.928,0.928,0.917,0.934,0.941,0.971,0.921,0.914,0.012,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,45.6,4.9,8.3,15,750,true,0.0,525,113,112,hp_set_02,0.916,0.940,0.005,1.12,0.218,O(n log n),256,treatment_group_a,publication

MODEL_009,EXP001,ensemble,training,excellent,0.889,0.889,0.876,0.895,0.904,0.931,0.882,0.875,0.019,0.287,0.312,0.328,75,0.0007,32,adam,0.005,0.1,15,78.3,12.4,15.7,15,750,true,0.0016,525,113,112,hp_set_03,0.870,0.908,0.015,0.94,0.167,O(n²),512,treatment_group_a,exploratory
MODEL_010,EXP001,ensemble,validation,excellent,0.923,0.923,0.912,0.928,0.936,0.967,0.916,0.909,0.016,0.234,0.251,0.263,85,0.0005,32,adam,0.005,0.1,15,89.7,11.8,15.7,15,750,true,0.0013,525,113,112,hp_set_03,0.907,0.939,0.011,1.05,0.205,O(n²),512,treatment_group_a,exploratory
MODEL_011,EXP001,ensemble,testing,excellent,0.945,0.945,0.935,0.949,0.957,0.982,0.938,0.932,0.013,0.189,0.198,0.205,95,0.0004,32,adam,0.005,0.1,15,98.1,11.2,15.7,15,750,true,0.0010,525,113,112,hp_set_03,0.932,0.958,0.006,1.23,0.231,O(n²),512,treatment_group_a,exploratory
MODEL_012,EXP001,ensemble,final,excellent,0.967,0.967,0.958,0.971,0.978,0.995,0.961,0.956,0.009,0.145,0.152,0.156,100,0.0003,32,adam,0.005,0.1,15,103.8,10.7,15.7,15,750,true,0.0008,525,113,112,hp_set_03,0.958,0.976,0.003,1.45,0.267,O(n²),512,treatment_group_a,publication

MODEL_013,EXP001,linear_regression,training,good,0.821,0.821,0.805,0.829,0.838,0.863,0.814,0.807,0.022,0.378,0.402,0.419,25,0.001,32,adam,0.01,0.0,10,12.8,2.5,1.2,15,700,true,0.0026,490,105,105,hp_set_01,0.799,0.843,0.031,0.65,0.078,O(n),128,treatment_group_b,exploratory
MODEL_014,EXP001,linear_regression,validation,good,0.834,0.834,0.818,0.842,0.851,0.876,0.827,0.821,0.019,0.325,0.347,0.361,35,0.0008,32,adam,0.01,0.0,10,18.9,2.3,1.2,15,700,true,0.0021,490,105,105,hp_set_01,0.815,0.853,0.025,0.71,0.094,O(n),128,treatment_group_b,exploratory
MODEL_015,EXP001,linear_regression,testing,good,0.856,0.856,0.842,0.863,0.872,0.897,0.849,0.843,0.015,0.278,0.295,0.305,45,0.0006,32,adam,0.01,0.0,10,26.3,2.1,1.2,15,700,true,0.0017,490,105,105,hp_set_01,0.841,0.871,0.018,0.83,0.117,O(n),128,treatment_group_b,exploratory
