# =============================================================================
# FigRegistry-Kedro Integration: Publication-Ready Scientific Analysis Dataset
# =============================================================================
# 
# File: publication_figures_data.csv
# Purpose: Publication-ready analysis dataset containing final experimental 
#          results, effect sizes, and statistical significance measures formatted
#          for high-quality scientific visualization and journal submission
#
# Integration Capabilities Demonstrated:
# - F-004: Automated publication output management with versioned figure saving
# - F-005: FigureDataSet integration enabling purpose-based styling (pub purpose)
# - F-005-RQ-002: Purpose parameter resolution for publication-specific formatting
# - Section 4.2.3: Figure generation process with publication output workflow
#
# Publication Output Features:
# - High-contrast black styling for journal submission (publication purpose)
# - Statistical significance indicators for scientific rigor
# - Effect size calculations following Cohen's conventions
# - Confidence intervals for uncertainty quantification
# - Publication categories for figure organization (main_figure, supplementary, methods)
# - Automated formatting through catalog configuration per F-005-RQ-002
#
# Dataset Structure:
# This dataset represents the final stage of experimental analysis, aggregating
# results from intermediate processing into publication-ready format. Each row
# represents a scientific finding ready for visualization in peer-reviewed
# publications with automated styling through the 'pub' purpose setting.
# =============================================================================

figure_id,publication_category,analysis_type,experimental_comparison,measurement_outcome,sample_size,effect_size,effect_size_interpretation,p_value,statistical_significance,confidence_interval_lower,confidence_interval_upper,confidence_level,power_analysis,study_design,research_question,publication_context,figure_purpose,visualization_priority,journal_requirements,statistical_method,validation_status,peer_review_readiness,data_completeness,methodological_rigor
PUB-FIG-001,main_figure,treatment_efficacy,treatment_group_a_vs_control,response_time_improvement,125,1.12,large_effect,0.003,highly_significant,0.95,1.29,95%,0.94,randomized_controlled_trial,Does Treatment A significantly improve response times compared to control?,primary_research_outcome,demonstrate_treatment_efficacy,high_priority,journal_submission_ready,welch_t_test,validated,peer_review_ready,complete,high_rigor
PUB-FIG-002,main_figure,treatment_efficacy,treatment_group_b_vs_control,response_time_improvement,125,0.67,medium_effect,0.018,significant,0.52,0.82,95%,0.88,randomized_controlled_trial,Does Treatment B significantly improve response times compared to control?,secondary_treatment_evaluation,compare_treatment_options,high_priority,journal_submission_ready,welch_t_test,validated,peer_review_ready,complete,high_rigor
PUB-FIG-003,main_figure,comparative_efficacy,treatment_group_a_vs_treatment_group_b,relative_effectiveness,100,0.45,medium_effect,0.029,significant,0.28,0.62,95%,0.84,head_to_head_comparison,Is Treatment A significantly more effective than Treatment B?,comparative_effectiveness,establish_treatment_hierarchy,high_priority,journal_submission_ready,independent_t_test,validated,peer_review_ready,complete,high_rigor
PUB-FIG-004,main_figure,dose_response,combined_treatment_groups,dose_response_relationship,200,0.89,large_effect,0.007,highly_significant,0.73,1.05,95%,0.91,dose_response_study,Is there a significant dose-response relationship in treatment outcomes?,pharmacological_analysis,demonstrate_dose_dependency,high_priority,journal_submission_ready,linear_regression,validated,peer_review_ready,complete,high_rigor
PUB-FIG-005,supplementary,accuracy_analysis,treatment_group_a_vs_control,accuracy_score_improvement,125,0.89,large_effect,0.007,highly_significant,0.71,1.07,95%,0.92,randomized_controlled_trial,Does Treatment A significantly improve accuracy compared to control?,secondary_outcome_analysis,support_primary_findings,medium_priority,supplementary_material,welch_t_test,validated,peer_review_ready,complete,high_rigor
PUB-FIG-006,supplementary,accuracy_analysis,treatment_group_b_vs_control,accuracy_score_improvement,125,0.58,medium_effect,0.026,significant,0.41,0.75,95%,0.86,randomized_controlled_trial,Does Treatment B significantly improve accuracy compared to control?,secondary_outcome_analysis,support_primary_findings,medium_priority,supplementary_material,welch_t_test,validated,peer_review_ready,complete,high_rigor
PUB-FIG-007,supplementary,physiological_response,treatment_group_a_vs_control,physiological_measure_change,125,0.73,large_effect,0.015,significant,0.56,0.90,95%,0.89,biomarker_analysis,Does Treatment A produce significant physiological changes?,mechanistic_understanding,explain_treatment_mechanism,medium_priority,supplementary_material,mann_whitney_u,validated,peer_review_ready,complete,high_rigor
PUB-FIG-008,supplementary,physiological_response,treatment_group_b_vs_control,physiological_measure_change,125,0.48,medium_effect,0.042,significant,0.31,0.65,95%,0.82,biomarker_analysis,Does Treatment B produce significant physiological changes?,mechanistic_understanding,explain_treatment_mechanism,medium_priority,supplementary_material,mann_whitney_u,validated,peer_review_ready,complete,high_rigor
PUB-FIG-009,supplementary,cognitive_load,treatment_group_a_vs_control,cognitive_load_reduction,125,1.05,large_effect,0.005,highly_significant,0.87,1.23,95%,0.93,cognitive_assessment,Does Treatment A significantly reduce cognitive load?,cognitive_impact_analysis,assess_cognitive_effects,medium_priority,supplementary_material,wilcoxon_rank_sum,validated,peer_review_ready,complete,high_rigor
PUB-FIG-010,supplementary,cognitive_load,treatment_group_b_vs_control,cognitive_load_reduction,125,0.71,large_effect,0.019,significant,0.54,0.88,95%,0.87,cognitive_assessment,Does Treatment B significantly reduce cognitive load?,cognitive_impact_analysis,assess_cognitive_effects,medium_priority,supplementary_material,wilcoxon_rank_sum,validated,peer_review_ready,complete,high_rigor
