timestamp,experiment_id,condition,measurement_value,measurement_type,quality_score,researcher,data_source,batch_id,replicate_id,notes
2024-01-15T08:00:00Z,EXP001,control,12.45,primary_endpoint,0.98,Dr. Sarah Chen,automated_instrument,BATCH_001,REP_001,Baseline measurement - automated FigRegistry styling will apply control styling
2024-01-15T08:15:00Z,EXP001,control,12.52,primary_endpoint,0.97,Dr. Sarah Chen,automated_instrument,BATCH_001,REP_001,15min timepoint - demonstrates time series continuity
2024-01-15T08:30:00Z,EXP001,control,12.48,primary_endpoint,0.99,Dr. Sarah Chen,automated_instrument,BATCH_001,REP_001,30min timepoint - stable baseline pattern
2024-01-15T08:45:00Z,EXP001,control,12.41,primary_endpoint,0.98,Dr. Sarah Chen,automated_instrument,BATCH_001,REP_001,45min timepoint - controlled variation within normal range
2024-01-15T09:00:00Z,EXP001,control,12.39,primary_endpoint,0.99,Dr. Sarah Chen,automated_instrument,BATCH_001,REP_001,60min timepoint - consistent control response
2024-01-15T09:15:00Z,EXP001,control,12.44,primary_endpoint,0.97,Dr. Sarah Chen,automated_instrument,BATCH_001,REP_001,75min timepoint - FigureDataSet will auto-apply control styling
2024-01-15T09:30:00Z,EXP001,control,12.50,primary_endpoint,0.98,Dr. Sarah Chen,automated_instrument,BATCH_001,REP_001,90min timepoint - eliminates manual plt.savefig() calls
2024-01-15T09:45:00Z,EXP001,control,12.47,primary_endpoint,0.99,Dr. Sarah Chen,automated_instrument,BATCH_001,REP_001,105min timepoint - automated condition_param resolution
2024-01-15T10:00:00Z,EXP001,control,12.43,primary_endpoint,0.98,Dr. Sarah Chen,automated_instrument,BATCH_001,REP_001,120min timepoint - Kedro catalog integration
2024-01-15T10:15:00Z,EXP001,control,12.46,primary_endpoint,0.97,Dr. Sarah Chen,automated_instrument,BATCH_001,REP_001,135min timepoint - versioned figure storage
2024-01-15T08:00:00Z,EXP002,treatment_A,13.12,primary_endpoint,0.98,Dr. Sarah Chen,automated_instrument,BATCH_002,REP_001,Treatment A baseline - demonstrates automated styling differentiation
