experiment_id,metric_type,instrument_id,measurement_value,pass_fail_status,measurement_timestamp,operator,protocol_step,upper_limit,lower_limit,notes
EXP001,calibration,HPLC_001,99.8,pass,2024-01-15 08:30:00,tech_sarah,step_001,101.0,98.0,Standard calibration curve linearity check - automated styling for control baseline
EXP001,validation,HPLC_001,0.95,pass,2024-01-15 09:00:00,tech_sarah,step_002,1.0,0.9,Method precision validation - R² correlation coefficient
EXP001,control_check,HPLC_001,100.2,pass,2024-01-15 09:30:00,tech_sarah,step_003,102.0,98.0,Quality control standard recovery - demonstrates threshold styling
EXP001,drift_monitoring,HPLC_001,0.3,pass,2024-01-15 10:00:00,tech_sarah,step_004,2.0,-2.0,Signal drift monitoring over time - baseline control styling pattern
EXP002,calibration,HPLC_001,99.5,pass,2024-01-15 08:35:00,tech_sarah,step_001,101.0,98.0,Low dose group calibration - automated styling differentiation from control
EXP002,validation,HPLC_001,0.92,pass,2024-01-15 09:05:00,tech_sarah,step_002,1.0,0.9,Method validation for low dose samples - dose-dependent styling
EXP002,control_check,HPLC_001,99.8,pass,2024-01-15 09:35:00,tech_sarah,step_003,102.0,98.0,QC recovery for low dose matrix - dose group conditional styling
EXP002,drift_monitoring,HPLC_001,0.5,pass,2024-01-15 10:05:00,tech_sarah,step_004,2.0,-2.0,Instrument stability during low dose analysis - group-specific monitoring
EXP003,calibration,HPLC_001,100.1,pass,2024-01-15 08:40:00,tech_sarah,step_001,101.0,98.0,Medium dose calibration - intermediate styling gradient demonstration
EXP003,validation,HPLC_001,0.96,pass,2024-01-15 09:10:00,tech_sarah,step_002,1.0,0.9,Validation precision for medium dose - gradient styling patterns
EXP003,control_check,HPLC_001,100.5,pass,2024-01-15 09:40:00,tech_sarah,step_003,102.0,98.0,Medium dose QC recovery - demonstrates automated condition styling
EXP003,drift_monitoring,HPLC_001,-0.2,pass,2024-01-15 10:10:00,tech_sarah,step_004,2.0,-2.0,Signal stability for medium dose analysis - condition-based monitoring styling
EXP004,calibration,HPLC_001,99.2,pass,2024-01-15 08:45:00,tech_sarah,step_001,101.0,98.0,High dose calibration - maximum dose distinct visual styling
EXP004,validation,HPLC_001,0.89,fail,2024-01-15 09:15:00,tech_sarah,step_002,1.0,0.9,High dose validation failure - fail status styling demonstration
EXP004,control_check,HPLC_001,102.5,fail,2024-01-15 09:45:00,tech_sarah,step_003,102.0,98.0,High dose QC recovery failure - threshold-based fail styling
EXP004,drift_monitoring,HPLC_001,2.3,fail,2024-01-15 10:15:00,tech_sarah,step_004,2.0,-2.0,Excessive drift during high dose analysis - drift failure styling pattern
EXP005,calibration,LC_MS_002,98.9,pass,2024-03-01 07:30:00,tech_mike,step_001,101.0,98.0,Time course 6h calibration - validation phase styling
EXP005,validation,LC_MS_002,0.94,pass,2024-03-01 08:00:00,tech_mike,step_002,1.0,0.9,6h timepoint validation - temporal styling differentiation
EXP005,control_check,LC_MS_002,99.7,pass,2024-03-01 08:30:00,tech_mike,step_003,102.0,98.0,6h timepoint QC check - time-dependent conditional styling
EXP005,drift_monitoring,LC_MS_002,0.4,pass,2024-03-01 09:00:00,tech_mike,step_004,2.0,-2.0,LC-MS drift monitoring 6h - timepoint-specific monitoring styling
EXP006,calibration,LC_MS_002,99.4,pass,2024-03-01 07:35:00,tech_mike,step_001,101.0,98.0,Time course 12h calibration - mid-validation styling
EXP006,validation,LC_MS_002,0.91,pass,2024-03-01 08:05:00,tech_mike,step_002,1.0,0.9,12h timepoint validation - progressive temporal styling
EXP006,control_check,LC_MS_002,100.8,pass,2024-03-01 08:35:00,tech_mike,step_003,102.0,98.0,12h timepoint QC recovery - temporal progression styling
EXP006,drift_monitoring,LC_MS_002,-0.1,pass,2024-03-01 09:05:00,tech_mike,step_004,2.0,-2.0,12h drift assessment - timepoint monitoring with automated styling
EXP007,calibration,LC_MS_002,100.3,pass,2024-03-01 07:40:00,tech_mike,step_001,101.0,98.0,Time course 24h calibration - late validation styling
EXP007,validation,LC_MS_002,0.97,pass,2024-03-01 08:10:00,tech_mike,step_002,1.0,0.9,24h timepoint validation - final timepoint distinct styling
EXP007,control_check,LC_MS_002,98.9,pass,2024-03-01 08:40:00,tech_mike,step_003,102.0,98.0,24h timepoint QC check - temporal endpoint styling
EXP007,drift_monitoring,LC_MS_002,1.2,pass,2024-03-01 09:10:00,tech_mike,step_004,2.0,-2.0,24h drift monitoring - extended timepoint monitoring styling
EXP008,calibration,UPLC_003,99.6,pass,2024-04-16 08:00:00,tech_lisa,step_001,101.0,98.0,Novel compound calibration - discovery phase experimental styling
EXP008,validation,UPLC_003,0.88,fail,2024-04-16 08:30:00,tech_lisa,step_002,1.0,0.9,Novel compound validation failure - experimental compound styling
EXP008,control_check,UPLC_003,103.2,fail,2024-04-16 09:00:00,tech_lisa,step_003,102.0,98.0,Novel compound QC failure - compound-specific fail styling
EXP008,drift_monitoring,UPLC_003,0.7,pass,2024-04-16 09:30:00,tech_lisa,step_004,2.0,-2.0,UPLC drift for novel compound - experimental monitoring styling
EXP009,calibration,UPLC_003,100.0,pass,2024-04-16 08:05:00,tech_lisa,step_001,101.0,98.0,Standard treatment calibration - reference styling for comparison
EXP009,validation,UPLC_003,0.95,pass,2024-04-16 08:35:00,tech_lisa,step_002,1.0,0.9,Standard treatment validation - established reference styling
EXP009,control_check,UPLC_003,99.5,pass,2024-04-16 09:05:00,tech_lisa,step_003,102.0,98.0,Standard QC recovery - standard treatment styling pattern
EXP009,drift_monitoring,UPLC_003,0.1,pass,2024-04-16 09:35:00,tech_lisa,step_004,2.0,-2.0,Standard drift monitoring - reference compound monitoring styling
EXP010,calibration,NMR_004,98.7,pass,2024-06-01 07:45:00,tech_james,step_001,101.0,98.0,High responder calibration - validation with distinct biomarker styling
EXP010,validation,NMR_004,0.93,pass,2024-06-01 08:15:00,tech_james,step_002,1.0,0.9,High biomarker validation - responder-specific styling differentiation
EXP010,control_check,NMR_004,101.1,pass,2024-06-01 08:45:00,tech_james,step_003,102.0,98.0,High responder QC check - biomarker-dependent styling
EXP010,drift_monitoring,NMR_004,0.6,pass,2024-06-01 09:15:00,tech_james,step_004,2.0,-2.0,NMR drift high responder - biomarker group monitoring styling
EXP011,calibration,NMR_004,99.1,pass,2024-06-01 07:50:00,tech_james,step_001,101.0,98.0,Low responder calibration - contrasting validation styling
EXP011,validation,NMR_004,0.90,pass,2024-06-01 08:20:00,tech_james,step_002,1.0,0.9,Low biomarker validation - low responder styling contrast
EXP011,control_check,NMR_004,98.3,pass,2024-06-01 08:50:00,tech_james,step_003,102.0,98.0,Low responder QC recovery - biomarker contrast styling
EXP011,drift_monitoring,NMR_004,-0.3,pass,2024-06-01 09:20:00,tech_james,step_004,2.0,-2.0,NMR drift low responder - contrasting biomarker monitoring styling
EXP012,calibration,SPECTROMETER_005,100.2,pass,2024-07-16 08:15:00,tech_emma,step_001,101.0,98.0,Longitudinal baseline calibration - temporal styling differentiation
EXP012,validation,SPECTROMETER_005,0.96,pass,2024-07-16 08:45:00,tech_emma,step_002,1.0,0.9,Baseline timepoint validation - longitudinal baseline styling
EXP012,control_check,SPECTROMETER_005,99.8,pass,2024-07-16 09:15:00,tech_emma,step_003,102.0,98.0,Baseline QC recovery - longitudinal study baseline styling
EXP012,drift_monitoring,SPECTROMETER_005,0.2,pass,2024-07-16 09:45:00,tech_emma,step_004,2.0,-2.0,Spectrometer baseline drift - longitudinal monitoring baseline
EXP013,calibration,SPECTROMETER_005,99.7,pass,2024-07-16 08:20:00,tech_emma,step_001,101.0,98.0,4-week followup calibration - progressive styling changes
EXP013,validation,SPECTROMETER_005,0.92,pass,2024-07-16 08:50:00,tech_emma,step_002,1.0,0.9,Week 4 validation - mid-study temporal styling
EXP013,control_check,SPECTROMETER_005,100.6,pass,2024-07-16 09:20:00,tech_emma,step_003,102.0,98.0,Week 4 QC check - progressive longitudinal styling
EXP013,drift_monitoring,SPECTROMETER_005,0.8,pass,2024-07-16 09:50:00,tech_emma,step_004,2.0,-2.0,4-week drift monitoring - temporal progression styling
EXP014,calibration,SPECTROMETER_005,98.9,pass,2024-07-16 08:25:00,tech_emma,step_001,101.0,98.0,8-week followup calibration - final timepoint styling
EXP014,validation,SPECTROMETER_005,0.89,fail,2024-07-16 08:55:00,tech_emma,step_002,1.0,0.9,Week 8 validation failure - final timepoint failure styling
EXP014,control_check,SPECTROMETER_005,102.8,fail,2024-07-16 09:25:00,tech_emma,step_003,102.0,98.0,Week 8 QC failure - longitudinal endpoint failure styling
EXP014,drift_monitoring,SPECTROMETER_005,1.9,pass,2024-07-16 09:55:00,tech_emma,step_004,2.0,-2.0,8-week drift at limit - extended study monitoring styling
EXP015,calibration,BIOANALYZER_006,99.9,pass,2024-09-01 07:30:00,tech_robert,step_001,101.0,98.0,Pathway A calibration - mechanistic validation styling
EXP015,validation,BIOANALYZER_006,0.94,pass,2024-09-01 08:00:00,tech_robert,step_002,1.0,0.9,Pathway A validation - mechanistic pathway styling
EXP015,control_check,BIOANALYZER_006,100.4,pass,2024-09-01 08:30:00,tech_robert,step_003,102.0,98.0,Pathway A QC recovery - pathway-specific styling
