qc_analysis_id,instrument_id,qc_category,pass_fail_status,quality_score,control_type,threshold_compliance,risk_level,analysis_timestamp,experiment_id,facility_location,operator_id,measurement_count,avg_deviation,max_deviation,trend_direction,action_required,compliance_percentage,critical_failures,warning_count,notes
QCA-001,HPLC-001,calibration_check,pass,0.985,system_suitability,within_limits,low,2024-01-15 08:30:00,EXP-2024-001,Lab-A,OPR-001,5,2.1,4.5,stable,none,98.5,0,0,"Excellent calibration performance with all parameters within specification"
QCA-002,HPLC-001,instrument_validation,pass,0.982,method_validation,within_limits,low,2024-01-15 08:40:00,EXP-2024-001,Lab-A,OPR-001,3,2.8,3.2,stable,none,98.2,0,0,"Method validation successful with good recovery rates"
QCA-003,HPLC-001,control_sample,fail,0.882,negative_control,below_threshold,high,2024-01-15 09:15:00,EXP-2024-001,Lab-A,OPR-001,2,8.7,12.3,declining,immediate,88.2,1,2,"Control sample failure requires immediate investigation - instrument drift suspected"
QCA-004,HPLC-001,drift_monitoring,pass,0.985,system_stability,within_limits,low,2024-01-15 09:20:00,EXP-2024-001,Lab-A,OPR-001,4,1.8,2.1,stable,monitoring,98.5,0,0,"Drift monitoring within acceptable limits after control failure"
QCA-005,MS-002,calibration_check,pass,0.992,mass_accuracy,within_limits,low,2024-01-15 10:00:00,EXP-2024-002,Lab-B,OPR-002,6,1.2,2.8,improving,none,99.2,0,0,"Outstanding mass spectrometer calibration with exceptional accuracy"
QCA-006,MS-002,calibration_check,pass,0.978,sensitivity_check,within_limits,low,2024-01-15 10:05:00,EXP-2024-002,Lab-B,OPR-002,4,3.1,4.3,stable,none,97.8,0,0,"Sensitivity calibration at upper range - acceptable performance"
QCA-007,MS-002,instrument_validation,fail,0.875,specificity_test,above_threshold,medium,2024-01-15 10:10:00,EXP-2024-002,Lab-B,OPR-002,3,12.5,15.2,declining,maintenance,87.5,1,1,"Validation failure indicates potential interference - requires attention"
QCA-008,MS-002,control_sample,pass,0.958,positive_control,within_limits,low,2024-01-15 10:15:00,EXP-2024-002,Lab-B,OPR-002,3,4.2,5.8,stable,monitoring,95.8,0,1,"Control within specification despite validation issues"
QCA-009,UV-003,calibration_check,pass,0.961,wavelength_accuracy,within_limits,low,2024-01-15 11:00:00,EXP-2024-003,Lab-C,OPR-003,4,3.9,4.7,stable,none,96.1,0,0,"UV detector calibration successful with good wavelength accuracy"
QCA-010,UV-003,calibration_check,fail,0.914,linearity_check,below_threshold,medium,2024-01-15 11:05:00,EXP-2024-003,Lab-C,OPR-003,5,8.6,11.2,declining,recalibration,91.4,1,1,"Linearity check below threshold - recalibration required before analysis"
QCA-011,UV-003,instrument_validation,pass,0.959,method_precision,within_limits,low,2024-01-15 11:10:00,EXP-2024-003,Lab-C,OPR-003,6,4.1,6.3,stable,monitoring,95.9,0,0,"Method precision validation acceptable after recalibration"
QCA-012,UV-003,control_sample,pass,0.987,system_blank,within_limits,low,2024-01-15 11:15:00,EXP-2024-003,Lab-C,OPR-003,2,1.3,2.1,stable,none,98.7,0,0,"System blank control excellent - no contamination detected"
QCA-013,FID-004,calibration_check,pass,0.998,detector_response,within_limits,low,2024-01-15 12:00:00,EXP-2024-004,Lab-D,OPR-004,4,0.2,0.8,stable,none,99.8,0,0,"Exceptional FID calibration with optimal detector response"
QCA-014,FID-004,calibration_check,pass,0.981,high_range_linearity,within_limits,low,2024-01-15 12:05:00,EXP-2024-004,Lab-D,OPR-004,3,1.9,3.1,stable,none,98.1,0,0,"High concentration range linearity within specification"
QCA-015,FID-004,instrument_validation,fail,0.948,recovery_test,below_threshold,medium,2024-01-15 12:10:00,EXP-2024-004,Lab-D,OPR-004,4,5.2,7.8,declining,investigation,94.8,1,1,"Recovery validation below minimum - requires investigation of sample prep"
QCA-016,FID-004,control_sample,pass,0.988,process_control,within_limits,low,2024-01-15 12:15:00,EXP-2024-004,Lab-D,OPR-004,3,1.2,1.8,stable,monitoring,98.8,0,0,"Process control sample excellent despite recovery issues"
QCA-017,FTIR-005,calibration_check,pass,0.975,wavenumber_accuracy,within_limits,low,2024-01-15 13:00:00,EXP-2024-005,Lab-A,OPR-005,5,2.5,3.8,stable,none,97.5,0,0,"FTIR baseline calibration successful with good wavenumber accuracy"
QCA-018,FTIR-005,calibration_check,pass,0.982,intensity_linearity,within_limits,low,2024-01-15 13:05:00,EXP-2024-005,Lab-A,OPR-005,4,1.8,2.9,improving,none,98.2,0,0,"Intensity linearity excellent across measurement range"
QCA-019,FTIR-005,instrument_validation,fail,0.897,spectral_resolution,below_threshold,high,2024-01-15 13:10:00,EXP-2024-005,Lab-A,OPR-005,3,10.3,14.7,declining,immediate,89.7,1,2,"Critical validation failure - spectral resolution below specification"
QCA-020,FTIR-005,control_sample,pass,0.958,reference_standard,within_limits,medium,2024-01-15 13:15:00,EXP-2024-005,Lab-A,OPR-005,3,4.2,5.1,stable,monitoring,95.8,0,1,"Reference standard acceptable but requires monitoring after equipment issue"
QCA-021,XRD-006,calibration_check,pass,0.983,peak_position,within_limits,low,2024-01-15 14:00:00,EXP-2024-006,Lab-B,OPR-006,4,1.7,2.5,stable,none,98.3,0,0,"XRD peak position calibration excellent with precise alignment"
QCA-022,XRD-006,calibration_check,fail,0.968,intensity_calibration,below_threshold,medium,2024-01-15 14:05:00,EXP-2024-006,Lab-B,OPR-006,3,3.2,4.8,declining,adjustment,96.8,1,1,"Intensity calibration below threshold - detector adjustment needed"
QCA-023,XRD-006,instrument_validation,pass,0.971,pattern_matching,within_limits,low,2024-01-15 14:10:00,EXP-2024-006,Lab-B,OPR-006,5,2.9,4.1,stable,monitoring,97.1,0,0,"Pattern matching validation acceptable after intensity adjustment"
QCA-024,XRD-006,control_sample,pass,0.984,reference_material,within_limits,low,2024-01-15 14:15:00,EXP-2024-006,Lab-B,OPR-006,2,1.6,2.3,stable,none,98.4,0,0,"Reference material control excellent - crystalline structure confirmed"
QCA-025,ICP-007,calibration_check,pass,0.981,element_recovery,within_limits,low,2024-01-15 15:00:00,EXP-2024-007,Lab-C,OPR-007,6,1.9,3.4,stable,none,98.1,0,0,"ICP elemental recovery calibration within specification"
QCA-026,ICP-007,calibration_check,pass,0.958,matrix_effects,within_limits,low,2024-01-15 15:05:00,EXP-2024-007,Lab-C,OPR-007,4,4.2,5.9,stable,monitoring,95.8,0,1,"Matrix effects assessment acceptable - slight interference noted"
QCA-027,ICP-007,instrument_validation,fail,0.928,detection_limits,above_threshold,medium,2024-01-15 15:10:00,EXP-2024-007,Lab-C,OPR-007,5,7.2,9.8,declining,optimization,92.8,1,1,"Detection limit validation exceeds threshold - plasma optimization needed"
QCA-028,ICP-007,control_sample,pass,0.996,certified_reference,within_limits,low,2024-01-15 15:15:00,EXP-2024-007,Lab-C,OPR-007,3,0.4,0.9,stable,none,99.6,0,0,"Outstanding performance with certified reference material"
QCA-029,GC-008,calibration_check,pass,0.997,retention_time,within_limits,low,2024-01-15 16:00:00,EXP-2024-008,Lab-D,OPR-008,5,0.3,0.7,stable,none,99.7,0,0,"Excellent GC retention time calibration with precise reproducibility"
QCA-030,GC-008,calibration_check,pass,0.988,peak_area_linearity,within_limits,low,2024-01-15 16:05:00,EXP-2024-008,Lab-D,OPR-008,4,1.2,2.1,stable,none,98.8,0,0,"Peak area linearity excellent across concentration range"
QCA-031,GC-008,instrument_validation,fail,0.921,separation_efficiency,below_threshold,medium,2024-01-15 16:10:00,EXP-2024-008,Lab-D,OPR-008,6,7.9,12.1,declining,maintenance,92.1,1,1,"Separation efficiency below threshold - column maintenance required"
QCA-032,GC-008,control_sample,pass,0.979,method_blank,within_limits,low,2024-01-15 16:15:00,EXP-2024-008,Lab-D,OPR-008,2,2.1,3.2,stable,monitoring,97.9,0,0,"Method blank control acceptable - minimal carryover detected"
QCA-033,HPLC-001,calibration_check,pass,0.972,day2_calibration,within_limits,low,2024-01-16 08:30:00,EXP-2024-009,Lab-A,OPR-001,4,2.8,4.1,stable,none,97.2,0,0,"Day 2 calibration maintaining excellent performance consistency"
QCA-034,HPLC-001,calibration_check,pass,0.977,second_calibration,within_limits,low,2024-01-16 08:35:00,EXP-2024-009,Lab-A,OPR-001,3,2.3,3.4,stable,none,97.7,0,0,"Second calibration point confirms system stability"
QCA-035,HPLC-001,instrument_validation,fail,0.932,overnight_stability,above_threshold,medium,2024-01-16 08:40:00,EXP-2024-009,Lab-A,OPR-001,4,6.8,9.2,declining,equilibration,93.2,1,1,"Overnight stability outside range - system equilibration needed"
QCA-036,HPLC-001,control_sample,pass,0.994,daily_control,within_limits,low,2024-01-16 08:45:00,EXP-2024-009,Lab-A,OPR-001,2,0.6,1.2,stable,none,99.4,0,0,"Daily control check excellent after equilibration period"
QCA-037,MS-002,calibration_check,pass,0.918,low_mass_range,within_limits,medium,2024-01-16 09:30:00,EXP-2024-010,Lab-B,OPR-002,5,8.2,12.1,stable,monitoring,91.8,0,2,"Lower mass range calibration acceptable but requires monitoring"
