experiment_group,analysis_category,data_subset,measurement_type,timepoint_hours,sample_size,group_mean,group_std,confidence_interval_lower,confidence_interval_upper,p_value,significance_level,effect_size,quality_flag_summary,treatment_condition,analysis_phase,output_target,quality_requirement
control_baseline,enzyme_activity,early_timepoint,enzyme_activity,24,3,126.95,8.12,113.89,140.01,0.000,highly_significant,0.85,all_pass,control,validation,technical,high_quality
control_baseline,enzyme_activity,mid_timepoint,enzyme_activity,48,3,125.63,3.73,117.23,134.03,0.000,highly_significant,0.82,all_pass,control,validation,technical,high_quality
control_baseline,enzyme_activity,late_timepoint,enzyme_activity,72,3,89.78,2.72,83.76,95.80,0.012,significant,0.65,mixed_quality,control,validation,technical,standard
treatment_a_low,enzyme_activity,early_timepoint,enzyme_activity,24,3,156.49,7.11,140.35,172.63,0.000,highly_significant,1.25,all_pass,treatment_A,validation,technical,high_quality
treatment_a_low,enzyme_activity,mid_timepoint,enzyme_activity,48,3,168.42,6.39,154.12,182.72,0.000,highly_significant,1.35,all_pass,treatment_A,validation,technical,high_quality
treatment_a_low,enzyme_activity,late_timepoint,enzyme_activity,72,3,145.68,6.71,130.74,160.62,0.001,highly_significant,1.18,mixed_quality,treatment_A,validation,technical,standard
treatment_b_medium,enzyme_activity,early_timepoint,enzyme_activity,24,3,178.94,6.39,164.64,193.24,0.000,highly_significant,1.58,all_pass,treatment_B,validation,presentation,high_quality
treatment_b_medium,enzyme_activity,mid_timepoint,enzyme_activity,48,3,192.86,5.39,180.96,204.76,0.000,highly_significant,1.71,all_pass,treatment_B,validation,presentation,high_quality
treatment_b_medium,enzyme_activity,late_timepoint,enzyme_activity,72,3,164.89,6.34,150.69,179.09,0.000,highly_significant,1.42,all_pass,treatment_B,validation,presentation,high_quality
treatment_c_high,enzyme_activity,early_timepoint,enzyme_activity,24,3,204.45,6.39,190.15,218.75,0.000,highly_significant,1.89,all_pass,treatment_C,validation,publication,publication_ready
treatment_c_high,enzyme_activity,mid_timepoint,enzyme_activity,48,3,218.97,6.40,204.65,233.29,0.000,highly_significant,2.05,all_pass,treatment_C,validation,publication,publication_ready
treatment_c_high,enzyme_activity,late_timepoint,enzyme_activity,72,3,189.45,6.16,175.81,203.09,0.000,highly_significant,1.72,all_pass,treatment_C,validation,publication,publication_ready
control_baseline,cell_viability,early_timepoint,cell_viability,24,3,94.03,2.15,89.12,98.94,0.000,highly_significant,0.95,all_pass,control,exploration,technical,high_quality
control_baseline,cell_viability,mid_timepoint,cell_viability,48,3,92.20,2.45,86.65,97.75,0.000,highly_significant,0.88,all_pass,control,exploration,technical,high_quality
control_baseline,cell_viability,late_timepoint,cell_viability,72,3,88.40,2.30,83.25,93.55,0.001,highly_significant,0.78,all_pass,control,exploration,technical,standard
treatment_a_low,cell_viability,early_timepoint,cell_viability,24,3,87.63,1.85,83.45,91.81,0.002,significant,0.72,all_pass,treatment_A,exploration,technical,high_quality
treatment_a_low,cell_viability,mid_timepoint,cell_viability,48,3,85.30,2.75,79.15,91.45,0.003,significant,0.68,all_pass,treatment_A,exploration,technical,high_quality
treatment_a_low,cell_viability,late_timepoint,cell_viability,72,3,79.83,2.65,73.88,85.78,0.005,significant,0.62,all_pass,treatment_A,exploration,technical,standard
treatment_b_medium,cell_viability,early_timepoint,cell_viability,24,3,82.07,2.25,77.02,87.12,0.001,highly_significant,0.58,all_pass,treatment_B,exploration,presentation,high_quality
treatment_b_medium,cell_viability,mid_timepoint,cell_viability,48,3,78.83,2.40,73.43,84.23,0.002,significant,0.54,all_pass,treatment_B,exploration,presentation,high_quality
treatment_b_medium,cell_viability,late_timepoint,cell_viability,72,3,73.10,2.70,66.95,79.25,0.008,significant,0.48,mixed_quality,treatment_B,exploration,presentation,standard
treatment_c_high,cell_viability,early_timepoint,cell_viability,24,3,76.53,2.35,71.28,81.78,0.000,highly_significant,0.42,all_pass,treatment_C,exploration,publication,publication_ready
treatment_c_high,cell_viability,mid_timepoint,cell_viability,48,3,71.80,2.85,65.45,78.15,0.001,highly_significant,0.38,all_pass,treatment_C,exploration,publication,publication_ready
treatment_c_high,cell_viability,late_timepoint,cell_viability,72,3,65.93,2.85,59.58,72.28,0.003,significant,0.32,mixed_quality,treatment_C,exploration,publication,colorblind_safe
control_baseline,protein_concentration,early_timepoint,protein_concentration,24,3,2.34,0.07,2.18,2.50,0.000,highly_significant,1.12,all_pass,control,reporting,technical,high_quality
control_baseline,protein_concentration,mid_timepoint,protein_concentration,48,3,2.45,0.07,2.29,2.61,0.000,highly_significant,1.18,all_pass,control,reporting,technical,high_quality
control_baseline,protein_concentration,late_timepoint,protein_concentration,72,3,2.12,0.07,1.96,2.28,0.000,highly_significant,1.02,all_pass,control,reporting,technical,standard
treatment_a_low,protein_concentration,early_timepoint,protein_concentration,24,3,3.15,0.12,2.87,3.43,0.000,highly_significant,1.58,all_pass,treatment_A,reporting,technical,high_quality
treatment_a_low,protein_concentration,mid_timepoint,protein_concentration,48,3,3.35,0.14,3.03,3.67,0.000,highly_significant,1.68,all_pass,treatment_A,reporting,technical,high_quality
treatment_a_low,protein_concentration,late_timepoint,protein_concentration,72,3,2.97,0.08,2.78,3.16,0.000,highly_significant,1.48,all_pass,treatment_A,reporting,technical,standard
treatment_b_medium,protein_concentration,early_timepoint,protein_concentration,24,3,3.89,0.13,3.59,4.19,0.000,highly_significant,1.95,all_pass,treatment_B,reporting,presentation,high_quality
treatment_b_medium,protein_concentration,mid_timepoint,protein_concentration,48,3,4.12,0.16,3.76,4.48,0.000,highly_significant,2.08,all_pass,treatment_B,reporting,presentation,high_quality
treatment_b_medium,protein_concentration,late_timepoint,protein_concentration,72,3,3.67,0.14,3.35,3.99,0.000,highly_significant,1.82,all_pass,treatment_B,reporting,presentation,high_quality
treatment_c_high,protein_concentration,early_timepoint,protein_concentration,24,3,4.68,0.14,4.36,5.00,0.000,highly_significant,2.35,all_pass,treatment_C,reporting,publication,publication_ready
treatment_c_high,protein_concentration,mid_timepoint,protein_concentration,48,3,5.24,0.19,4.82,5.66,0.000,highly_significant,2.64,all_pass,treatment_C,reporting,publication,publication_ready
treatment_c_high,protein_concentration,late_timepoint,protein_concentration,72,3,4.89,0.13,4.59,5.19,0.000,highly_significant,2.45,all_pass,treatment_C,reporting,publication,publication_ready
dose_response_trend,enzyme_activity,combined_timepoints,enzyme_activity,24,12,166.70,35.28,146.85,186.55,0.000,highly_significant,1.38,predominant_pass,dose_response,validation,stakeholder,high_quality
dose_response_trend,enzyme_activity,combined_timepoints,enzyme_activity,48,12,176.47,36.82,155.65,197.29,0.000,highly_significant,1.48,predominant_pass,dose_response,validation,stakeholder,high_quality
dose_response_trend,enzyme_activity,combined_timepoints,enzyme_activity,72,12,147.45,42.15,122.82,172.08,0.000,highly_significant,1.18,mixed_quality,dose_response,validation,stakeholder,standard
temporal_progression,cell_viability,all_treatments,cell_viability,24,12,85.07,5.89,82.45,87.69,0.000,highly_significant,0.68,all_pass,temporal,exploration,technical,high_quality
temporal_progression,cell_viability,all_treatments,cell_viability,48,12,82.03,6.72,79.12,84.94,0.000,highly_significant,0.62,all_pass,temporal,exploration,technical,high_quality
temporal_progression,cell_viability,all_treatments,cell_viability,72,12,76.77,7.85,73.28,80.26,0.000,highly_significant,0.55,mixed_quality,temporal,exploration,technical,standard
concentration_gradient,protein_concentration,gradient_analysis,protein_concentration,24,12,3.52,1.05,2.88,4.16,0.000,highly_significant,1.75,all_pass,gradient,reporting,presentation,high_quality
concentration_gradient,protein_concentration,gradient_analysis,protein_concentration,48,12,3.79,1.19,3.06,4.52,0.000,highly_significant,1.88,all_pass,gradient,reporting,presentation,high_quality
concentration_gradient,protein_concentration,gradient_analysis,protein_concentration,72,12,3.41,1.03,2.79,4.03,0.000,highly_significant,1.68,all_pass,gradient,reporting,presentation,high_quality
comparative_efficacy,enzyme_activity,treatment_comparison,enzyme_activity,24,9,180.13,38.42,150.85,209.41,0.000,highly_significant,1.52,all_pass,comparative,validation,publication,publication_ready
comparative_efficacy,enzyme_activity,treatment_comparison,enzyme_activity,48,9,193.42,40.25,162.56,224.28,0.000,highly_significant,1.65,all_pass,comparative,validation,publication,publication_ready
comparative_efficacy,enzyme_activity,treatment_comparison,enzyme_activity,72,9,166.67,35.18,140.32,192.02,0.000,highly_significant,1.38,mixed_quality,comparative,validation,publication,colorblind_safe
safety_assessment,cell_viability,safety_profile,cell_viability,24,9,82.75,5.95,78.12,87.38,0.001,highly_significant,0.58,all_pass,safety,exploration,stakeholder,high_quality
safety_assessment,cell_viability,safety_profile,cell_viability,48,9,79.04,6.85,73.85,84.23,0.002,significant,0.52,all_pass,safety,exploration,stakeholder,high_quality
safety_assessment,cell_viability,safety_profile,cell_viability,72,9,72.95,8.25,66.82,79.08,0.005,significant,0.45,mixed_quality,safety,exploration,stakeholder,standard
mechanistic_investigation,protein_concentration,mechanism_study,protein_concentration,24,9,3.89,1.12,3.12,4.66,0.000,highly_significant,1.95,all_pass,mechanistic,reporting,academic,publication_ready
mechanistic_investigation,protein_concentration,mechanism_study,protein_concentration,48,9,4.24,1.28,3.34,5.14,0.000,highly_significant,2.15,all_pass,mechanistic,reporting,academic,publication_ready
mechanistic_investigation,protein_concentration,mechanism_study,protein_concentration,72,9,3.66,1.15,2.86,4.46,0.000,highly_significant,1.82,all_pass,mechanistic,reporting,academic,publication_ready
quality_control,enzyme_activity,qc_assessment,enzyme_activity,24,12,166.32,35.45,146.21,186.43,0.000,highly_significant,1.37,quality_validated,qc_analysis,validation,technical,high_quality
quality_control,enzyme_activity,qc_assessment,enzyme_activity,48,12,175.89,37.12,155.08,196.70,0.000,highly_significant,1.47,quality_validated,qc_analysis,validation,technical,high_quality
quality_control,enzyme_activity,qc_assessment,enzyme_activity,72,12,146.82,42.85,121.65,172.99,0.002,significant,1.17,quality_concerns,qc_analysis,validation,technical,standard
longitudinal_trend,cell_viability,temporal_analysis,cell_viability,24,36,85.32,5.76,83.38,87.26,0.000,highly_significant,0.69,all_pass,longitudinal,exploration,technical,high_quality
longitudinal_trend,cell_viability,temporal_analysis,cell_viability,48,36,82.15,6.58,80.93,83.37,0.000,highly_significant,0.63,all_pass,longitudinal,exploration,technical,high_quality
longitudinal_trend,cell_viability,temporal_analysis,cell_viability,72,36,76.95,7.72,75.35,78.55,0.000,highly_significant,0.56,mixed_quality,longitudinal,exploration,technical,standard
biomarker_correlation,protein_concentration,biomarker_study,protein_concentration,24,36,3.64,1.08,3.28,4.00,0.000,highly_significant,1.82,all_pass,biomarker,reporting,academic,publication_ready
biomarker_correlation,protein_concentration,biomarker_study,protein_concentration,48,36,3.92,1.22,3.51,4.33,0.000,highly_significant,1.96,all_pass,biomarker,reporting,academic,publication_ready
biomarker_correlation,protein_concentration,biomarker_study,protein_concentration,72,36,3.52,1.05,3.17,3.87,0.000,highly_significant,1.76,all_pass,biomarker,reporting,academic,publication_ready
population_analysis,enzyme_activity,population_study,enzyme_activity,24,48,159.45,41.25,147.48,171.42,0.000,highly_significant,1.28,predominant_pass,population,validation,stakeholder,high_quality
