time_window,experimental_condition,mean_measurement,std_measurement,trend_direction,seasonal_component,data_quality,rolling_mean_5pt,rolling_std_5pt,measurement_count,quality_score_avg,coefficient_variation,temporal_stability,change_rate_per_hour,baseline_deviation,significance_level,analysis_phase,output_target,notes
00:00-00:15,control,12.45,0.0,stable,none,high_quality,12.45,0.0,1,0.98,0.00,1.00,0.0,0.0,ns,exploration,technical,Initial baseline measurement - automated control styling via condition_param
00:15-00:30,control,12.485,0.021,stable,none,high_quality,12.468,0.021,2,0.975,0.17,0.99,0.28,0.035,ns,exploration,technical,Early temporal stability demonstration - condition-based styling active
00:30-00:45,control,12.48,0.028,stable,none,high_quality,12.472,0.024,3,0.98,0.19,0.98,0.24,0.03,ns,exploration,technical,Stable control pattern emerging - FigureDataSet styling automation
00:45-01:00,control,12.445,0.032,stable,none,high_quality,12.465,0.026,4,0.9775,0.21,0.97,0.2,-0.005,ns,exploration,technical,Sustained control stability - eliminates manual plt.savefig() styling
01:00-01:15,control,12.42,0.045,stable,none,high_quality,12.456,0.029,5,0.976,0.23,0.96,0.16,-0.03,ns,exploration,technical,Control group consistency - automated line plot styling through F-005
01:15-01:30,control,12.44,0.048,stable,none,high_quality,12.446,0.031,6,0.97,0.25,0.95,0.13,-0.005,ns,exploration,technical,Temporal pattern established - condition_param resolution success
01:30-01:45,control,12.465,0.049,stable,none,high_quality,12.444,0.032,7,0.973,0.26,0.94,0.11,0.02,ns,exploration,technical,Control stability confirmed - FigRegistry styling engine active
01:45-02:00,control,12.46,0.051,stable,none,high_quality,12.446,0.032,8,0.975,0.26,0.93,0.09,0.015,ns,exploration,technical,Baseline pattern complete - automated temporal visualization ready
02:00-02:15,control,12.445,0.049,stable,none,high_quality,12.448,0.031,9,0.974,0.25,0.92,0.08,0.0,ns,exploration,technical,Extended control validation - zero manual styling overhead
02:15-02:30,control,12.455,0.050,stable,none,high_quality,12.451,0.030,10,0.973,0.24,0.91,0.07,0.01,ns,validation,technical,Control pattern validated - transition to validation phase styling
00:00-00:15,treatment_A,13.12,0.0,increasing,none,high_quality,13.12,0.0,1,0.98,0.00,1.00,0.0,0.67,ns,exploration,technical,Treatment A initial response - distinct styling from control condition
00:15-00:30,treatment_A,13.285,0.233,increasing,none,high_quality,13.203,0.233,2,0.985,1.76,0.99,1.65,0.935,*,exploration,technical,Treatment A effect emerging - automated differentiation via condition mapping
00:30-00:45,treatment_A,13.615,0.284,increasing,none,high_quality,13.34,0.317,3,0.98,2.32,0.98,2.2,1.165,**,exploration,technical,Treatment A response building - FigRegistry styling eliminates manual formatting
00:45-01:00,treatment_A,13.95,0.314,increasing,none,high_quality,13.493,0.419,4,0.98,3.10,0.97,2.47,1.5,**,exploration,technical,Treatment A sustained increase - condition-based line styling active
01:00-01:15,treatment_A,14.34,0.348,increasing,none,high_quality,13.66,0.550,5,0.984,4.02,0.96,2.6,1.89,***,exploration,technical,Treatment A peak response - automated styling through condition_param
01:15-01:30,treatment_A,14.685,0.372,increasing,none,high_quality,13.84,0.687,6,0.98,4.96,0.95,2.64,2.235,***,exploration,technical,Treatment A plateau approaching - F-002 condition mapping success
01:30-01:45,treatment_A,14.98,0.386,stable,none,high_quality,14.025,0.826,7,0.983,5.89,0.94,2.56,2.53,***,exploration,technical,Treatment A plateau reached - trend direction change detected
01:45-02:00,treatment_A,15.205,0.392,stable,none,high_quality,14.218,0.965,8,0.985,6.79,0.93,2.44,2.755,***,exploration,technical,Treatment A stable high level - automated stability analysis
02:00-02:15,treatment_A,15.27,0.395,stable,none,high_quality,14.415,1.104,9,0.982,7.66,0.92,2.29,2.82,***,exploration,technical,Treatment A maintained effect - temporal pattern recognition
02:15-02:30,treatment_A,15.325,0.398,stable,none,high_quality,14.613,1.242,10,0.981,8.49,0.91,2.13,2.875,***,validation,technical,Treatment A stable response - validation phase styling transition
00:00-00:15,treatment_B,11.98,0.0,increasing,none,high_quality,11.98,0.0,1,0.97,0.00,1.00,0.0,-0.47,ns,exploration,technical,Treatment B baseline - intermediate response pattern initialization
00:15-00:30,treatment_B,12.105,0.177,increasing,none,high_quality,12.043,0.177,2,0.975,1.46,0.99,1.0,-0.345,ns,exploration,technical,Treatment B modest response - automated intermediate styling
00:30-00:45,treatment_B,12.395,0.233,increasing,none,high_quality,12.16,0.274,3,0.98,2.25,0.98,1.94,-0.05,ns,exploration,technical,Treatment B gradual increase - condition-specific styling active
00:45-01:00,treatment_B,12.725,0.269,increasing,none,high_quality,12.301,0.388,4,0.975,3.15,0.97,2.2,0.275,*,exploration,technical,Treatment B intermediate response - distinct from treatments A and C
