sample_pair,comparison_type,effect_magnitude,effect_size,adjusted_p_value,confidence_width,statistical_significance,measurement_category,analysis_method,comparison_direction,clinical_importance,experimental_robustness,validation_confidence,publication_readiness
control_vs_treatment_A,enzyme_activity_24h,1.23,0.82,0.012,0.15,significant,biochemical_assay,welch_t_test,positive,moderate,high,validated,publication_ready
control_vs_treatment_B,enzyme_activity_24h,1.45,1.05,0.003,0.18,highly_significant,biochemical_assay,welch_t_test,positive,high,high,validated,publication_ready
control_vs_treatment_C,enzyme_activity_24h,1.68,1.28,0.001,0.21,highly_significant,biochemical_assay,welch_t_test,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_B,enzyme_activity_24h,1.18,0.74,0.023,0.16,significant,biochemical_assay,welch_t_test,positive,moderate,high,validated,publication_ready
treatment_A_vs_treatment_C,enzyme_activity_24h,1.37,0.89,0.008,0.19,significant,biochemical_assay,welch_t_test,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,enzyme_activity_24h,1.16,0.68,0.034,0.14,significant,biochemical_assay,welch_t_test,positive,moderate,medium,validated,publication_ready
control_vs_treatment_A,cell_viability_24h,-0.92,0.67,0.045,0.12,significant,cytotoxicity_assay,welch_t_test,negative,moderate,high,validated,publication_ready
control_vs_treatment_B,cell_viability_24h,-1.34,0.91,0.009,0.17,significant,cytotoxicity_assay,welch_t_test,negative,high,high,validated,publication_ready
control_vs_treatment_C,cell_viability_24h,-1.67,1.15,0.002,0.23,highly_significant,cytotoxicity_assay,welch_t_test,negative,high,high,validated,publication_ready
treatment_A_vs_treatment_B,cell_viability_24h,-0.87,0.62,0.067,0.11,not_significant,cytotoxicity_assay,welch_t_test,negative,low,medium,preliminary,draft
treatment_A_vs_treatment_C,cell_viability_24h,-1.23,0.84,0.018,0.16,significant,cytotoxicity_assay,welch_t_test,negative,high,high,validated,publication_ready
treatment_B_vs_treatment_C,cell_viability_24h,-0.78,0.56,0.089,0.09,not_significant,cytotoxicity_assay,welch_t_test,negative,low,medium,preliminary,draft
control_vs_treatment_A,protein_concentration_24h,1.35,0.94,0.007,0.19,significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
control_vs_treatment_B,protein_concentration_24h,1.78,1.23,0.001,0.26,highly_significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
control_vs_treatment_C,protein_concentration_24h,2.12,1.45,0.0003,0.31,highly_significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_B,protein_concentration_24h,1.32,0.87,0.015,0.18,significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_C,protein_concentration_24h,1.57,1.02,0.005,0.22,significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,protein_concentration_24h,1.19,0.75,0.029,0.15,significant,protein_quantification,welch_t_test,positive,moderate,high,validated,publication_ready
control_vs_treatment_A,enzyme_activity_48h,1.38,0.95,0.006,0.20,significant,biochemical_assay,welch_t_test,positive,high,high,validated,publication_ready
control_vs_treatment_B,enzyme_activity_48h,1.55,1.12,0.002,0.24,highly_significant,biochemical_assay,welch_t_test,positive,high,high,validated,publication_ready
control_vs_treatment_C,enzyme_activity_48h,1.82,1.38,0.0005,0.29,highly_significant,biochemical_assay,welch_t_test,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_B,enzyme_activity_48h,1.12,0.71,0.041,0.13,significant,biochemical_assay,welch_t_test,positive,moderate,medium,validated,publication_ready
treatment_A_vs_treatment_C,enzyme_activity_48h,1.32,0.85,0.012,0.17,significant,biochemical_assay,welch_t_test,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,enzyme_activity_48h,1.18,0.73,0.031,0.14,significant,biochemical_assay,welch_t_test,positive,moderate,high,validated,publication_ready
control_vs_treatment_A,cell_viability_48h,-0.89,0.64,0.052,0.11,not_significant,cytotoxicity_assay,welch_t_test,negative,low,medium,preliminary,draft
control_vs_treatment_B,cell_viability_48h,-1.41,0.96,0.007,0.18,significant,cytotoxicity_assay,welch_t_test,negative,high,high,validated,publication_ready
control_vs_treatment_C,cell_viability_48h,-1.78,1.21,0.001,0.25,highly_significant,cytotoxicity_assay,welch_t_test,negative,high,high,validated,publication_ready
treatment_A_vs_treatment_B,cell_viability_48h,-0.94,0.67,0.038,0.12,significant,cytotoxicity_assay,welch_t_test,negative,moderate,medium,validated,publication_ready
treatment_A_vs_treatment_C,cell_viability_48h,-1.35,0.89,0.011,0.16,significant,cytotoxicity_assay,welch_t_test,negative,high,high,validated,publication_ready
treatment_B_vs_treatment_C,cell_viability_48h,-0.83,0.58,0.074,0.10,not_significant,cytotoxicity_assay,welch_t_test,negative,low,medium,preliminary,draft
control_vs_treatment_A,protein_concentration_48h,1.42,0.98,0.005,0.21,significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
