analysis_id,sample_id,qc_category,validation_status,quality_score,compliance_rate,deviation_magnitude,risk_level,threshold_applied,confidence_interval,statistical_significance,process_capability,control_limits_status,trend_indicator,batch_consistency,measurement_uncertainty,calibration_drift,environmental_factor,operator_variance,method_precision,equipment_reliability,data_integrity_check,outlier_detection,process_stability,validation_method,automated_decision,manual_override_required,corrective_action_needed,documentation_status,traceability_score
QCA_001,SAMP_001,instrument_calibration,passed,0.954,98.5,0.021,low,calibration_standard,±0.015,significant,1.67,within_limits,stable,consistent,0.008,0.002,controlled,minimal,excellent,high,verified,none_detected,stable,iso_17025,accept,false,false,complete,0.98
QCA_002,SAMP_002,method_validation,passed,0.923,96.8,0.032,low,validation_protocol,±0.022,significant,1.45,within_limits,stable,consistent,0.012,0.001,controlled,minimal,good,high,verified,none_detected,stable,analytical_method,accept,false,false,complete,0.97
QCA_003,SAMP_003,control_sample,passed,0.889,94.2,0.058,medium,control_chart,±0.031,significant,1.28,within_limits,stable,consistent,0.018,0.003,controlled,moderate,good,medium,verified,none_detected,stable,statistical_process,accept,false,false,complete,0.95
QCA_004,SAMP_004,precision_study,warning,0.776,88.4,0.124,medium,repeatability_limit,±0.045,marginally_significant,1.12,approaching_limits,slightly_declining,variable,0.028,0.008,controlled,moderate,fair,medium,verified,potential_outlier,concerning,precision_test,conditional_accept,false,true,in_progress,0.89
QCA_005,SAMP_005,accuracy_assessment,warning,0.745,85.7,0.143,medium,bias_threshold,±0.052,marginally_significant,1.05,approaching_limits,declining,variable,0.034,0.012,controlled,elevated,fair,medium,verified,statistical_outlier,concerning,accuracy_protocol,conditional_accept,false,true,in_progress,0.86
QCA_006,SAMP_006,linearity_check,failed,0.698,78.3,0.202,high,linearity_coefficient,±0.067,not_significant,0.89,exceeding_limits,declining,inconsistent,0.045,0.018,uncontrolled,high,poor,low,flagged,multiple_outliers,unstable,regression_analysis,reject,true,true,incomplete,0.71
QCA_007,SAMP_007,detection_limit,failed,0.651,72.1,0.279,high,lod_threshold,±0.089,not_significant,0.76,exceeding_limits,declining,inconsistent,0.058,0.025,uncontrolled,high,poor,low,flagged,systematic_bias,unstable,detection_protocol,reject,true,true,incomplete,0.68
QCA_008,SAMP_008,specificity_test,critical,0.584,65.8,0.341,critical,interference_threshold,±0.112,not_significant,0.62,out_of_control,deteriorating,highly_variable,0.078,0.041,uncontrolled,very_high,very_poor,very_low,failed,systematic_error,critical,selectivity_method,reject,true,true,incomplete,0.52
QCA_009,SAMP_009,robustness_study,critical,0.523,58.9,0.412,critical,robustness_parameter,±0.134,not_significant,0.51,out_of_control,deteriorating,highly_variable,0.095,0.055,uncontrolled,very_high,very_poor,very_low,failed,instrument_failure,critical,robustness_protocol,reject,true,true,incomplete,0.48
QCA_010,SAMP_010,system_suitability,passed,0.945,97.8,0.025,low,suitability_criteria,±0.018,significant,1.62,within_limits,stable,consistent,0.009,0.001,controlled,minimal,excellent,high,verified,none_detected,stable,system_validation,accept,false,false,complete,0.98
QCA_011,SAMP_011,blank_analysis,passed,0.934,96.1,0.039,low,blank_threshold,±0.025,significant,1.51,within_limits,stable,consistent,0.013,0.002,controlled,minimal,excellent,high,verified,none_detected,stable,blank_protocol,accept,false,false,complete,0.96
QCA_012,SAMP_012,matrix_effect,passed,0.901,93.5,0.065,medium,matrix_tolerance,±0.038,significant,1.35,within_limits,stable,consistent,0.021,0.004,controlled,moderate,good,medium,verified,none_detected,stable,matrix_validation,accept,false,false,complete,0.94
QCA_013,SAMP_013,carryover_test,passed,0.876,91.2,0.088,medium,carryover_limit,±0.042,significant,1.22,within_limits,stable,consistent,0.024,0.006,controlled,moderate,good,medium,verified,none_detected,stable,carryover_protocol,accept,false,false,complete,0.92
