# =============================================================================
# Temporal Analysis Final Dataset - FigRegistry-Kedro Migration Example (After)
# =============================================================================
# This dataset represents the culmination of automated temporal data processing
# where FigRegistry's condition-based styling completely eliminates manual time
# series visualization management, replacing scattered plt.plot() styling calls
# with sophisticated automated temporal pattern recognition and styling.
#
# MIGRATION TRANSFORMATION ACHIEVED:
# BEFORE: 15+ manual plt.plot() calls with hardcoded temporal styling parameters
# AFTER:  Zero temporal styling code - complete automation through condition_param
# BEFORE: Scattered time series formatting logic across multiple pipeline nodes  
# AFTER:  Centralized temporal styling through figregistry.yml condition mapping
# BEFORE: Manual legend management, axis labeling, and temporal axis formatting
# AFTER:  Automated temporal visualization through FigureDataSet integration
# BEFORE: Inconsistent temporal plot styling across different analysis phases
# AFTER:  Publication-quality temporal styling with automated phase recognition
#
# AUTOMATED TEMPORAL STYLING FEATURES DEMONSTRATED:
# F-002 Temporal Pattern Support:
# - time_period enables automatic time scale formatting and axis management
# - analysis_phase triggers phase-specific styling (baseline -> intervention -> followup)
# - trend_direction drives automatic line styling, markers, and color selection
# - seasonality_index controls automatic seasonal overlay and pattern highlighting
# - data_quality adjusts alpha, linewidth, and confidence interval styling
# - temporal_significance enables automatic statistical annotation and highlighting
#
# F-005 FigureDataSet Integration:
# - condition_param resolution from analysis_phase for automated temporal styling
# - temporal_context injection enabling sophisticated time series automation
# - integrated versioning supporting temporal experiment tracking workflows
# - automated file organization with temporal naming conventions and metadata
#
# F-004 Output Management:
# - purpose-based temporal visualization with audience-specific formatting
# - automated temporal axis formatting, scale selection, and labeling
# - publication-ready temporal plots with automated layout optimization
# - multi-format output supporting temporal data presentation across contexts
#
# TEMPORAL FEATURES ENABLING ADVANCED STYLING AUTOMATION:
# - time_period: Temporal resolution (daily, weekly, monthly, quarterly) for scale automation
# - analysis_phase: Experimental phase (baseline, intervention, followup, validation) for styling
# - trend_direction: Temporal trend (increasing, decreasing, stable, volatile) for visual encoding
# - trend_strength: Quantified trend strength (0-1) for automated emphasis and styling intensity
# - seasonality_index: Seasonal pattern strength (0-1) for automated seasonal overlay control
# - data_quality: Quality assessment (high, medium, low) for automated confidence styling
# - temporal_significance: Statistical significance for automated annotation and highlighting
# - confidence_level: Confidence interval width for automated uncertainty visualization
# - forecast_horizon: Prediction horizon for automated forecast visualization styling
# - anomaly_likelihood: Anomaly detection probability for automated outlier highlighting
# - pattern_complexity: Temporal pattern sophistication for automated detail level control
# - measurement_density: Temporal measurement frequency for automated interpolation control
# - temporal_stability: Pattern consistency for automated smoothing and filtering
# - change_point_probability: Change point detection for automated transition highlighting
# - periodicity_strength: Periodic pattern strength for automated frequency highlighting
# - noise_level: Signal-to-noise ratio for automated filtering and smoothing decisions
# - temporal_correlation: Auto-correlation strength for automated dependency visualization
# - intervention_effect: Treatment effect magnitude for automated effect highlighting
# - baseline_variability: Pre-intervention variation for automated baseline styling
# - response_magnitude: Post-intervention response for automated response emphasis
# =============================================================================
time_period,analysis_phase,trend_direction,trend_strength,seasonality_index,data_quality,temporal_significance,confidence_level,forecast_horizon,anomaly_likelihood,pattern_complexity,measurement_density,temporal_stability,change_point_probability,periodicity_strength,noise_level,temporal_correlation,intervention_effect,baseline_variability,response_magnitude,final_value,baseline_mean,intervention_mean,followup_mean,effect_size,statistical_power,p_value,confidence_interval_lower,confidence_interval_upper,temporal_trajectory_class,model_fit_r2,residual_autocorr,trend_persistence,seasonal_decomp_trend,seasonal_decomp_seasonal,seasonal_decomp_residual,forecast_accuracy,prediction_interval_lower,prediction_interval_upper,uncertainty_quantification
# Baseline Phase Analysis - Establishing temporal patterns before intervention
daily,baseline,stable,0.23,0.15,high_quality,0.89,0.95,7,0.08,0.34,0.92,0.87,0.12,0.18,0.14,0.76,0.00,0.15,0.00,47.23,47.18,0.00,0.00,0.00,0.85,0.542,45.67,48.79,stable_baseline,0.89,0.12,0.76,46.89,0.78,1.23,0.94,46.12,48.34,low
daily,baseline,increasing,0.45,0.28,high_quality,0.91,0.95,7,0.06,0.42,0.94,0.83,0.18,0.31,0.12,0.81,0.00,0.18,0.00,52.89,47.34,0.00,0.00,0.00,0.87,0.398,51.23,54.55,increasing_baseline,0.92,0.08,0.83,51.45,1.34,1.45,0.91,51.67,54.11,low
daily,baseline,volatile,0.67,0.42,medium_quality,0.76,0.90,7,0.23,0.58,0.89,0.71,0.34,0.29,0.28,0.69,0.00,0.31,0.00,49.67,48.92,0.00,0.00,0.00,0.78,0.187,47.89,51.45,volatile_baseline,0.76,0.31,0.64,49.12,2.45,2.78,0.82,48.23,51.11,medium
weekly,baseline,stable,0.31,0.22,high_quality,0.92,0.95,4,0.09,0.38,0.91,0.85,0.15,0.21,0.16,0.78,0.00,0.17,0.00,48.45,48.23,0.00,0.00,0.00,0.89,0.432,47.67,49.23,stable_baseline,0.91,0.14,0.79,48.12,1.12,1.34,0.93,47.89,49.01,low
weekly,baseline,decreasing,0.52,0.35,high_quality,0.87,0.95,4,0.11,0.44,0.93,0.79,0.24,0.33,0.19,0.72,0.00,0.22,0.00,45.78,48.67,0.00,0.00,0.00,0.84,0.298,44.89,46.67,decreasing_baseline,0.87,0.18,0.71,45.34,1.67,1.89,0.89,45.12,46.44,low
monthly,baseline,stable,0.19,0.12,high_quality,0.94,0.99,2,0.05,0.28,0.96,0.91,0.08,0.14,0.09,0.84,0.00,0.12,0.00,49.12,49.08,0.00,0.00,0.00,0.92,0.678,48.67,49.57,stable_baseline,0.94,0.06,0.86,49.01,0.67,0.89,0.96,48.78,49.46,very_low
quarterly,baseline,increasing,0.28,0.18,high_quality,0.96,0.99,1,0.04,0.32,0.97,0.93,0.11,0.19,0.08,0.87,0.00,0.14,0.00,51.67,49.23,0.00,0.00,0.00,0.95,0.543,51.12,52.22,increasing_baseline,0.96,0.05,0.89,51.34,0.89,0.78,0.97,51.23,52.11,very_low

# Intervention Phase Analysis - Active treatment period with emerging effects
daily,intervention,increasing,0.78,0.34,high_quality,0.94,0.95,14,0.12,0.67,0.88,0.82,0.42,0.38,0.18,0.83,0.67,0.24,0.78,67.89,47.23,62.45,0.00,1.24,0.91,0.001,66.23,69.55,strong_response,0.88,0.22,0.78,66.78,2.12,2.45,0.86,66.45,69.33,medium
daily,intervention,volatile,0.82,0.45,medium_quality,0.87,0.90,14,0.28,0.74,0.85,0.76,0.51,0.42,0.34,0.71,0.89,0.38,0.92,72.34,52.89,68.67,0.00,1.67,0.89,0.000,70.45,74.23,very_strong_response,0.79,0.35,0.68,71.23,3.45,3.78,0.78,70.78,73.90,high
daily,intervention,increasing,0.71,0.29,high_quality,0.91,0.95,14,0.15,0.59,0.90,0.84,0.35,0.34,0.21,0.79,0.45,0.19,0.52,58.23,49.67,55.78,0.00,0.89,0.85,0.012,56.67,59.79,moderate_response,0.91,0.18,0.81,57.45,1.78,1.89,0.89,57.12,59.34,low
