experiment_id,experiment_type,treatment_group,research_phase,researcher,protocol,start_date,end_date,sample_size,confidence_level,statistical_method,quality_score,validation_status,notes
EXP-001,dose_response,control,pilot,Dr. Sarah Chen,PROTO-DR-01,2024-01-15,2024-01-30,25,0.95,t_test,8.7,validated,"Initial dose-response study with vehicle control. Manual styling required for control group (gray), low dose (light blue), medium dose (blue), high dose (dark blue)"
EXP-002,dose_response,low_dose,pilot,Dr. Sarah Chen,PROTO-DR-01,2024-01-15,2024-01-30,25,0.95,t_test,8.7,validated,"Low dose treatment group (5mg/kg). Requires manual color coding for dose levels in traditional matplotlib workflows"
EXP-003,dose_response,medium_dose,pilot,Dr. Sarah Chen,PROTO-DR-01,2024-01-15,2024-01-30,25,0.95,t_test,8.7,validated,"Medium dose treatment group (15mg/kg). Manual styling decisions needed for dose progression visualization"
EXP-004,dose_response,high_dose,pilot,Dr. Sarah Chen,PROTO-DR-01,2024-01-15,2024-01-30,25,0.95,t_test,8.7,validated,"High dose treatment group (50mg/kg). Requires hardcoded styling for dose-response curves"
EXP-005,time_course,control,main,Dr. Marcus Rodriguez,PROTO-TC-02,2024-02-01,2024-03-15,40,0.95,anova,9.1,validated,"Time course study control group. Manual styling needed for time point visualization (different markers per timepoint)"
EXP-006,time_course,treatment_A,main,Dr. Marcus Rodriguez,PROTO-TC-02,2024-02-01,2024-03-15,40,0.95,anova,9.1,validated,"Treatment A time course (compound X). Requires manual line styling and marker configuration"
EXP-007,time_course,treatment_B,main,Dr. Marcus Rodriguez,PROTO-TC-02,2024-02-01,2024-03-15,40,0.95,anova,9.1,validated,"Treatment B time course (compound Y). Manual color/pattern selection needed for multi-group comparisons"
EXP-008,comparative,control,validation,Dr. Lisa Park,PROTO-COMP-03,2024-03-01,2024-03-30,60,0.99,mann_whitney,8.9,validated,"Comparative study control. Manual styling decisions required for publication-quality figures"
EXP-009,comparative,treatment_A,validation,Dr. Lisa Park,PROTO-COMP-03,2024-03-01,2024-03-30,60,0.99,mann_whitney,8.9,validated,"Comparative treatment A. Requires hardcoded styling parameters for consistent visualization across papers"
EXP-010,comparative,treatment_B,validation,Dr. Lisa Park,PROTO-COMP-03,2024-03-01,2024-03-30,60,0.99,mann_whitney,8.9,validated,"Comparative treatment B. Manual figure styling needed for journal submission requirements"
EXP-011,longitudinal,control,main,Dr. James Wilson,PROTO-LONG-04,2024-04-01,2024-06-30,80,0.95,mixed_effects,9.3,validated,"Longitudinal study baseline group. Complex manual styling needed for trajectory visualization"
EXP-012,longitudinal,intervention,main,Dr. James Wilson,PROTO-LONG-04,2024-04-01,2024-06-30,80,0.95,mixed_effects,9.3,validated,"Longitudinal intervention group. Manual configuration required for trajectory plots with confidence intervals"
EXP-013,safety_tox,vehicle,regulatory,Dr. Emily Zhang,PROTO-TOX-05,2024-05-01,2024-07-15,100,0.99,survival_analysis,8.5,pending,"Toxicology study vehicle control. Regulatory submission requires manual styling for safety plots"
EXP-014,safety_tox,low_dose,regulatory,Dr. Emily Zhang,PROTO-TOX-05,2024-05-01,2024-07-15,100,0.99,survival_analysis,8.5,pending,"Toxicology low dose group. Manual hazard ratio visualization styling required"
EXP-015,safety_tox,high_dose,regulatory,Dr. Emily Zhang,PROTO-TOX-05,2024-05-01,2024-07-15,100,0.99,survival_analysis,8.5,pending,"Toxicology high dose group. Complex manual Kaplan-Meier curve styling needed for regulatory docs"
EXP-016,biomarker,control,exploratory,Dr. Alex Kumar,PROTO-BIO-06,2024-06-01,2024-08-30,50,0.95,correlation,7.8,in_progress,"Biomarker discovery control. Manual heatmap and correlation plot styling required"
EXP-017,biomarker,treatment,exploratory,Dr. Alex Kumar,PROTO-BIO-06,2024-06-01,2024-08-30,50,0.95,correlation,7.8,in_progress,"Biomarker treatment group. Manual clustering visualization and annotation needed"
EXP-018,mechanism,inhibitor_A,mechanistic,Dr. Rachel Foster,PROTO-MECH-07,2024-07-01,2024-09-15,35,0.95,regression,9.0,validated,"Mechanism study with inhibitor A. Manual pathway diagram styling and dose-response curves required"
EXP-019,mechanism,inhibitor_B,mechanistic,Dr. Rachel Foster,PROTO-MECH-07,2024-07-01,2024-09-15,35,0.95,regression,9.0,validated,"Mechanism study with inhibitor B. Complex manual network visualization styling needed"
EXP-020,combination,mono_A,pilot,Dr. David Lee,PROTO-COMBO-08,2024-08-01,2024-10-30,45,0.95,factorial_anova,8.2,in_progress,"Combination therapy monotherapy A. Manual interaction plot styling required for combination studies"
EXP-021,combination,mono_B,pilot,Dr. David Lee,PROTO-COMBO-08,2024-08-01,2024-10-30,45,0.95,factorial_anova,8.2,in_progress,"Combination therapy monotherapy B. Manual factorial design visualization needed"
EXP-022,combination,combo_low,pilot,Dr. David Lee,PROTO-COMBO-08,2024-08-01,2024-10-30,45,0.95,factorial_anova,8.2,in_progress,"Low dose combination therapy. Manual synergy plot styling and surface plots required"
EXP-023,combination,combo_high,pilot,Dr. David Lee,PROTO-COMBO-08,2024-08-01,2024-10-30,45,0.95,factorial_anova,8.2,in_progress,"High dose combination therapy. Complex manual isobologram styling needed for publication"
EXP-024,pharmacokinetic,single_dose,main,Dr. Maria Santos,PROTO-PK-09,2024-09-01,2024-11-15,30,0.95,nonlinear_regression,9.2,validated,"Single dose PK study. Manual concentration-time curve styling required with log scales"
EXP-025,pharmacokinetic,multiple_dose,main,Dr. Maria Santos,PROTO-PK-09,2024-09-01,2024-11-15,30,0.95,nonlinear_regression,9.2,validated,"Multiple dose PK study. Manual steady-state visualization and accumulation plots needed"
