experiment_id,timestamp,condition,measurement_value,measurement_error,quality_flag,timepoint_label,replicate_id,dose_level,researcher_notes
EXP-001,2024-01-15T09:00:00,control,1.25,0.08,high,baseline,1,0.0,"Manual styling: gray color (#808080) for control group baseline measurements"
EXP-001,2024-01-15T12:00:00,control,1.22,0.09,high,3h,1,0.0,"Control group 3-hour timepoint - requires manual marker style 'o'"
EXP-001,2024-01-15T18:00:00,control,1.28,0.07,high,9h,1,0.0,"Control 9h measurement - manual line style '--' for control"
EXP-001,2024-01-16T09:00:00,control,1.31,0.10,high,24h,1,0.0,"24-hour control measurement - manual alpha=0.7 for transparency"
EXP-001,2024-01-17T09:00:00,control,1.29,0.08,medium,48h,1,0.0,"48h control - quality flag medium due to equipment calibration"
EXP-001,2024-01-18T09:00:00,control,1.35,0.11,high,72h,1,0.0,"Final control timepoint - manual legend positioning required"
EXP-002,2024-01-15T09:00:00,treatment_A,1.24,0.09,high,baseline,1,5.0,"Treatment A baseline - manual color #1f77b4 (blue) for low dose"
EXP-002,2024-01-15T12:00:00,treatment_A,1.45,0.12,high,3h,1,5.0,"Treatment A 3h - significant increase, manual annotation needed"
EXP-002,2024-01-15T18:00:00,treatment_A,1.78,0.15,high,9h,1,5.0,"Treatment A 9h - manual line width 2.0 for emphasis"
EXP-002,2024-01-16T09:00:00,treatment_A,2.12,0.18,high,24h,1,5.0,"24h treatment A - peak response, manual marker size 8"
EXP-002,2024-01-17T09:00:00,treatment_A,1.95,0.16,high,48h,1,5.0,"48h treatment A - declining but elevated"
EXP-002,2024-01-18T09:00:00,treatment_A,1.67,0.13,high,72h,1,5.0,"72h treatment A - manual error bar styling capsize=3"
EXP-003,2024-01-15T09:00:00,treatment_B,1.26,0.08,high,baseline,1,15.0,"Treatment B baseline - manual color #ff7f0e (orange) for medium dose"
EXP-003,2024-01-15T12:00:00,treatment_B,1.58,0.14,high,3h,1,15.0,"Treatment B 3h - stronger response than A, manual z-order=3"
EXP-003,2024-01-15T18:00:00,treatment_B,2.23,0.19,high,9h,1,15.0,"Treatment B 9h - robust response, manual line style '-'"
EXP-003,2024-01-16T09:00:00,treatment_B,2.87,0.24,high,24h,1,15.0,"24h treatment B - maximum response, manual marker '^'"
EXP-003,2024-01-17T09:00:00,treatment_B,2.45,0.21,medium,48h,1,15.0,"48h treatment B - declining response"
EXP-003,2024-01-18T09:00:00,treatment_B,2.01,0.17,high,72h,1,15.0,"72h treatment B - sustained elevation"
EXP-004,2024-01-15T09:00:00,treatment_C,1.23,0.09,high,baseline,1,50.0,"Treatment C baseline - manual color #d62728 (red) for high dose"
EXP-004,2024-01-15T12:00:00,treatment_C,1.72,0.16,high,3h,1,50.0,"Treatment C 3h - rapid onset, manual line width 2.5"
EXP-004,2024-01-15T18:00:00,treatment_C,2.84,0.25,high,9h,1,50.0,"Treatment C 9h - dramatic response, manual marker 's'"
EXP-004,2024-01-16T09:00:00,treatment_C,3.45,0.31,medium,24h,1,50.0,"24h treatment C - peak but quality concerns from saturation"
EXP-004,2024-01-17T09:00:00,treatment_C,2.89,0.26,high,48h,1,50.0,"48h treatment C - sustained high response"
EXP-004,2024-01-18T09:00:00,treatment_C,2.34,0.21,high,72h,1,50.0,"72h treatment C - gradual decline, manual alpha=0.9"
EXP-001,2024-01-15T09:00:00,control,1.22,0.07,high,baseline,2,0.0,"Replicate 2 control baseline - manual styling consistency critical"
EXP-001,2024-01-15T12:00:00,control,1.19,0.08,high,3h,2,0.0,"Replicate 2 control 3h - manual color matching required"
EXP-001,2024-01-15T18:00:00,control,1.26,0.09,high,9h,2,0.0,"Replicate 2 control 9h - manual line pattern consistency"
EXP-001,2024-01-16T09:00:00,control,1.28,0.10,high,24h,2,0.0,"Replicate 2 control 24h - manual marker alignment"
EXP-001,2024-01-17T09:00:00,control,1.32,0.09,high,48h,2,0.0,"Replicate 2 control 48h - good quality measurement"
EXP-001,2024-01-18T09:00:00,control,1.33,0.11,high,72h,2,0.0,"Replicate 2 control 72h - final measurement"
EXP-002,2024-01-15T09:00:00,treatment_A,1.21,0.08,high,baseline,2,5.0,"Replicate 2 treatment A baseline - manual color coordination"
EXP-002,2024-01-15T12:00:00,treatment_A,1.42,0.11,high,3h,2,5.0,"Replicate 2 treatment A 3h - consistent response pattern"
EXP-002,2024-01-15T18:00:00,treatment_A,1.74,0.14,high,9h,2,5.0,"Replicate 2 treatment A 9h - replicating trend"
EXP-002,2024-01-16T09:00:00,treatment_A,2.08,0.17,high,24h,2,5.0,"Replicate 2 treatment A 24h - peak response confirmed"
EXP-002,2024-01-17T09:00:00,treatment_A,1.91,0.15,high,48h,2,5.0,"Replicate 2 treatment A 48h - declining phase"
EXP-002,2024-01-18T09:00:00,treatment_A,1.64,0.12,high,72h,2,5.0,"Replicate 2 treatment A 72h - manual styling for replicate distinction"
