sample_id,treatment_group,measurement_type,result_value,time_point_days,dose_mg_kg,replicate,experiment_id,researcher,measurement_unit,quality_flag,statistical_significance
S001,control,efficacy_primary,12.4,0,0,1,EXP-001,Dr. Sarah Chen,percent_inhibition,pass,ns
S002,control,efficacy_primary,11.8,0,0,2,EXP-001,Dr. Sarah Chen,percent_inhibition,pass,ns
S003,control,efficacy_primary,13.1,0,0,3,EXP-001,Dr. Sarah Chen,percent_inhibition,pass,ns
S004,control,toxicity_endpoint,2.1,0,0,1,EXP-001,Dr. Sarah Chen,cell_viability_fold,pass,ns
S005,control,toxicity_endpoint,2.3,0,0,2,EXP-001,Dr. Sarah Chen,cell_viability_fold,pass,ns
S006,control,toxicity_endpoint,1.9,0,0,3,EXP-001,Dr. Sarah Chen,cell_viability_fold,pass,ns
S007,low_dose,efficacy_primary,23.7,0,5,1,EXP-002,Dr. Sarah Chen,percent_inhibition,pass,significant
S008,low_dose,efficacy_primary,25.2,0,5,2,EXP-002,Dr. Sarah Chen,percent_inhibition,pass,significant
S009,low_dose,efficacy_primary,21.9,0,5,3,EXP-002,Dr. Sarah Chen,percent_inhibition,pass,significant
S010,low_dose,toxicity_endpoint,2.2,0,5,1,EXP-002,Dr. Sarah Chen,cell_viability_fold,pass,ns
S011,low_dose,toxicity_endpoint,2.0,0,5,2,EXP-002,Dr. Sarah Chen,cell_viability_fold,pass,ns
S012,low_dose,toxicity_endpoint,2.4,0,5,3,EXP-002,Dr. Sarah Chen,cell_viability_fold,pass,ns
S013,medium_dose,efficacy_primary,48.3,0,15,1,EXP-003,Dr. Sarah Chen,percent_inhibition,pass,highly_significant
S014,medium_dose,efficacy_primary,52.1,0,15,2,EXP-003,Dr. Sarah Chen,percent_inhibition,pass,highly_significant
S015,medium_dose,efficacy_primary,46.7,0,15,3,EXP-003,Dr. Sarah Chen,percent_inhibition,pass,highly_significant
S016,medium_dose,toxicity_endpoint,1.8,0,15,1,EXP-003,Dr. Sarah Chen,cell_viability_fold,pass,ns
S017,medium_dose,toxicity_endpoint,1.9,0,15,2,EXP-003,Dr. Sarah Chen,cell_viability_fold,pass,ns
S018,medium_dose,toxicity_endpoint,1.7,0,15,3,EXP-003,Dr. Sarah Chen,cell_viability_fold,pass,ns
S019,high_dose,efficacy_primary,73.2,0,50,1,EXP-004,Dr. Sarah Chen,percent_inhibition,pass,highly_significant
