experiment_id,treatment,measurement_type,treatment_group,measurement_category,significance_level,result_value,mean_value,std_error,effect_size,n_samples,p_value,confidence_interval_lower,confidence_interval_upper,timepoint,manual_styling_notes
EXP-001,control,baseline_measurement,control,pharmacodynamic,non_significant,1.25,1.25,0.08,0.00,12,1.000,1.09,1.41,baseline,"Manual styling: gray color (#808080) required for control group in all plots"
EXP-002,treatment_A,baseline_measurement,low_dose,pharmacodynamic,non_significant,1.23,1.23,0.09,0.05,12,0.857,1.05,1.41,baseline,"Manual styling: light blue (#87CEEB) for low dose group - hardcoded in node functions"
EXP-003,treatment_B,baseline_measurement,medium_dose,pharmacodynamic,non_significant,1.25,1.25,0.08,0.03,12,0.912,1.09,1.41,baseline,"Manual styling: blue (#1f77b4) for medium dose - manual plt.savefig() parameters needed"
EXP-004,treatment_C,baseline_measurement,high_dose,pharmacodynamic,non_significant,1.24,1.24,0.09,0.02,12,0.934,1.06,1.42,baseline,"Manual styling: dark blue (#0047AB) for high dose - hardcoded marker styles required"
EXP-001,control,peak_response,control,efficacy,non_significant,1.32,1.32,0.09,0.00,12,1.000,1.14,1.50,24h,"Control peak response - requires manual line style '--' and alpha=0.7 in plot functions"
EXP-002,treatment_A,peak_response,low_dose,efficacy,significant,2.10,2.10,0.17,1.23,12,0.012,1.76,2.44,24h,"Treatment A peak - manual annotation needed, marker size 8, line width 2.0"
EXP-003,treatment_B,peak_response,medium_dose,efficacy,highly_significant,2.85,2.85,0.23,2.34,12,0.001,2.39,3.31,24h,"Treatment B peak - manual z-order=3, marker '^', error bar capsize=3"
EXP-004,treatment_C,peak_response,high_dose,efficacy,highly_significant,3.43,3.43,0.30,3.67,12,0.000,2.83,4.03,24h,"Treatment C peak - manual color #d62728 (red), line width 2.5, marker 's'"
EXP-001,control,sustained_response,control,durability,non_significant,1.34,1.34,0.10,0.00,12,1.000,1.14,1.54,72h,"Control sustained - manual legend positioning required, alpha=0.8"
EXP-002,treatment_A,sustained_response,low_dose,durability,significant,1.66,1.66,0.12,0.87,12,0.032,1.42,1.90,72h,"Treatment A sustained - manual error bar styling, line pattern coordination needed"
EXP-003,treatment_B,sustained_response,medium_dose,durability,significant,2.00,2.00,0.16,1.45,12,0.018,1.68,2.32,72h,"Treatment B sustained - manual color matching across timepoints required"
EXP-004,treatment_C,sustained_response,high_dose,durability,highly_significant,2.33,2.33,0.20,2.12,12,0.003,1.93,2.73,72h,"Treatment C sustained - manual alpha=0.9, trend line styling needed"
EXP-005,control,time_course_slope,control,kinetics,non_significant,0.012,0.012,0.003,0.00,40,1.000,0.006,0.018,weekly,"Time course control slope - manual trajectory styling, confidence interval shading"
