analysis_id,instrument_id,qc_category,analysis_date,pass_fail_status,quality_score,threshold_indicator,deviation_percent,risk_level,manual_styling_required,color_code_needed,symbol_type_needed,analysis_notes
QCA_001,HPLC_001,calibration_check,2024-01-15,PASS,97.85,ABOVE_THRESHOLD,2.85,LOW,TRUE,GREEN,CIRCLE,"Manual green circle styling needed for passing calibration. Traditional approach requires hardcoded color='green', marker='o'"
QCA_002,HPLC_002,calibration_check,2024-01-15,FAIL,94.80,BELOW_THRESHOLD,-0.20,HIGH,TRUE,RED,X_MARK,"Manual red X styling required for failed calibration. Traditional matplotlib requires manual color='red', marker='X', s=100"
QCA_003,LC_MS_001,calibration_check,2024-01-15,PASS,99.10,ABOVE_THRESHOLD,4.10,LOW,TRUE,GREEN,CIRCLE,"Manual green circle needed. Traditional workflow: plt.scatter(x, y, c='green', marker='o', label='Pass')"
QCA_004,LC_MS_002,calibration_check,2024-01-15,PASS,96.70,ABOVE_THRESHOLD,1.70,LOW,TRUE,GREEN,CIRCLE,"Manual styling for passing result. Conventional approach: if status=='PASS': plt.plot(data, 'go-')"
QCA_005,HPLC_001,instrument_validation,2024-01-15,PASS,0.025,BELOW_THRESHOLD,-50.00,LOW,TRUE,BLUE,DIAMOND,"Manual blue diamond for validation pass. Traditional: marker='D', color='blue', markersize=8"
QCA_006,HPLC_002,instrument_validation,2024-01-15,FAIL,0.070,ABOVE_THRESHOLD,40.00,HIGH,TRUE,RED,TRIANGLE_DOWN,"Manual red down-triangle for validation fail. Conventional: marker='v', color='red', alpha=0.8"
QCA_007,LC_MS_001,instrument_validation,2024-01-15,PASS,0.010,BELOW_THRESHOLD,-80.00,LOW,TRUE,BLUE,DIAMOND,"Manual blue diamond styling needed. Traditional matplotlib: plt.scatter(x, y, marker='D', c='blue')"
QCA_008,LC_MS_002,instrument_validation,2024-01-15,PASS,0.040,BELOW_THRESHOLD,-20.00,LOW,TRUE,BLUE,DIAMOND,"Manual styling required for validation pass. Hardcoded approach: color='blue', marker='D'"
QCA_009,HPLC_001,control_sample,2024-01-15,PASS,102.05,WITHIN_LIMITS,-2.95,LOW,TRUE,PURPLE,SQUARE,"Manual purple square for control sample pass. Traditional: marker='s', color='purple', edgecolor='black'"
QCA_010,HPLC_002,control_sample,2024-01-15,FAIL,107.20,ABOVE_THRESHOLD,2.20,MEDIUM,TRUE,ORANGE,TRIANGLE_UP,"Manual orange up-triangle for control fail. Conventional styling: marker='^', color='orange'"
QCA_011,LC_MS_001,control_sample,2024-01-15,PASS,98.90,WITHIN_LIMITS,-6.10,LOW,TRUE,PURPLE,SQUARE,"Manual purple square needed. Traditional matplotlib: plt.plot(x, y, 'ps', markersize=10)"
QCA_012,LC_MS_002,control_sample,2024-01-15,PASS,103.50,WITHIN_LIMITS,-1.50,LOW,TRUE,PURPLE,SQUARE,"Manual styling for control pass. Hardcoded: if category=='control': color='purple'"
QCA_013,HPLC_001,drift_monitoring,2024-01-15,PASS,5.135,WITHIN_LIMITS,-1.25,LOW,TRUE,CYAN,PLUS,"Manual cyan plus for drift monitoring pass. Traditional: marker='+', color='cyan', markersize=12"
QCA_014,HPLC_002,drift_monitoring,2024-01-15,FAIL,5.230,ABOVE_THRESHOLD,0.58,MEDIUM,TRUE,YELLOW,ASTERISK,"Manual yellow asterisk for drift fail. Conventional: marker='*', color='yellow', alpha=0.9"
QCA_015,LC_MS_001,drift_monitoring,2024-01-15,PASS,4.980,WITHIN_LIMITS,-4.23,LOW,TRUE,CYAN,PLUS,"Manual cyan plus styling needed. Traditional approach: plt.scatter(x, y, marker='+', c='cyan')"
QCA_016,LC_MS_002,drift_monitoring,2024-01-15,PASS,5.050,WITHIN_LIMITS,-2.88,LOW,TRUE,CYAN,PLUS,"Manual styling required for drift pass. Hardcoded matplotlib: color='cyan', marker='+'"
QCA_017,GC_MS_001,calibration_check,2024-01-16,PASS,97.05,ABOVE_THRESHOLD,2.05,LOW,TRUE,GREEN,CIRCLE,"Manual green circle for GC-MS calibration pass. Traditional styling decisions needed"
QCA_018,GC_MS_001,instrument_validation,2024-01-16,PASS,0.030,BELOW_THRESHOLD,-40.00,LOW,TRUE,BLUE,DIAMOND,"Manual blue diamond for GC-MS validation. Requires hardcoded marker and color selection"
QCA_019,GC_MS_001,control_sample,2024-01-16,PASS,99.70,WITHIN_LIMITS,-5.30,LOW,TRUE,PURPLE,SQUARE,"Manual purple square for GC-MS control. Traditional approach needs explicit styling"
QCA_020,GC_MS_001,drift_monitoring,2024-01-16,PASS,8.450,WITHIN_LIMITS,-0.59,LOW,TRUE,CYAN,PLUS,"Manual cyan plus for GC-MS drift monitoring. Conventional matplotlib styling required"
QCA_021,UV_VIS_001,calibration_check,2024-01-16,PASS,98.90,ABOVE_THRESHOLD,3.90,LOW,TRUE,GREEN,CIRCLE,"Manual green circle for UV-Vis calibration. Traditional workflow requires manual color coding"
QCA_022,UV_VIS_002,calibration_check,2024-01-16,FAIL,93.20,BELOW_THRESHOLD,-1.80,HIGH,TRUE,RED,X_MARK,"Manual red X for UV-Vis calibration fail. Hardcoded styling: marker='X', color='red'"
QCA_023,UV_VIS_001,instrument_validation,2024-01-16,PASS,0.020,BELOW_THRESHOLD,-60.00,LOW,TRUE,BLUE,DIAMOND,"Manual blue diamond for UV-Vis validation pass. Traditional matplotlib customization needed"
QCA_024,UV_VIS_002,instrument_validation,2024-01-16,FAIL,0.080,ABOVE_THRESHOLD,60.00,HIGH,TRUE,RED,TRIANGLE_DOWN,"Manual red down-triangle for validation fail. Conventional approach: manual symbol selection"
QCA_025,UV_VIS_001,control_sample,2024-01-16,PASS,101.20,WITHIN_LIMITS,-3.80,LOW,TRUE,PURPLE,SQUARE,"Manual purple square for UV-Vis control. Traditional styling decisions required"
QCA_026,UV_VIS_002,control_sample,2024-01-16,FAIL,109.80,ABOVE_THRESHOLD,4.80,MEDIUM,TRUE,ORANGE,TRIANGLE_UP,"Manual orange up-triangle for control fail. Hardcoded matplotlib parameters needed"
