experiment_group,analysis_category,data_subset,group_mean,group_std,confidence_interval_lower,confidence_interval_upper,sample_size,statistical_significance,p_value,effect_size,researcher_notes,manual_styling_requirements
control,dose_response_efficacy,baseline_measurements,12.43,0.65,11.61,13.25,3,ns,0.842,0.12,"Baseline efficacy measurements for dose-response study. Manual styling: gray bars with black error bars","Manual color selection: #808080 for control group, error bar width=1.5pt, requires hardcoded plt.bar() styling"
low_dose,dose_response_efficacy,treatment_5mg,23.60,1.74,21.46,25.74,3,significant,0.034,0.67,"Low dose treatment shows significant improvement. Manual styling: light blue bars","Manual color selection: #87CEEB for low dose, significance stars (**) annotation, requires manual plt.text() positioning"
medium_dose,dose_response_efficacy,treatment_15mg,49.03,2.85,45.64,52.42,3,highly_significant,0.001,1.89,"Medium dose shows high significance. Manual styling: blue bars with significance indicators","Manual color selection: #4169E1 for medium dose, significance stars (***) annotation, elevated bar height for visual emphasis"
high_dose,dose_response_efficacy,treatment_50mg,72.87,2.93,69.40,76.34,3,highly_significant,0.0001,2.47,"High dose maximum efficacy. Manual styling: dark blue bars with enhanced significance markers","Manual color selection: #000080 for high dose, significance stars (****) annotation, requires custom legend positioning"
control,toxicity_safety,baseline_safety,2.10,0.20,1.86,2.34,3,ns,0.756,0.08,"Safety baseline measurements. Manual styling: gray with safety pattern","Manual pattern: hatched gray bars (////) for safety data, requires matplotlib hatch parameter configuration"
low_dose,toxicity_safety,safety_5mg,2.20,0.20,1.96,2.44,3,ns,0.634,0.15,"Low dose safety profile. Manual styling: light blue with safety hatching","Manual pattern: hatched light blue bars (////), safety threshold line at y=1.5, requires plt.axhline() styling"
medium_dose,toxicity_safety,safety_15mg,1.80,0.10,1.68,1.92,3,ns,0.234,0.31,"Medium dose acceptable safety. Manual styling: blue with enhanced safety markers","Manual pattern: hatched blue bars (////), safety zone highlighting, requires custom patch overlays"
high_dose,toxicity_safety,safety_50mg,1.50,0.10,1.38,1.62,3,trending,0.082,0.58,"High dose trending toward significance. Manual styling: dark blue with trending indicators","Manual pattern: hatched dark blue bars (////), trending arrow annotation, requires manual arrow positioning"
control,time_course_biomarker,day_1_baseline,99.90,1.35,97.98,101.82,3,baseline,1.000,0.00,"Day 1 biomarker baseline. Manual styling: solid gray with time markers","Manual time styling: solid line markers (o), gray color #808080, requires plt.plot() with custom marker styling"
treatment_A,time_course_biomarker,day_1_treatment,135.60,6.94,127.21,144.00,3,significant,0.021,0.84,"Day 1 treatment response. Manual styling: red markers with significance","Manual time styling: red triangles (^), #FF4500 color, significance background shading, requires fill_between()"
treatment_A,time_course_biomarker,day_7_peak,188.93,6.42,181.01,196.85,3,highly_significant,0.002,1.95,"Day 7 peak response. Manual styling: dark red with peak indicators","Manual time styling: dark red squares (s), #8B0000 color, peak annotation with arrow, requires annotate()"
treatment_A,time_course_biomarker,day_14_decline,156.57,6.72,148.42,164.72,3,significant,0.019,1.12,"Day 14 response decline. Manual styling: medium red with decline arrows","Manual time styling: medium red circles (o), #DC143C color, decline annotation, requires custom arrow styling"
treatment_B,time_course_biomarker,day_1_mild,118.77,6.75,110.78,126.76,3,trending,0.067,0.48,"Day 1 mild response. Manual styling: blue markers with trending indicators","Manual time styling: blue diamonds (D), #4169E1 color, trending dashed line, requires plt.plot() linestyle configuration"
treatment_B,time_course_biomarker,day_7_significant,167.17,5.83,160.40,173.94,3,significant,0.028,1.23,"Day 7 significant response. Manual styling: dark blue with significance markers","Manual time styling: dark blue hexagons (h), #000080 color, significance box annotation, requires bbox styling"
treatment_B,time_course_biomarker,day_14_moderate,145.30,6.61,137.37,153.23,3,trending,0.091,0.74,"Day 14 moderate response. Manual styling: medium blue with moderation indicators","Manual time styling: medium blue pentagons (p), #1E90FF color, moderation line annotation, requires text styling"
control,comparative_response,standard_protocol,8.18,0.24,7.89,8.47,5,baseline,1.000,0.00,"Standard protocol baseline. Manual styling: gray with protocol pattern","Manual protocol styling: striped gray bars (||||), protocol label positioning, requires manual text placement"
treatment_A,comparative_response,enhanced_protocol,15.64,0.59,14.92,16.36,5,highly_significant,0.0008,3.12,"Enhanced protocol high efficacy. Manual styling: green with enhancement markers","Manual protocol styling: solid green bars #228B22, enhancement arrows (↑), requires custom symbol insertion"
