time_window,experimental_condition,condition_type,dose_level,measurement_mean,measurement_std,sample_count,trend_direction,trend_slope,seasonal_component,data_quality,rolling_mean_3,rolling_std_3,peak_response,time_to_peak,decay_rate,baseline_normalized,fold_change,temporal_pattern,visualization_notes,manual_styling_required
baseline,control,control,0.0,1.235,0.055,6,stable,0.002,none,high,1.235,0.055,1.235,0,0.0,1.0,1.0,steady_baseline,"Baseline measurements require manual gray color (#808080) and dashed line style (--) for control group identification",TRUE
3h,control,control,0.0,1.205,0.065,6,stable,-0.008,none,high,1.220,0.060,1.235,0,0.01,0.976,0.98,stable_decline,"3-hour timepoint needs manual marker style 'o' and consistent gray theme for temporal continuity",TRUE
9h,control,control,0.0,1.270,0.080,6,slight_increase,0.022,none,high,1.237,0.067,1.270,9,0.0,1.028,1.03,mild_recovery,"9-hour recovery phase requires manual line width 1.5 and alpha=0.7 for proper visualization depth",TRUE
24h,control,control,0.0,1.295,0.090,6,increasing,0.010,none,high,1.257,0.078,1.295,24,0.005,1.049,1.05,sustained_increase,"24-hour sustained elevation needs manual annotation and custom legend positioning for clarity",TRUE
48h,control,control,0.0,1.305,0.085,6,plateau,0.003,none,medium,1.290,0.085,1.305,48,0.002,1.057,1.06,plateau_phase,"48-hour plateau requires manual quality flag indicators and error bar styling (capsize=3)",TRUE
72h,control,control,0.0,1.340,0.110,6,slight_increase,0.012,none,high,1.313,0.095,1.340,72,0.0,1.085,1.09,late_increase,"Final control timepoint needs manual statistical significance markers and publication formatting",TRUE
baseline,treatment_A,low_dose,5.0,1.225,0.065,6,stable,0.001,none,high,1.225,0.065,1.225,0,0.0,1.0,1.0,steady_baseline,"Low dose baseline requires manual blue color (#1f77b4) for dose-dependent color coding scheme",TRUE
3h,treatment_A,low_dose,5.0,1.435,0.115,6,rapid_increase,0.070,none,high,1.330,0.123,1.435,3,0.0,1.171,1.17,early_response,"Early treatment response needs manual marker size 6 and line style '-' for dose identification",TRUE
9h,treatment_A,low_dose,5.0,1.760,0.145,6,strong_increase,0.054,none,high,1.473,0.138,1.760,9,0.0,1.437,1.44,peak_building,"Peak building phase requires manual annotation arrows and custom color intensity gradients",TRUE
24h,treatment_A,low_dose,5.0,2.100,0.175,6,peak_response,0.057,none,high,1.765,0.145,2.100,24,0.0,1.714,1.71,maximum_response,"Peak response needs manual emphasis with line width 2.0 and marker highlighting (marker='D')",TRUE
48h,treatment_A,low_dose,5.0,1.930,0.155,6,declining,0.028,none,high,2.063,0.162,2.100,24,0.017,1.575,1.58,post_peak_decline,"Decline phase requires manual trend line fitting and confidence interval shading",TRUE
72h,treatment_A,low_dose,5.0,1.655,0.125,6,continued_decline,-0.046,none,high,1.895,0.145,2.100,24,0.031,1.351,1.35,sustained_decline,"Sustained decline needs manual decay curve fitting and error bar styling",TRUE
baseline,treatment_B,medium_dose,15.0,1.250,0.075,6,stable,0.0,none,high,1.250,0.075,1.250,0,0.0,1.0,1.0,steady_baseline,"Medium dose baseline requires manual orange color (#ff7f0e) for dose progression visualization",TRUE
3h,treatment_B,medium_dose,15.0,1.565,0.135,6,strong_response,0.105,none,high,1.408,0.125,1.565,3,0.0,1.252,1.25,robust_early_response,"Strong early response needs manual z-order=3 for proper layering in multi-group plots",TRUE
9h,treatment_B,medium_dose,15.0,2.210,0.185,6,dramatic_increase,0.108,none,high,1.675,0.152,2.210,9,0.0,1.768,1.77,dramatic_response,"Dramatic response requires manual line style '-' and marker style '^' for emphasis",TRUE
24h,treatment_B,medium_dose,15.0,2.845,0.235,6,maximum_response,0.106,none,high,2.207,0.189,2.845,24,0.0,2.276,2.28,peak_efficacy,"Maximum efficacy needs manual statistical annotations and significance brackets",TRUE
48h,treatment_B,medium_dose,15.0,2.430,0.205,6,moderate_decline,-0.069,none,medium,2.828,0.208,2.845,24,0.037,1.944,1.94,efficacy_decline,"Efficacy decline requires manual trend analysis and quality flag visualization",TRUE
72h,treatment_B,medium_dose,15.0,1.995,0.165,6,continued_decline,-0.072,none,high,2.423,0.192,2.845,24,0.054,1.596,1.60,sustained_effect,"Sustained effect needs manual pattern consistency and legend coordination",TRUE
