experiment_id,experiment_type,treatment_group,outcome_measure,measurement_category,effect_size,p_value,confidence_interval_lower,confidence_interval_upper,effect_category,sample_size,group_mean,group_std_error,statistical_significance,research_phase,protocol,quality_score,researcher,traditional_styling_notes,manual_color_code,chart_type_required,publication_priority
EXP-001,dose_response,control,response_time,behavioral,0.0,0.445,221.0,269.6,non_significant,30,245.3,12.4,ns,pilot,PROTO-DR-01,8.7,Dr. Sarah Chen,"Requires manual gray color for control baseline in dose-response plots",#808080,line_plot,low
EXP-001,dose_response,low_dose,response_time,behavioral,-1.2,0.001,181.2,216.2,significant,30,198.7,8.9,p_001,pilot,PROTO-DR-01,8.7,Dr. Sarah Chen,"Manual light blue styling needed for low dose visualization",#87CEEB,line_plot,medium
EXP-001,dose_response,medium_dose,response_time,behavioral,-1.8,0.001,171.4,207.4,significant,30,189.4,9.2,p_001,pilot,PROTO-DR-01,8.7,Dr. Sarah Chen,"Hardcoded blue color required for medium dose in dose-response curves",#4169E1,line_plot,medium
EXP-001,dose_response,high_dose,response_time,behavioral,-2.1,0.001,154.4,198.0,significant,30,176.2,11.1,p_001,pilot,PROTO-DR-01,8.7,Dr. Sarah Chen,"Manual dark blue styling for high dose visualization",#191970,line_plot,high
EXP-001,dose_response,control,accuracy_score,cognitive,0.0,0.334,0.675,0.809,non_significant,30,0.742,0.034,ns,pilot,PROTO-DR-01,8.7,Dr. Sarah Chen,"Control group requires manual baseline styling with error bars",#808080,bar_plot,low
EXP-001,dose_response,low_dose,accuracy_score,cognitive,0.8,0.001,0.768,0.878,significant,30,0.823,0.028,p_001,pilot,PROTO-DR-01,8.7,Dr. Sarah Chen,"Manual styling for cognitive improvement visualization",#87CEEB,bar_plot,medium
EXP-001,dose_response,medium_dose,accuracy_score,cognitive,1.1,0.001,0.790,0.912,significant,30,0.851,0.031,p_001,pilot,PROTO-DR-01,8.7,Dr. Sarah Chen,"Hardcoded color scheme for dose progression charts",#4169E1,bar_plot,medium
EXP-001,dose_response,high_dose,accuracy_score,cognitive,1.4,0.001,0.838,0.940,significant,30,0.889,0.026,p_001,pilot,PROTO-DR-01,8.7,Dr. Sarah Chen,"Manual high-dose styling for maximum effect visualization",#191970,bar_plot,high
EXP-002,dose_response,control,stress_biomarker,physiological,0.0,0.267,125.6,159.6,non_significant,30,142.6,8.7,ns,pilot,PROTO-DR-01,8.9,Dr. Sarah Chen,"Physiological baseline requires manual neutral color coding",#C0C0C0,scatter_plot,medium
EXP-002,dose_response,low_dose,stress_biomarker,physiological,-0.7,0.05,112.9,143.9,borderline,30,128.4,7.9,p_05,pilot,PROTO-DR-01,8.9,Dr. Sarah Chen,"Borderline significance needs manual orange color for p<0.05",#FFA500,scatter_plot,medium
EXP-002,dose_response,medium_dose,stress_biomarker,physiological,-1.3,0.01,99.7,131.9,significant,30,115.8,8.2,p_01,pilot,PROTO-DR-01,8.9,Dr. Sarah Chen,"Manual red color required for significant stress reduction",#FF6347,scatter_plot,high
EXP-002,dose_response,high_dose,stress_biomarker,physiological,-2.1,0.001,80.4,116.2,significant,30,98.3,9.1,p_001,pilot,PROTO-DR-01,8.9,Dr. Sarah Chen,"Highly significant effects need manual dark red styling",#8B0000,scatter_plot,high
EXP-003,time_course,control,attention_span,cognitive,0.0,0.456,39.1,51.3,non_significant,30,45.2,3.1,ns,main,PROTO-TC-02,9.1,Dr. Marcus Rodriguez,"Time course baseline requires manual dashed line styling",#696969,time_series,medium
EXP-003,time_course,treatment_A,attention_span,cognitive,0.9,0.01,47.1,58.5,significant,30,52.8,2.9,p_01,main,PROTO-TC-02,9.1,Dr. Marcus Rodriguez,"Manual solid line with markers needed for treatment trajectory",#32CD32,time_series,high
EXP-003,time_course,treatment_B,attention_span,cognitive,1.6,0.001,53.1,65.7,significant,30,59.4,3.2,p_001,main,PROTO-TC-02,9.1,Dr. Marcus Rodriguez,"Strong effect requires manual thick line styling",#228B22,time_series,high
EXP-003,time_course,treatment_C,attention_span,cognitive,2.3,0.001,61.6,72.6,significant,30,67.1,2.8,p_001,main,PROTO-TC-02,9.1,Dr. Marcus Rodriguez,"Maximum effect needs manual bold line with confidence intervals",#006400,time_series,high
