sample_pair,comparison_type,effect_magnitude,significance_category,effect_size,adjusted_p_value,confidence_width,comparison_direction,study_phase,measurement_domain,manual_color_code,manual_marker_style,manual_line_pattern,visualization_priority
control_vs_treatment_A,dose_response,medium,significant,0.42,0.018,0.24,positive,treatment,biochemical,#1f77b4,circle,solid,high
control_vs_treatment_B,dose_response,small,not_significant,0.19,0.156,0.18,positive,treatment,biochemical,#ff7f0e,square,dashed,medium
control_vs_treatment_C,dose_response,large,highly_significant,0.72,0.000,0.12,positive,treatment,biochemical,#2ca02c,triangle,solid,high
treatment_A_vs_treatment_B,inter_treatment,small,not_significant,0.15,0.234,0.22,mixed,treatment,biochemical,#d62728,diamond,dotted,low
treatment_A_vs_treatment_C,inter_treatment,medium,significant,0.38,0.045,0.19,negative,treatment,biochemical,#9467bd,pentagon,dash_dot,medium
treatment_B_vs_treatment_C,inter_treatment,large,highly_significant,0.68,0.002,0.14,negative,treatment,biochemical,#8c564b,hexagon,solid,high
control_vs_low_dose,dose_escalation,small,not_significant,0.18,0.089,0.26,positive,pilot,physiological,#e377c2,circle,dashed,medium
low_dose_vs_medium_dose,dose_escalation,medium,significant,0.35,0.023,0.21,positive,pilot,physiological,#7f7f7f,square,solid,high
medium_dose_vs_high_dose,dose_escalation,large,highly_significant,0.81,0.000,0.11,positive,pilot,physiological,#bcbd22,triangle,solid,high
control_vs_high_dose,dose_escalation,very_large,highly_significant,0.95,0.000,0.08,positive,pilot,physiological,#17becf,diamond,double,critical
baseline_vs_day7,temporal,medium,significant,0.44,0.007,0.23,positive,main,behavioral,#1f77b4,plus,solid,high
baseline_vs_day14,temporal,large,highly_significant,0.58,0.001,0.17,positive,main,behavioral,#ff7f0e,cross,dashed,high
baseline_vs_day21,temporal,very_large,highly_significant,0.74,0.000,0.13,positive,main,behavioral,#2ca02c,star,solid,critical
day7_vs_day14,temporal,small,significant,0.31,0.032,0.28,positive,main,behavioral,#d62728,circle,dotted,medium
day14_vs_day21,temporal,medium,significant,0.39,0.018,0.25,positive,main,behavioral,#9467bd,square,dash_dot,medium
control_extended_vs_washout,recovery,small,not_significant,0.12,0.456,0.31,mixed,extended_baseline,physiological,#8c564b,triangle,dashed,low
control_vs_control_extended,stability,very_small,not_significant,0.03,0.789,0.35,stable,extended_baseline,biochemical,#e377c2,circle,solid,low
