time_period,experimental_condition,measurement_type,pattern_id,trend_direction,seasonal_component,trend_strength,seasonality_index,data_quality,baseline_mean,current_value,percentage_change,volatility_index,autocorr_strength,phase_transition_score,temporal_stability,anomaly_score,prediction_confidence,manual_styling_notes
baseline_week1,control,temperature,TEMP_CTRL_BL1,stable,low,0.15,0.23,high,22.45,22.45,0.0,0.12,0.34,0.85,0.94,0.08,0.92,"Manual style: gray solid line (--), marker 'o', alpha=0.7 for baseline control"
baseline_week1,treatment_a,temperature,TEMP_TXA_BL1,stable,low,0.18,0.28,medium,24.12,24.12,0.0,0.18,0.29,0.82,0.86,0.14,0.89,"Manual style: blue solid line (-), marker 's', linewidth=2.0 for treatment A baseline"
baseline_week1,treatment_b,temperature,TEMP_TXB_BL1,stable,medium,0.23,0.45,low,26.78,26.78,0.0,0.31,0.23,0.73,0.71,0.29,0.76,"Manual style: red solid line (-), marker '^', linewidth=2.5 for treatment B baseline"
intervention_week2,control,temperature,TEMP_CTRL_INT2,increasing,medium,0.45,0.52,medium,22.45,22.89,1.96,0.22,0.63,0.78,0.87,0.13,0.84,"Manual style: gray dashed line (:), increased marker size=8, intervention phase"
intervention_week2,treatment_a,temperature,TEMP_TXA_INT2,increasing,high,0.68,0.73,high,24.12,25.34,5.06,0.35,0.73,0.91,0.85,0.09,0.88,"Manual style: blue dashed line (:), marker 's', error bars capsize=4, intervention"
intervention_week2,treatment_b,temperature,TEMP_TXB_INT2,increasing,very_high,0.82,0.89,medium,26.78,28.45,6.23,0.47,0.71,0.85,0.70,0.15,0.73,"Manual style: red dashed line (:), marker '^', z-order=5, intervention phase"
followup_week3,control,temperature,TEMP_CTRL_FU3,stable,low,0.28,0.31,high,22.45,22.67,0.98,0.15,0.51,0.82,0.91,0.09,0.87,"Manual style: gray dotted line (..), marker 'o', alpha=0.8, followup control"
followup_week3,treatment_a,temperature,TEMP_TXA_FU3,decreasing,medium,0.52,0.48,high,24.12,24.89,3.19,0.28,0.61,0.86,0.81,0.11,0.85,"Manual style: blue dotted line (..), marker 's', return to baseline trend"
followup_week3,treatment_b,temperature,TEMP_TXB_FU3,stable,high,0.71,0.78,medium,26.78,27.98,4.48,0.41,0.65,0.81,0.68,0.18,0.71,"Manual style: red dotted line (..), marker '^', sustained elevation followup"
baseline_week1,control,pressure,PRES_CTRL_BL1,stable,low,0.12,0.18,high,1013.25,1013.25,0.0,0.08,0.31,0.87,0.93,0.07,0.94,"Manual style: gray solid line (-), circle markers, pressure baseline control"
